# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second tau
XLabel=$\eta(\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\tau\mathrm{2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.071826e-08	7.578956e-09	7.578956e-09
-4.800000e+00	-4.600000e+00	1.071826e-08	7.578956e-09	7.578956e-09
-4.600000e+00	-4.400000e+00	1.071826e-08	7.578956e-09	7.578956e-09
-4.400000e+00	-4.200000e+00	2.679565e-08	1.198338e-08	1.198338e-08
-4.200000e+00	-4.000000e+00	4.287304e-08	1.515791e-08	1.515791e-08
-4.000000e+00	-3.800000e+00	5.359130e-08	1.694706e-08	1.694706e-08
-3.800000e+00	-3.600000e+00	6.966870e-08	1.932262e-08	1.932262e-08
-3.600000e+00	-3.400000e+00	1.286191e-07	2.625427e-08	2.625427e-08
-3.400000e+00	-3.200000e+00	3.108296e-07	4.081393e-08	4.081393e-08
-3.200000e+00	-3.000000e+00	1.677408e-06	9.481271e-08	9.481271e-08
-3.000000e+00	-2.800000e+00	2.543979e-05	3.692359e-07	3.692359e-07
-2.800000e+00	-2.600000e+00	3.430380e-05	4.287640e-07	4.287640e-07
-2.600000e+00	-2.400000e+00	4.316780e-05	4.809801e-07	4.809801e-07
-2.400000e+00	-2.200000e+00	5.441125e-05	5.399972e-07	5.399972e-07
-2.200000e+00	-2.000000e+00	6.657650e-05	5.973207e-07	5.973207e-07
-2.000000e+00	-1.800000e+00	7.988320e-05	6.542970e-07	6.542970e-07
-1.800000e+00	-1.600000e+00	9.250930e-05	7.041090e-07	7.041090e-07
-1.600000e+00	-1.400000e+00	1.066735e-04	7.560934e-07	7.560934e-07
-1.400000e+00	-1.200000e+00	1.178152e-04	7.945985e-07	7.945985e-07
-1.200000e+00	-1.000000e+00	1.298678e-04	8.342534e-07	8.342534e-07
-1.000000e+00	-8.000000e-01	1.401252e-04	8.665733e-07	8.665733e-07
-8.000000e-01	-6.000000e-01	1.499270e-04	8.963698e-07	8.963698e-07
-6.000000e-01	-4.000000e-01	1.559025e-04	9.140578e-07	9.140578e-07
-4.000000e-01	-2.000000e-01	1.604524e-04	9.273000e-07	9.273000e-07
-2.000000e-01	0.000000e+00	1.619904e-04	9.317339e-07	9.317339e-07
0.000000e+00	2.000000e-01	1.645199e-04	9.389803e-07	9.389803e-07
2.000000e-01	4.000000e-01	1.603773e-04	9.270832e-07	9.270832e-07
4.000000e-01	6.000000e-01	1.565295e-04	9.158941e-07	9.158941e-07
6.000000e-01	8.000000e-01	1.494769e-04	8.950230e-07	8.950230e-07
8.000000e-01	1.000000e+00	1.396107e-04	8.649809e-07	8.649809e-07
1.000000e+00	1.200000e+00	1.291390e-04	8.319091e-07	8.319091e-07
1.200000e+00	1.400000e+00	1.198784e-04	8.015260e-07	8.015260e-07
1.400000e+00	1.600000e+00	1.045352e-04	7.484770e-07	7.484770e-07
