# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second tau
XLabel=$p_\perp(\tau\mathrm{2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\tau\mathrm{2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.167099e+00	4.618309e-07	5.442730e-08	5.442730e-08
1.167099e+00	1.362120e+00	3.572369e-07	4.430979e-08	4.430979e-08
1.362120e+00	1.589730e+00	3.861419e-07	4.264223e-08	4.264223e-08
1.589730e+00	1.855372e+00	6.294370e-07	5.039529e-08	5.039529e-08
1.855372e+00	2.165403e+00	6.534027e-07	4.752806e-08	4.752806e-08
2.165403e+00	2.527240e+00	7.405448e-07	4.683617e-08	4.683617e-08
2.527240e+00	2.949540e+00	8.477147e-07	4.638489e-08	4.638489e-08
2.949540e+00	3.442405e+00	1.211300e-06	5.132441e-08	5.132441e-08
3.442405e+00	4.017629e+00	1.330410e-06	4.978935e-08	4.978935e-08
4.017629e+00	4.688971e+00	1.555033e-06	4.982645e-08	4.982645e-08
4.688971e+00	5.472494e+00	2.036889e-06	5.278614e-08	5.278614e-08
5.472494e+00	6.386943e+00	2.461411e-06	5.371240e-08	5.371240e-08
6.386943e+00	7.454196e+00	3.029928e-06	5.516259e-08	5.516259e-08
7.454196e+00	8.699785e+00	3.722512e-06	5.659693e-08	5.659693e-08
8.699785e+00	1.015351e+01	4.535110e-06	5.782491e-08	5.782491e-08
1.015351e+01	1.185016e+01	5.388664e-06	5.834540e-08	5.834540e-08
1.185016e+01	1.383031e+01	6.326001e-06	5.851643e-08	5.851643e-08
1.383031e+01	1.614134e+01	7.362622e-06	5.843535e-08	5.843535e-08
1.614134e+01	1.883854e+01	8.341899e-06	5.757556e-08	5.757556e-08
1.883854e+01	2.198645e+01	9.384195e-06	5.652617e-08	5.652617e-08
2.198645e+01	2.566036e+01	1.011462e-05	5.432163e-08	5.432163e-08
2.566036e+01	2.994819e+01	1.059845e-05	5.147124e-08	5.147124e-08
2.994819e+01	3.495251e+01	1.075184e-05	4.798783e-08	4.798783e-08
3.495251e+01	4.079304e+01	1.017353e-05	4.320877e-08	4.320877e-08
4.079304e+01	4.760952e+01	8.646807e-06	3.687313e-08	3.687313e-08
4.760952e+01	5.556503e+01	6.398883e-06	2.936164e-08	2.936164e-08
5.556503e+01	6.484990e+01	4.769896e-06	2.346544e-08	2.346544e-08
6.484990e+01	7.568627e+01	3.463732e-06	1.850940e-08	1.850940e-08
7.568627e+01	8.833338e+01	2.415762e-06	1.430848e-08	1.430848e-08
8.833338e+01	1.030938e+02	1.624032e-06	1.085951e-08	1.085951e-08
1.030938e+02	1.203207e+02	1.040288e-06	8.045173e-09	8.045173e-09
1.203207e+02	1.404262e+02	6.357231e-07	5.821552e-09	5.821552e-09
1.404262e+02	1.638913e+02	3.850610e-07	4.193878e-09	4.193878e-09
1.638913e+02	1.912774e+02	2.179964e-07	2.920934e-09	2.920934e-09
1.912774e+02	2.232397e+02	1.186100e-07	1.994361e-09	1.994361e-09
2.232397e+02	2.605428e+02	5.962076e-08	1.308846e-09	1.308846e-09
2.605428e+02	3.040793e+02	2.961669e-08	8.538934e-10	8.538934e-10
3.040793e+02	3.548907e+02	1.352139e-08	5.340627e-10	5.340627e-10
3.548907e+02	4.141926e+02	6.380143e-09	3.395808e-10	3.395808e-10
4.141926e+02	4.834039e+02	2.694615e-09	2.042782e-10	2.042782e-10
4.834039e+02	5.641803e+02	1.300367e-09	1.313569e-10	1.313569e-10
5.641803e+02	6.584543e+02	3.979243e-10	6.726149e-11	6.726149e-11
6.584543e+02	7.684814e+02	1.071562e-10	3.230881e-11	3.230881e-11
7.684814e+02	8.968940e+02	1.001608e-10	2.891395e-11	2.891395e-11
8.968940e+02	1.046764e+03	7.151705e-12	7.151705e-12	7.151705e-12
1.046764e+03	1.221678e+03	6.127731e-12	6.127731e-12	6.127731e-12
1.221678e+03	1.425819e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.425819e+03	1.664072e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.664072e+03	1.942137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.942137e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_pt_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
