# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first tau
XLabel=$y(\tau\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\tau\mathrm{1})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.411609e-07	3.595014e-08	3.595014e-08
-4.800000e+00	-4.600000e+00	2.893930e-07	3.938141e-08	3.938141e-08
-4.600000e+00	-4.400000e+00	2.572383e-07	3.712915e-08	3.712915e-08
-4.400000e+00	-4.200000e+00	3.161887e-07	4.116427e-08	4.116427e-08
-4.200000e+00	-4.000000e+00	3.644209e-07	4.419252e-08	4.419252e-08
-4.000000e+00	-3.800000e+00	4.180122e-07	4.733056e-08	4.733056e-08
-3.800000e+00	-3.600000e+00	3.965757e-07	4.610099e-08	4.610099e-08
-3.600000e+00	-3.400000e+00	5.251950e-07	5.305269e-08	5.305269e-08
-3.400000e+00	-3.200000e+00	6.538140e-07	5.919354e-08	5.919354e-08
-3.200000e+00	-3.000000e+00	8.788975e-07	6.863037e-08	6.863037e-08
-3.000000e+00	-2.800000e+00	1.868193e-05	3.164157e-07	3.164157e-07
-2.800000e+00	-2.600000e+00	2.631869e-05	3.755600e-07	3.755600e-07
-2.600000e+00	-2.400000e+00	3.675292e-05	4.438059e-07	4.438059e-07
-2.400000e+00	-2.200000e+00	4.830721e-05	5.088072e-07	5.088072e-07
-2.200000e+00	-2.000000e+00	6.027415e-05	5.683458e-07	5.683458e-07
-2.000000e+00	-1.800000e+00	7.678025e-05	6.414636e-07	6.414636e-07
-1.800000e+00	-1.600000e+00	9.151790e-05	7.003258e-07	7.003258e-07
-1.600000e+00	-1.400000e+00	1.075095e-04	7.590504e-07	7.590504e-07
-1.400000e+00	-1.200000e+00	1.212557e-04	8.061174e-07	8.061174e-07
-1.200000e+00	-1.000000e+00	1.339837e-04	8.473699e-07	8.473699e-07
-1.000000e+00	-8.000000e-01	1.494233e-04	8.948626e-07	8.948626e-07
-8.000000e-01	-6.000000e-01	1.555916e-04	9.131462e-07	9.131462e-07
-6.000000e-01	-4.000000e-01	1.649005e-04	9.400656e-07	9.400656e-07
-4.000000e-01	-2.000000e-01	1.701149e-04	9.548131e-07	9.548131e-07
-2.000000e-01	0.000000e+00	1.725586e-04	9.616468e-07	9.616468e-07
0.000000e+00	2.000000e-01	1.715887e-04	9.589400e-07	9.589400e-07
2.000000e-01	4.000000e-01	1.706347e-04	9.562708e-07	9.562708e-07
4.000000e-01	6.000000e-01	1.634589e-04	9.359472e-07	9.359472e-07
6.000000e-01	8.000000e-01	1.582444e-04	9.208977e-07	9.208977e-07
8.000000e-01	1.000000e+00	1.476548e-04	8.895512e-07	8.895512e-07
1.000000e+00	1.200000e+00	1.357790e-04	8.530281e-07	8.530281e-07
1.200000e+00	1.400000e+00	1.206019e-04	8.039411e-07	8.039411e-07
1.400000e+00	1.600000e+00	1.065663e-04	7.557134e-07	7.557134e-07
1.600000e+00	1.800000e+00	9.012450e-05	6.949741e-07	6.949741e-07
1.800000e+00	2.000000e+00	7.639440e-05	6.398498e-07	6.398498e-07
2.000000e+00	2.200000e+00	6.172110e-05	5.751274e-07	5.751274e-07
2.200000e+00	2.400000e+00	4.891279e-05	5.119863e-07	5.119863e-07
2.400000e+00	2.600000e+00	3.637778e-05	4.415351e-07	4.415351e-07
2.600000e+00	2.800000e+00	2.680638e-05	3.790235e-07	3.790235e-07
2.800000e+00	3.000000e+00	1.866049e-05	3.162341e-07	3.162341e-07
3.000000e+00	3.200000e+00	9.432070e-07	7.109691e-08	7.109691e-08
3.200000e+00	3.400000e+00	5.466315e-07	5.412458e-08	5.412458e-08
3.400000e+00	3.600000e+00	5.198355e-07	5.278132e-08	5.278132e-08
3.600000e+00	3.800000e+00	4.394488e-07	4.852899e-08	4.852899e-08
3.800000e+00	4.000000e+00	4.233713e-07	4.763300e-08	4.763300e-08
4.000000e+00	4.200000e+00	3.429843e-07	4.287305e-08	4.287305e-08
4.200000e+00	4.400000e+00	3.697800e-07	4.451628e-08	4.451628e-08
4.400000e+00	4.600000e+00	2.786748e-07	3.864524e-08	3.864524e-08
4.600000e+00	4.800000e+00	2.358017e-07	3.554845e-08	3.554845e-08
4.800000e+00	5.000000e+00	1.929287e-07	3.215479e-08	3.215479e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_1
ErrorBars=1
LineColor=blue
LineStyle=solid
