# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second tau
XLabel=$y(\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\tau\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-4.800000e+00	-4.600000e+00	1.607739e-08	9.282287e-09	9.282287e-09
-4.600000e+00	-4.400000e+00	1.607740e-08	9.282287e-09	9.282287e-09
-4.400000e+00	-4.200000e+00	3.215478e-08	1.312714e-08	1.312714e-08
-4.200000e+00	-4.000000e+00	3.215478e-08	1.312714e-08	1.312714e-08
-4.000000e+00	-3.800000e+00	2.679565e-08	1.198338e-08	1.198338e-08
-3.800000e+00	-3.600000e+00	3.215479e-08	1.312714e-08	1.312714e-08
-3.600000e+00	-3.400000e+00	7.502785e-08	2.005203e-08	2.005203e-08
-3.400000e+00	-3.200000e+00	1.875696e-07	3.170505e-08	3.170505e-08
-3.200000e+00	-3.000000e+00	8.681790e-07	6.821059e-08	6.821059e-08
-3.000000e+00	-2.800000e+00	2.518791e-05	3.674035e-07	3.674035e-07
-2.800000e+00	-2.600000e+00	3.413231e-05	4.276909e-07	4.276909e-07
-2.600000e+00	-2.400000e+00	4.311421e-05	4.806815e-07	4.806815e-07
-2.400000e+00	-2.200000e+00	5.438445e-05	5.398643e-07	5.398643e-07
-2.200000e+00	-2.000000e+00	6.659790e-05	5.974169e-07	5.974169e-07
-2.000000e+00	-1.800000e+00	7.965275e-05	6.533525e-07	6.533525e-07
-1.800000e+00	-1.600000e+00	9.268080e-05	7.047613e-07	7.047613e-07
-1.600000e+00	-1.400000e+00	1.065931e-04	7.558085e-07	7.558085e-07
-1.400000e+00	-1.200000e+00	1.178098e-04	7.945804e-07	7.945804e-07
-1.200000e+00	-1.000000e+00	1.301465e-04	8.351479e-07	8.351479e-07
-1.000000e+00	-8.000000e-01	1.401145e-04	8.665401e-07	8.665401e-07
-8.000000e-01	-6.000000e-01	1.502164e-04	8.972344e-07	8.972344e-07
-6.000000e-01	-4.000000e-01	1.561437e-04	9.147646e-07	9.147646e-07
-4.000000e-01	-2.000000e-01	1.609240e-04	9.286618e-07	9.286618e-07
-2.000000e-01	0.000000e+00	1.624352e-04	9.330122e-07	9.330122e-07
0.000000e+00	2.000000e-01	1.649380e-04	9.401725e-07	9.401725e-07
2.000000e-01	4.000000e-01	1.608275e-04	9.283834e-07	9.283834e-07
4.000000e-01	6.000000e-01	1.569100e-04	9.170067e-07	9.170067e-07
6.000000e-01	8.000000e-01	1.496966e-04	8.956806e-07	8.956806e-07
8.000000e-01	1.000000e+00	1.394875e-04	8.645990e-07	8.645990e-07
1.000000e+00	1.200000e+00	1.292676e-04	8.323233e-07	8.323233e-07
1.200000e+00	1.400000e+00	1.200392e-04	8.020634e-07	8.020634e-07
1.400000e+00	1.600000e+00	1.046531e-04	7.488990e-07	7.488990e-07
1.600000e+00	1.800000e+00	9.266475e-05	7.047003e-07	7.047003e-07
1.800000e+00	2.000000e+00	8.003325e-05	6.549113e-07	6.549113e-07
2.000000e+00	2.200000e+00	6.665685e-05	5.976814e-07	5.976814e-07
2.200000e+00	2.400000e+00	5.429870e-05	5.394386e-07	5.394386e-07
2.400000e+00	2.600000e+00	4.403062e-05	4.857632e-07	4.857632e-07
2.600000e+00	2.800000e+00	3.379468e-05	4.255703e-07	4.255703e-07
2.800000e+00	3.000000e+00	2.640444e-05	3.761713e-07	3.761713e-07
3.000000e+00	3.200000e+00	7.127645e-07	6.180451e-08	6.180451e-08
3.200000e+00	3.400000e+00	1.339783e-07	2.679565e-08	2.679565e-08
3.400000e+00	3.600000e+00	8.574610e-08	2.143652e-08	2.143652e-08
3.600000e+00	3.800000e+00	3.751392e-08	1.417893e-08	1.417893e-08
3.800000e+00	4.000000e+00	1.071826e-08	7.578956e-09	7.578956e-09
4.000000e+00	4.200000e+00	3.751391e-08	1.417893e-08	1.417893e-08
4.200000e+00	4.400000e+00	2.679565e-08	1.198338e-08	1.198338e-08
4.400000e+00	4.600000e+00	1.071826e-08	7.578956e-09	7.578956e-09
4.600000e+00	4.800000e+00	1.071826e-08	7.578956e-09	7.578956e-09
4.800000e+00	5.000000e+00	1.607739e-08	9.282287e-09	9.282287e-09
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.074258e-08	7.596150e-09	7.596150e-09
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.148516e-08	1.074258e-08	1.074258e-08
-4.400000e+00	-4.200000e+00	3.222773e-08	1.315692e-08	1.315692e-08
-4.200000e+00	-4.000000e+00	2.685644e-08	1.201057e-08	1.201057e-08
-4.000000e+00	-3.800000e+00	4.834160e-08	1.611387e-08	1.611387e-08
-3.800000e+00	-3.600000e+00	5.371290e-08	1.698551e-08	1.698551e-08
-3.600000e+00	-3.400000e+00	9.668320e-08	2.278845e-08	2.278845e-08
-3.400000e+00	-3.200000e+00	1.826239e-07	3.131973e-08	3.131973e-08
-3.200000e+00	-3.000000e+00	8.218070e-07	6.643918e-08	6.643918e-08
-3.000000e+00	-2.800000e+00	2.483147e-05	3.652082e-07	3.652082e-07
-2.800000e+00	-2.600000e+00	3.333422e-05	4.231403e-07	4.231403e-07
-2.600000e+00	-2.400000e+00	4.312071e-05	4.812627e-07	4.812627e-07
-2.400000e+00	-2.200000e+00	5.348730e-05	5.359998e-07	5.359998e-07
-2.200000e+00	-2.000000e+00	6.736670e-05	6.015364e-07	6.015364e-07
-2.000000e+00	-1.800000e+00	7.803410e-05	6.474131e-07	6.474131e-07
-1.800000e+00	-1.600000e+00	9.144085e-05	7.008245e-07	7.008245e-07
-1.600000e+00	-1.400000e+00	1.062065e-04	7.552918e-07	7.552918e-07
-1.400000e+00	-1.200000e+00	1.195273e-04	8.012589e-07	8.012589e-07
-1.200000e+00	-1.000000e+00	1.305331e-04	8.373355e-07	8.373355e-07
-1.000000e+00	-8.000000e-01	1.427689e-04	8.757013e-07	8.757013e-07
-8.000000e-01	-6.000000e-01	1.496441e-04	8.965388e-07	8.965388e-07
-6.000000e-01	-4.000000e-01	1.564872e-04	9.168085e-07	9.168085e-07
-4.000000e-01	-2.000000e-01	1.621699e-04	9.333069e-07	9.333069e-07
-2.000000e-01	0.000000e+00	1.633355e-04	9.366548e-07	9.366548e-07
0.000000e+00	2.000000e-01	1.642755e-04	9.393462e-07	9.393462e-07
2.000000e-01	4.000000e-01	1.616811e-04	9.318993e-07	9.318993e-07
4.000000e-01	6.000000e-01	1.552571e-04	9.131981e-07	9.131981e-07
6.000000e-01	8.000000e-01	1.505948e-04	8.993821e-07	8.993821e-07
8.000000e-01	1.000000e+00	1.420062e-04	8.733590e-07	8.733590e-07
1.000000e+00	1.200000e+00	1.333154e-04	8.462124e-07	8.462124e-07
1.200000e+00	1.400000e+00	1.200644e-04	8.030571e-07	8.030571e-07
1.400000e+00	1.600000e+00	1.061259e-04	7.550053e-07	7.550053e-07
1.600000e+00	1.800000e+00	9.233245e-05	7.042331e-07	7.042331e-07
1.800000e+00	2.000000e+00	7.874310e-05	6.503476e-07	6.503476e-07
2.000000e+00	2.200000e+00	6.553510e-05	5.933026e-07	5.933026e-07
2.200000e+00	2.400000e+00	5.512015e-05	5.441197e-07	5.441197e-07
2.400000e+00	2.600000e+00	4.331944e-05	4.823705e-07	4.823705e-07
2.600000e+00	2.800000e+00	3.454276e-05	4.307426e-07	4.307426e-07
2.800000e+00	3.000000e+00	2.537934e-05	3.692151e-07	3.692151e-07
3.000000e+00	3.200000e+00	7.734655e-07	6.445547e-08	6.445547e-08
3.200000e+00	3.400000e+00	1.557674e-07	2.892528e-08	2.892528e-08
3.400000e+00	3.600000e+00	8.056935e-08	2.080291e-08	2.080291e-08
3.600000e+00	3.800000e+00	6.445545e-08	1.860669e-08	1.860669e-08
3.800000e+00	4.000000e+00	3.222773e-08	1.315692e-08	1.315692e-08
4.000000e+00	4.200000e+00	3.222773e-08	1.315692e-08	1.315692e-08
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	1.074258e-08	7.596150e-09	7.596150e-09
4.800000e+00	5.000000e+00	5.371290e-09	5.371289e-09	5.371289e-09
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_2
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	8.279065e-09	4.779922e-09	4.779922e-09
-4.600000e+00	-4.400000e+00	1.379845e-08	6.170853e-09	6.170853e-09
-4.400000e+00	-4.200000e+00	1.103875e-08	5.519377e-09	5.519377e-09
-4.200000e+00	-4.000000e+00	5.519380e-09	3.902790e-09	3.902790e-09
-4.000000e+00	-3.800000e+00	2.483720e-08	8.279067e-09	8.279067e-09
-3.800000e+00	-3.600000e+00	1.931783e-08	7.301450e-09	7.301450e-09
-3.600000e+00	-3.400000e+00	5.243410e-08	1.202921e-08	1.202921e-08
-3.400000e+00	-3.200000e+00	8.555035e-08	1.536530e-08	1.536530e-08
-3.200000e+00	-3.000000e+00	4.001549e-07	3.323105e-08	3.323105e-08
-3.000000e+00	-2.800000e+00	1.274700e-05	1.875574e-07	1.875574e-07
-2.800000e+00	-2.600000e+00	1.715423e-05	2.175783e-07	2.175783e-07
-2.600000e+00	-2.400000e+00	2.152281e-05	2.437135e-07	2.437135e-07
-2.400000e+00	-2.200000e+00	2.762449e-05	2.761069e-07	2.761069e-07
-2.200000e+00	-2.000000e+00	3.319354e-05	3.026613e-07	3.026613e-07
-2.000000e+00	-1.800000e+00	3.962638e-05	3.306909e-07	3.306909e-07
-1.800000e+00	-1.600000e+00	4.698095e-05	3.600733e-07	3.600733e-07
-1.600000e+00	-1.400000e+00	5.291430e-05	3.821347e-07	3.821347e-07
-1.400000e+00	-1.200000e+00	6.031025e-05	4.079675e-07	4.079675e-07
-1.200000e+00	-1.000000e+00	6.622700e-05	4.275114e-07	4.275114e-07
-1.000000e+00	-8.000000e-01	7.065080e-05	4.415589e-07	4.415589e-07
-8.000000e-01	-6.000000e-01	7.533675e-05	4.559671e-07	4.559671e-07
-6.000000e-01	-4.000000e-01	7.838895e-05	4.651120e-07	4.651120e-07
-4.000000e-01	-2.000000e-01	8.186895e-05	4.753239e-07	4.753239e-07
-2.000000e-01	0.000000e+00	8.250365e-05	4.771629e-07	4.771629e-07
0.000000e+00	2.000000e-01	8.274375e-05	4.778567e-07	4.778567e-07
2.000000e-01	4.000000e-01	8.086165e-05	4.723907e-07	4.723907e-07
4.000000e-01	6.000000e-01	7.909820e-05	4.672114e-07	4.672114e-07
6.000000e-01	8.000000e-01	7.562100e-05	4.568265e-07	4.568265e-07
8.000000e-01	1.000000e+00	7.077775e-05	4.419554e-07	4.419554e-07
1.000000e+00	1.200000e+00	6.600070e-05	4.267803e-07	4.267803e-07
1.200000e+00	1.400000e+00	6.052000e-05	4.086763e-07	4.086763e-07
1.400000e+00	1.600000e+00	5.302190e-05	3.825232e-07	3.825232e-07
1.600000e+00	1.800000e+00	4.745561e-05	3.618877e-07	3.618877e-07
1.800000e+00	2.000000e+00	3.965121e-05	3.307945e-07	3.307945e-07
2.000000e+00	2.200000e+00	3.348054e-05	3.039669e-07	3.039669e-07
2.200000e+00	2.400000e+00	2.720778e-05	2.740164e-07	2.740164e-07
2.400000e+00	2.600000e+00	2.152557e-05	2.437292e-07	2.437292e-07
2.600000e+00	2.800000e+00	1.715423e-05	2.175783e-07	2.175783e-07
2.800000e+00	3.000000e+00	1.311956e-05	1.902785e-07	1.902785e-07
3.000000e+00	3.200000e+00	3.780774e-07	3.230133e-08	3.230133e-08
3.200000e+00	3.400000e+00	5.243410e-08	1.202921e-08	1.202921e-08
3.400000e+00	3.600000e+00	6.623255e-08	1.351966e-08	1.351966e-08
3.600000e+00	3.800000e+00	1.655814e-08	6.759830e-09	6.759830e-09
3.800000e+00	4.000000e+00	2.483720e-08	8.279067e-09	8.279067e-09
4.000000e+00	4.200000e+00	1.931782e-08	7.301450e-09	7.301450e-09
4.200000e+00	4.400000e+00	2.759689e-09	2.759689e-09	2.759689e-09
4.400000e+00	4.600000e+00	8.279065e-09	4.779922e-09	4.779922e-09
4.600000e+00	4.800000e+00	2.759689e-09	2.759689e-09	2.759689e-09
4.800000e+00	5.000000e+00	2.759689e-09	2.759689e-09	2.759689e-09
# END HISTO1D

