# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of first tau
XLabel=$y(\tau\mathrm{1})_+/y(\tau\mathrm{1})_-$
YLabel=$|y(\tau\mathrm{1}|$
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0078479916174005078, dn: 0.0078479916174005078}}, 1: {"": {up: 0.0079558224687067344, dn: 0.0079558224687067344}}, 2: {"": {up: 0.0080092763555688617, dn: 0.0080092763555688617}}, 3: {"": {up: 0.0084058838943954738, dn: 0.0084058838943954738}}, 4: {"": {up: 0.0083941898883980615, dn: 0.0083941898883980615}}, 5: {"": {up: 0.0090339278851390998, dn: 0.0090339278851390998}}, 6: {"": {up: 0.0093637724680448141, dn: 0.0093637724680448141}}, 7: {"": {up: 0.0099190614232862444, dn: 0.0099190614232862444}}, 8: {"": {up: 0.010698387077548051, dn: 0.010698387077548051}}, 9: {"": {up: 0.011770557329334866, dn: 0.011770557329334866}}, 10: {"": {up: 0.013574971584189043, dn: 0.013574971584189043}}, 11: {"": {up: 0.015035514933434404, dn: 0.015035514933434404}}, 12: {"": {up: 0.016946397109359114, dn: 0.016946397109359114}}, 13: {"": {up: 0.020460653260071158, dn: 0.020460653260071158}}, 14: {"": {up: 0.023931911063220596, dn: 0.023931911063220596}}, 15: {"": {up: 0.11647427621112612, dn: 0.11647427621112612}}, 16: {"": {up: 0.11217197048467749, dn: 0.11217197048467749}}, 17: {"": {up: 0.1417633799747933, dn: 0.1417633799747933}}, 18: {"": {up: 0.17767308604542764, dn: 0.17767308604542764}}, 19: {"": {up: 0.16166703293682483, dn: 0.16166703293682483}}, 20: {"": {up: 0.16391306965158492, dn: 0.16391306965158492}}, 21: {"": {up: 0.20737266681032956, dn: 0.20737266681032956}}, 22: {"": {up: 0.21684020827772216, dn: 0.21684020827772216}}, 23: {"": {up: 0.16548122850109545, dn: 0.16548122850109545}}, 24: {"": {up: 0.17888543819998318, dn: 0.17888543819998318}}}
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.943787e-01	7.847992e-03	7.847992e-03
2.000000e-01	4.000000e-01	1.003056e+00	7.955822e-03	7.955822e-03
4.000000e-01	6.000000e-01	9.912577e-01	8.009276e-03	8.009276e-03
6.000000e-01	8.000000e-01	1.017050e+00	8.405884e-03	8.405884e-03
8.000000e-01	1.000000e+00	9.881644e-01	8.394190e-03	8.394190e-03
1.000000e+00	1.200000e+00	1.013399e+00	9.033928e-03	9.033928e-03
1.200000e+00	1.400000e+00	9.946080e-01	9.363772e-03	9.363772e-03
1.400000e+00	1.600000e+00	9.912268e-01	9.919061e-03	9.919061e-03
1.600000e+00	1.800000e+00	9.847748e-01	1.069839e-02	1.069839e-02
1.800000e+00	2.000000e+00	9.949745e-01	1.177056e-02	1.177056e-02
2.000000e+00	2.200000e+00	1.024006e+00	1.357497e-02	1.357497e-02
2.200000e+00	2.400000e+00	1.012536e+00	1.503551e-02	1.503551e-02
2.400000e+00	2.600000e+00	9.897929e-01	1.694640e-02	1.694640e-02
2.600000e+00	2.800000e+00	1.018530e+00	2.046065e-02	2.046065e-02
2.800000e+00	3.000000e+00	9.988526e-01	2.393191e-02	2.393191e-02
3.000000e+00	3.200000e+00	1.073171e+00	1.164743e-01	1.164743e-01
3.200000e+00	3.400000e+00	8.360656e-01	1.121720e-01	1.121720e-01
3.400000e+00	3.600000e+00	9.897959e-01	1.417634e-01	1.417634e-01
3.600000e+00	3.800000e+00	1.108108e+00	1.776731e-01	1.776731e-01
3.800000e+00	4.000000e+00	1.012821e+00	1.616670e-01	1.616670e-01
4.000000e+00	4.200000e+00	9.411765e-01	1.639131e-01	1.639131e-01
4.200000e+00	4.400000e+00	1.169492e+00	2.073727e-01	2.073727e-01
4.400000e+00	4.600000e+00	1.083333e+00	2.168402e-01	2.168402e-01
4.600000e+00	4.800000e+00	8.148148e-01	1.654812e-01	1.654812e-01
4.800000e+00	5.000000e+00	8.000000e-01	1.788854e-01	1.788854e-01
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_y_pmratio_1
ErrorBars=1
