# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between taus
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\tau\mathrm{1,~}\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\tau\mathrm{1,~}\tau\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.038627e-06	1.276103e-07	1.276103e-07
2.000000e-01	4.000000e-01	3.586330e-05	4.384018e-07	4.384018e-07
4.000000e-01	6.000000e-01	9.863480e-05	7.270466e-07	7.270466e-07
6.000000e-01	8.000000e-01	1.530514e-04	9.056614e-07	9.056614e-07
8.000000e-01	1.000000e+00	1.855867e-04	9.972881e-07	9.972881e-07
1.000000e+00	1.200000e+00	2.016105e-04	1.039450e-06	1.039450e-06
1.200000e+00	1.400000e+00	2.117178e-04	1.065187e-06	1.065187e-06
1.400000e+00	1.600000e+00	2.158497e-04	1.075531e-06	1.075531e-06
1.600000e+00	1.800000e+00	2.148476e-04	1.073031e-06	1.073031e-06
1.800000e+00	2.000000e+00	2.145903e-04	1.072389e-06	1.072389e-06
2.000000e+00	2.200000e+00	2.164231e-04	1.076959e-06	1.076959e-06
2.200000e+00	2.400000e+00	2.159784e-04	1.075851e-06	1.075851e-06
2.400000e+00	2.600000e+00	2.165839e-04	1.077359e-06	1.077359e-06
2.600000e+00	2.800000e+00	2.195154e-04	1.084625e-06	1.084625e-06
2.800000e+00	3.000000e+00	2.223932e-04	1.091712e-06	1.091712e-06
3.000000e+00	3.200000e+00	2.049439e-04	1.048008e-06	1.048008e-06
3.200000e+00	3.400000e+00	9.026385e-05	6.955111e-07	6.955111e-07
3.400000e+00	3.600000e+00	4.731576e-05	5.035588e-07	5.035588e-07
3.600000e+00	3.800000e+00	2.754058e-05	3.841790e-07	3.841790e-07
3.800000e+00	4.000000e+00	1.766905e-05	3.077187e-07	3.077187e-07
4.000000e+00	4.200000e+00	1.147926e-05	2.480299e-07	2.480299e-07
4.200000e+00	4.400000e+00	7.224110e-06	1.967611e-07	1.967611e-07
4.400000e+00	4.600000e+00	4.962555e-06	1.630797e-07	1.630797e-07
4.600000e+00	4.800000e+00	3.590617e-06	1.387177e-07	1.387177e-07
4.800000e+00	5.000000e+00	2.031110e-06	1.043311e-07	1.043311e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.857526e-06	1.238895e-07	1.238895e-07
2.000000e-01	4.000000e-01	3.549348e-05	4.366300e-07	4.366300e-07
4.000000e-01	6.000000e-01	9.849335e-05	7.273488e-07	7.273488e-07
6.000000e-01	8.000000e-01	1.508097e-04	9.000236e-07	9.000236e-07
8.000000e-01	1.000000e+00	1.850356e-04	9.969349e-07	9.969349e-07
1.000000e+00	1.200000e+00	2.020142e-04	1.041670e-06	1.041670e-06
1.200000e+00	1.400000e+00	2.113871e-04	1.065561e-06	1.065561e-06
1.400000e+00	1.600000e+00	2.165005e-04	1.078372e-06	1.078372e-06
1.600000e+00	1.800000e+00	2.156627e-04	1.076284e-06	1.076284e-06
1.800000e+00	2.000000e+00	2.181925e-04	1.082578e-06	1.082578e-06
2.000000e+00	2.200000e+00	2.175157e-04	1.080898e-06	1.080898e-06
2.200000e+00	2.400000e+00	2.164737e-04	1.078305e-06	1.078305e-06
2.400000e+00	2.600000e+00	2.165220e-04	1.078426e-06	1.078426e-06
2.600000e+00	2.800000e+00	2.197287e-04	1.086382e-06	1.086382e-06
2.800000e+00	3.000000e+00	2.241331e-04	1.097216e-06	1.097216e-06
3.000000e+00	3.200000e+00	2.058600e-04	1.051539e-06	1.051539e-06
3.200000e+00	3.400000e+00	9.126355e-05	7.001450e-07	7.001450e-07
3.400000e+00	3.600000e+00	4.688061e-05	5.018060e-07	5.018060e-07
3.600000e+00	3.800000e+00	2.812407e-05	3.886676e-07	3.886676e-07
3.800000e+00	4.000000e+00	1.786490e-05	3.097702e-07	3.097702e-07
4.000000e+00	4.200000e+00	1.112931e-05	2.444969e-07	2.444969e-07
4.200000e+00	4.400000e+00	7.278095e-06	1.977189e-07	1.977189e-07
4.400000e+00	4.600000e+00	4.812675e-06	1.607802e-07	1.607802e-07
4.600000e+00	4.800000e+00	3.389283e-06	1.349252e-07	1.349252e-07
4.800000e+00	5.000000e+00	2.218342e-06	1.091575e-07	1.091575e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dR_12
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.443317e-06	6.311186e-08	6.311186e-08
2.000000e-01	4.000000e-01	1.777239e-05	2.214639e-07	2.214639e-07
4.000000e-01	6.000000e-01	4.955574e-05	3.698086e-07	3.698086e-07
6.000000e-01	8.000000e-01	7.602115e-05	4.580335e-07	4.580335e-07
8.000000e-01	1.000000e+00	9.257100e-05	5.054377e-07	5.054377e-07
1.000000e+00	1.200000e+00	1.017884e-04	5.300040e-07	5.300040e-07
1.200000e+00	1.400000e+00	1.064412e-04	5.419820e-07	5.419820e-07
1.400000e+00	1.600000e+00	1.080363e-04	5.460279e-07	5.460279e-07
1.600000e+00	1.800000e+00	1.097170e-04	5.502588e-07	5.502588e-07
1.800000e+00	2.000000e+00	1.093831e-04	5.494208e-07	5.494208e-07
2.000000e+00	2.200000e+00	1.094824e-04	5.496701e-07	5.496701e-07
2.200000e+00	2.400000e+00	1.091430e-04	5.488174e-07	5.488174e-07
2.400000e+00	2.600000e+00	1.100233e-04	5.510263e-07	5.510263e-07
2.600000e+00	2.800000e+00	1.097115e-04	5.502449e-07	5.502449e-07
2.800000e+00	3.000000e+00	1.119854e-04	5.559182e-07	5.559182e-07
3.000000e+00	3.200000e+00	1.044597e-04	5.369139e-07	5.369139e-07
3.200000e+00	3.400000e+00	4.555143e-05	3.545529e-07	3.545529e-07
3.400000e+00	3.600000e+00	2.378024e-05	2.561759e-07	2.561759e-07
3.600000e+00	3.800000e+00	1.402750e-05	1.967524e-07	1.967524e-07
3.800000e+00	4.000000e+00	8.864120e-06	1.564040e-07	1.564040e-07
4.000000e+00	4.200000e+00	5.803625e-06	1.265551e-07	1.265551e-07
4.200000e+00	4.400000e+00	3.780774e-06	1.021458e-07	1.021458e-07
4.400000e+00	4.600000e+00	2.646542e-06	8.546129e-08	8.546129e-08
4.600000e+00	4.800000e+00	1.708247e-06	6.866027e-08	6.866027e-08
4.800000e+00	5.000000e+00	1.034883e-06	5.344114e-08	5.344114e-08
# END HISTO1D

