# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between taus
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\tau\mathrm{1,~}\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\tau\mathrm{1,~}\tau\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_deta_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.394487e-07	3.431518e-08	3.431518e-08
-4.600000e+00	-4.200000e+00	8.547813e-07	4.785857e-08	4.785857e-08
-4.200000e+00	-3.800000e+00	1.755115e-06	6.857803e-08	6.857803e-08
-3.800000e+00	-3.400000e+00	3.314623e-06	9.424304e-08	9.424304e-08
-3.400000e+00	-3.000000e+00	6.235350e-06	1.292595e-07	1.292595e-07
-3.000000e+00	-2.600000e+00	1.137208e-05	1.745629e-07	1.745629e-07
-2.600000e+00	-2.200000e+00	2.021196e-05	2.327215e-07	2.327215e-07
-2.200000e+00	-1.800000e+00	3.640725e-05	3.123390e-07	3.123390e-07
-1.800000e+00	-1.400000e+00	6.402552e-05	4.141988e-07	4.141988e-07
-1.400000e+00	-1.000000e+00	1.099453e-04	5.427757e-07	5.427757e-07
-1.000000e+00	-6.000000e-01	1.707553e-04	6.764244e-07	6.764244e-07
-6.000000e-01	-2.000000e-01	2.214607e-04	7.703366e-07	7.703366e-07
-2.000000e-01	2.000000e-01	2.291350e-04	7.835702e-07	7.835702e-07
2.000000e-01	6.000000e-01	2.207560e-04	7.691100e-07	7.691100e-07
6.000000e-01	1.000000e+00	1.719155e-04	6.787186e-07	6.787186e-07
1.000000e+00	1.400000e+00	1.101650e-04	5.433178e-07	5.433178e-07
1.400000e+00	1.800000e+00	6.414880e-05	4.145972e-07	4.145972e-07
1.800000e+00	2.200000e+00	3.666985e-05	3.134633e-07	3.134633e-07
2.200000e+00	2.600000e+00	2.032718e-05	2.333838e-07	2.333838e-07
2.600000e+00	3.000000e+00	1.076917e-05	1.698726e-07	1.698726e-07
3.000000e+00	3.400000e+00	5.846813e-06	1.251675e-07	1.251675e-07
3.400000e+00	3.800000e+00	3.333380e-06	9.450929e-08	9.450929e-08
3.800000e+00	4.200000e+00	1.610419e-06	6.569035e-08	6.569035e-08
