# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between taus
LegendXPos=0.1
XLabel=$\Delta\phi(\tau\mathrm{1,~}\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\tau\mathrm{1,~}\tau\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.380641e-04	1.085170e-06	1.085170e-06
1.256637e-01	2.513274e-01	1.463547e-04	1.117276e-06	1.117276e-06
2.513274e-01	3.769911e-01	1.640786e-04	1.182996e-06	1.182996e-06
3.769911e-01	5.026548e-01	1.774525e-04	1.230264e-06	1.230264e-06
5.026548e-01	6.283185e-01	1.882081e-04	1.266999e-06	1.266999e-06
6.283185e-01	7.539822e-01	1.934109e-04	1.284393e-06	1.284393e-06
7.539822e-01	8.796459e-01	1.968226e-04	1.295671e-06	1.295671e-06
8.796459e-01	1.005310e+00	1.995855e-04	1.304731e-06	1.304731e-06
1.005310e+00	1.130973e+00	1.972758e-04	1.297165e-06	1.297165e-06
1.130973e+00	1.256637e+00	1.984598e-04	1.301047e-06	1.301047e-06
1.256637e+00	1.382301e+00	1.993725e-04	1.304035e-06	1.304035e-06
1.382301e+00	1.507964e+00	1.977278e-04	1.298651e-06	1.298651e-06
1.507964e+00	1.633628e+00	1.979054e-04	1.299229e-06	1.299229e-06
1.633628e+00	1.759292e+00	1.968563e-04	1.295780e-06	1.295780e-06
1.759292e+00	1.884956e+00	1.969075e-04	1.295949e-06	1.295949e-06
1.884956e+00	2.010619e+00	1.976766e-04	1.298483e-06	1.298483e-06
2.010619e+00	2.136283e+00	2.013683e-04	1.310546e-06	1.310546e-06
2.136283e+00	2.261947e+00	2.009589e-04	1.309213e-06	1.309213e-06
2.261947e+00	2.387610e+00	2.030501e-04	1.316013e-06	1.316013e-06
2.387610e+00	2.513274e+00	2.036115e-04	1.317825e-06	1.317825e-06
2.513274e+00	2.638938e+00	2.071682e-04	1.329286e-06	1.329286e-06
2.638938e+00	2.764602e+00	2.084050e-04	1.333248e-06	1.333248e-06
2.764602e+00	2.890265e+00	2.124325e-04	1.346074e-06	1.346074e-06
2.890265e+00	3.015929e+00	2.111344e-04	1.341950e-06	1.341950e-06
3.015929e+00	3.141593e+00	2.139661e-04	1.350919e-06	1.350919e-06
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/taus_dphi_12
