# BEGIN PLOT
Legend=1
LogY=0
Title=Z $p_\perp$ in peak region
XLabel=$p_\perp^{\mathrm{Z}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{Z}}$ [pb/GeV]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	6.323774e-08	8.232853e-09	8.232853e-09
1.000000e+00	2.000000e+00	1.597021e-07	1.308331e-08	1.308331e-08
2.000000e+00	3.000000e+00	2.743875e-07	1.714922e-08	1.714922e-08
3.000000e+00	4.000000e+00	3.547745e-07	1.950017e-08	1.950017e-08
4.000000e+00	5.000000e+00	5.294821e-07	2.382253e-08	2.382253e-08
5.000000e+00	6.000000e+00	6.184437e-07	2.574615e-08	2.574615e-08
6.000000e+00	7.000000e+00	6.891842e-07	2.717877e-08	2.717877e-08
7.000000e+00	8.000000e+00	7.835049e-07	2.897898e-08	2.897898e-08
8.000000e+00	9.000000e+00	9.153396e-07	3.132227e-08	3.132227e-08
9.000000e+00	1.000000e+01	1.036456e-06	3.333018e-08	3.333018e-08
1.000000e+01	1.100000e+01	1.084688e-06	3.409688e-08	3.409688e-08
1.100000e+01	1.200000e+01	1.228313e-06	3.628413e-08	3.628413e-08
1.200000e+01	1.300000e+01	1.362291e-06	3.821177e-08	3.821177e-08
1.300000e+01	1.400000e+01	1.420170e-06	3.901506e-08	3.901506e-08
1.400000e+01	1.500000e+01	1.497341e-06	4.006107e-08	4.006107e-08
1.500000e+01	1.600000e+01	1.620601e-06	4.167737e-08	4.167737e-08
1.600000e+01	1.700000e+01	1.635607e-06	4.186987e-08	4.186987e-08
1.700000e+01	1.800000e+01	1.728856e-06	4.304687e-08	4.304687e-08
1.800000e+01	1.900000e+01	1.786734e-06	4.376150e-08	4.376150e-08
1.900000e+01	2.000000e+01	1.952867e-06	4.575078e-08	4.575078e-08
2.000000e+01	2.100000e+01	1.982878e-06	4.610099e-08	4.610099e-08
2.100000e+01	2.200000e+01	2.113641e-06	4.759681e-08	4.759681e-08
2.200000e+01	2.300000e+01	2.092205e-06	4.735483e-08	4.735483e-08
2.300000e+01	2.400000e+01	2.174735e-06	4.827979e-08	4.827979e-08
2.400000e+01	2.500000e+01	2.265841e-06	4.928070e-08	4.928070e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	5.586141e-08	7.746583e-09	7.746583e-09
1.000000e+00	2.000000e+00	1.342822e-07	1.201057e-08	1.201057e-08
2.000000e+00	3.000000e+00	2.696387e-07	1.701944e-08	1.701944e-08
3.000000e+00	4.000000e+00	4.114407e-07	2.102364e-08	2.102364e-08
4.000000e+00	5.000000e+00	5.220893e-07	2.368245e-08	2.368245e-08
5.000000e+00	6.000000e+00	5.725794e-07	2.480117e-08	2.480117e-08
6.000000e+00	7.000000e+00	7.025646e-07	2.747245e-08	2.747245e-08
7.000000e+00	8.000000e+00	8.132132e-07	2.955674e-08	2.955674e-08
8.000000e+00	9.000000e+00	9.700548e-07	3.228140e-08	3.228140e-08
9.000000e+00	1.000000e+01	1.019471e-06	3.309341e-08	3.309341e-08
1.000000e+01	1.100000e+01	1.094669e-06	3.429221e-08	3.429221e-08
1.100000e+01	1.200000e+01	1.259030e-06	3.677666e-08	3.677666e-08
1.200000e+01	1.300000e+01	1.245065e-06	3.657213e-08	3.657213e-08
1.300000e+01	1.400000e+01	1.418020e-06	3.902972e-08	3.902972e-08
1.400000e+01	1.500000e+01	1.486773e-06	3.996470e-08	3.996470e-08
1.500000e+01	1.600000e+01	1.609238e-06	4.157808e-08	4.157808e-08
1.600000e+01	1.700000e+01	1.674768e-06	4.241619e-08	4.241619e-08
1.700000e+01	1.800000e+01	1.752114e-06	4.338459e-08	4.338459e-08
1.800000e+01	1.900000e+01	1.836981e-06	4.442287e-08	4.442287e-08
1.900000e+01	2.000000e+01	1.918624e-06	4.539931e-08	4.539931e-08
2.000000e+01	2.100000e+01	2.023902e-06	4.662823e-08	4.662823e-08
2.100000e+01	2.200000e+01	2.146367e-06	4.801825e-08	4.801825e-08
2.200000e+01	2.300000e+01	2.132402e-06	4.786177e-08	4.786177e-08
2.300000e+01	2.400000e+01	2.196857e-06	4.857974e-08	4.857974e-08
2.400000e+01	2.500000e+01	2.245199e-06	4.911132e-08	4.911132e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_pT_peak
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.925270e-08	4.018167e-09	4.018167e-09
1.000000e+00	2.000000e+00	8.720617e-08	6.937750e-09	6.937750e-09
2.000000e+00	3.000000e+00	1.534387e-07	9.202642e-09	9.202642e-09
3.000000e+00	4.000000e+00	1.948340e-07	1.036997e-08	1.036997e-08
4.000000e+00	5.000000e+00	2.367813e-07	1.143191e-08	1.143191e-08
5.000000e+00	6.000000e+00	2.947348e-07	1.275442e-08	1.275442e-08
6.000000e+00	7.000000e+00	3.515844e-07	1.393028e-08	1.393028e-08
7.000000e+00	8.000000e+00	4.128495e-07	1.509527e-08	1.509527e-08
8.000000e+00	9.000000e+00	4.443099e-07	1.565987e-08	1.565987e-08
9.000000e+00	1.000000e+01	5.050231e-07	1.669555e-08	1.669555e-08
1.000000e+01	1.100000e+01	5.569052e-07	1.753217e-08	1.753217e-08
1.100000e+01	1.200000e+01	6.032680e-07	1.824737e-08	1.824737e-08
1.200000e+01	1.300000e+01	6.877145e-07	1.948270e-08	1.948270e-08
1.300000e+01	1.400000e+01	7.241424e-07	1.999204e-08	1.999204e-08
1.400000e+01	1.500000e+01	7.368370e-07	2.016651e-08	2.016651e-08
