# BEGIN PLOT
Legend=1
LogY=1
Title=Z azimuthal angle
XLabel=$\phi_{\mathrm{Z}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi_{\mathrm{Z}}$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	7.118145e-05	5.509671e-07	5.509671e-07
2.513274e-01	5.026548e-01	7.274233e-05	5.569753e-07	5.569753e-07
5.026548e-01	7.539822e-01	7.113880e-05	5.508020e-07	5.508020e-07
7.539822e-01	1.005310e+00	7.078473e-05	5.494292e-07	5.494292e-07
1.005310e+00	1.256637e+00	7.317316e-05	5.586227e-07	5.586227e-07
1.256637e+00	1.507964e+00	7.122422e-05	5.511331e-07	5.511331e-07
1.507964e+00	1.759292e+00	7.241804e-05	5.557317e-07	5.557317e-07
1.759292e+00	2.010619e+00	7.185539e-05	5.535696e-07	5.535696e-07
2.010619e+00	2.261947e+00	7.185085e-05	5.535510e-07	5.535510e-07
2.261947e+00	2.513274e+00	7.124129e-05	5.511990e-07	5.511990e-07
2.513274e+00	2.764602e+00	7.231140e-05	5.553225e-07	5.553225e-07
2.764602e+00	3.015929e+00	7.287892e-05	5.574983e-07	5.574983e-07
3.015929e+00	3.267256e+00	7.220510e-05	5.549150e-07	5.549150e-07
3.267256e+00	3.518584e+00	7.238394e-05	5.556006e-07	5.556006e-07
3.518584e+00	3.769911e+00	7.200038e-05	5.541279e-07	5.541279e-07
3.769911e+00	4.021239e+00	7.197877e-05	5.540437e-07	5.540437e-07
4.021239e+00	4.272566e+00	7.143745e-05	5.519574e-07	5.519574e-07
4.272566e+00	4.523893e+00	7.142894e-05	5.519245e-07	5.519245e-07
4.523893e+00	4.775221e+00	7.128362e-05	5.513618e-07	5.513618e-07
4.775221e+00	5.026548e+00	7.154834e-05	5.523856e-07	5.523856e-07
5.026548e+00	5.277876e+00	7.135616e-05	5.516421e-07	5.516421e-07
5.277876e+00	5.529203e+00	7.203022e-05	5.542427e-07	5.542427e-07
5.529203e+00	5.780530e+00	7.182125e-05	5.534382e-07	5.534382e-07
5.780530e+00	6.031858e+00	7.215790e-05	5.547326e-07	5.547326e-07
6.031858e+00	6.283185e+00	7.122848e-05	5.511496e-07	5.511496e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/Z_phi
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	7.198411e-05	5.546930e-07	5.546930e-07
2.513274e-01	5.026548e-01	7.217645e-05	5.554335e-07	5.554335e-07
5.026548e-01	7.539822e-01	7.146264e-05	5.526802e-07	5.526802e-07
7.539822e-01	1.005310e+00	7.130863e-05	5.520839e-07	5.520839e-07
1.005310e+00	1.256637e+00	7.191583e-05	5.544302e-07	5.544302e-07
1.256637e+00	1.507964e+00	7.256550e-05	5.569290e-07	5.569290e-07
1.507964e+00	1.759292e+00	7.163770e-05	5.533560e-07	5.533560e-07
1.759292e+00	2.010619e+00	7.131315e-05	5.521021e-07	5.521021e-07
2.010619e+00	2.261947e+00	7.216773e-05	5.553993e-07	5.553993e-07
2.261947e+00	2.513274e+00	7.314682e-05	5.591553e-07	5.591553e-07
2.513274e+00	2.764602e+00	7.255670e-05	5.568940e-07	5.568940e-07
2.764602e+00	3.015929e+00	7.042407e-05	5.486499e-07	5.486499e-07
3.015929e+00	3.267256e+00	7.248859e-05	5.566337e-07	5.566337e-07
3.267256e+00	3.518584e+00	7.192836e-05	5.544774e-07	5.544774e-07
3.518584e+00	3.769911e+00	7.172349e-05	5.536883e-07	5.536883e-07
3.769911e+00	4.021239e+00	7.251822e-05	5.567463e-07	5.567463e-07
4.021239e+00	4.272566e+00	7.273651e-05	5.575848e-07	5.575848e-07
4.272566e+00	4.523893e+00	7.173201e-05	5.537213e-07	5.537213e-07
4.523893e+00	4.775221e+00	7.230022e-05	5.559089e-07	5.559089e-07
4.775221e+00	5.026548e+00	7.110370e-05	5.512909e-07	5.512909e-07
5.026548e+00	5.277876e+00	7.350132e-05	5.605075e-07	5.605075e-07
5.277876e+00	5.529203e+00	7.204407e-05	5.549243e-07	5.549243e-07
5.529203e+00	5.780530e+00	7.194575e-05	5.545456e-07	5.545456e-07
5.780530e+00	6.031858e+00	7.200101e-05	5.547574e-07	5.547574e-07
6.031858e+00	6.283185e+00	7.134307e-05	5.522180e-07	5.522180e-07
# END HISTO1D


