# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $\eta$
XLabel=$\eta_{\mathrm{l}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{l}}$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_eta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-3.400000e+00	-3.200000e+00	1.071826e-08	7.578956e-09	7.578956e-09
-3.200000e+00	-3.000000e+00	5.948635e-07	5.646196e-08	5.646196e-08
-3.000000e+00	-2.800000e+00	2.817295e-05	3.885647e-07	3.885647e-07
-2.800000e+00	-2.600000e+00	4.038105e-05	4.651960e-07	4.651960e-07
-2.600000e+00	-2.400000e+00	5.480245e-05	5.419350e-07	5.419350e-07
-2.400000e+00	-2.200000e+00	7.214460e-05	6.217978e-07	6.217978e-07
-2.200000e+00	-2.000000e+00	9.272370e-05	7.049243e-07	7.049243e-07
-2.000000e+00	-1.800000e+00	1.150659e-04	7.852727e-07	7.852727e-07
-1.800000e+00	-1.600000e+00	1.353931e-04	8.518153e-07	8.518153e-07
-1.600000e+00	-1.400000e+00	1.575745e-04	9.189464e-07	9.189464e-07
-1.400000e+00	-1.200000e+00	1.793648e-04	9.804281e-07	9.804281e-07
-1.200000e+00	-1.000000e+00	1.994401e-04	1.033840e-06	1.033840e-06
-1.000000e+00	-8.000000e-01	2.132130e-04	1.068942e-06	1.068942e-06
-8.000000e-01	-6.000000e-01	2.279935e-04	1.105372e-06	1.105372e-06
-6.000000e-01	-4.000000e-01	2.407483e-04	1.135870e-06	1.135870e-06
-4.000000e-01	-2.000000e-01	2.457268e-04	1.147555e-06	1.147555e-06
