# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $p_\perp$
XLabel=$p_\perp^{\mathrm{l}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{l}}$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13600/lepton_pT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.060022e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060022e+01	1.123646e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.123646e+01	1.191089e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.191089e+01	1.262581e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.262581e+01	1.338363e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.338363e+01	1.418694e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.418694e+01	1.503847e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.503847e+01	1.594110e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.594110e+01	1.689791e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.689791e+01	1.791216e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.791216e+01	1.898728e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.898728e+01	2.012693e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.012693e+01	2.133498e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.133498e+01	2.261554e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.261554e+01	2.397297e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.397297e+01	2.541187e+01	3.813851e-06	5.330019e-08	5.330019e-08
2.541187e+01	2.693714e+01	1.343586e-05	9.716762e-08	9.716762e-08
2.693714e+01	2.855395e+01	1.402885e-05	9.643702e-08	9.643702e-08
2.855395e+01	3.026781e+01	1.389673e-05	9.322467e-08	9.322467e-08
3.026781e+01	3.208454e+01	1.425204e-05	9.169708e-08	9.169708e-08
3.208454e+01	3.401031e+01	1.414635e-05	8.873237e-08	8.873237e-08
3.401031e+01	3.605167e+01	1.421429e-05	8.639029e-08	8.639029e-08
3.605167e+01	3.821555e+01	1.379483e-05	8.266160e-08	8.266160e-08
3.821555e+01	4.050932e+01	1.375243e-05	8.016356e-08	8.016356e-08
4.050932e+01	4.294076e+01	1.333126e-05	7.665951e-08	7.665951e-08
4.294076e+01	4.551814e+01	1.285503e-05	7.311550e-08	7.311550e-08
4.551814e+01	4.825022e+01	1.232407e-05	6.953326e-08	6.953326e-08
4.825022e+01	5.114629e+01	1.182385e-05	6.615111e-08	6.615111e-08
5.114629e+01	5.421618e+01	1.116171e-05	6.242608e-08	6.242608e-08
5.421618e+01	5.747033e+01	1.067330e-05	5.929155e-08	5.929155e-08
5.747033e+01	6.091980e+01	9.927879e-06	5.554107e-08	5.554107e-08
6.091980e+01	6.457631e+01	9.066161e-06	5.155141e-08	5.155141e-08
6.457631e+01	6.845230e+01	8.361704e-06	4.808596e-08	4.808596e-08
6.845230e+01	7.256093e+01	7.592677e-06	4.450524e-08	4.450524e-08
7.256093e+01	7.691616e+01	6.806660e-06	4.092829e-08	4.092829e-08
7.691616e+01	8.153281e+01	6.024923e-06	3.740024e-08	3.740024e-08
8.153281e+01	8.642655e+01	5.228004e-06	3.383839e-08	3.383839e-08
8.642655e+01	9.161403e+01	4.550965e-06	3.066449e-08	3.066449e-08
9.161403e+01	9.711287e+01	3.929949e-06	2.767707e-08	2.767707e-08
9.711287e+01	1.029418e+02	3.495383e-06	2.535217e-08	2.535217e-08
1.029418e+02	1.091205e+02	3.038521e-06	2.295856e-08	2.295856e-08
1.091205e+02	1.156701e+02	2.674656e-06	2.092130e-08	2.092130e-08
1.156701e+02	1.226128e+02	2.355712e-06	1.907036e-08	1.907036e-08
1.226128e+02	1.299723e+02	2.052046e-06	1.728747e-08	1.728747e-08
1.299723e+02	1.377734e+02	1.801375e-06	1.573209e-08	1.573209e-08
1.377734e+02	1.460429e+02	1.572193e-06	1.427498e-08	1.427498e-08
1.460429e+02	1.548086e+02	1.390512e-06	1.303936e-08	1.303936e-08
1.548086e+02	1.641005e+02	1.195955e-06	1.174539e-08	1.174539e-08
1.641005e+02	1.739501e+02	1.018004e-06	1.052513e-08	1.052513e-08
1.739501e+02	1.843909e+02	8.701248e-07	9.451180e-09	9.451180e-09
1.843909e+02	1.954584e+02	7.549995e-07	8.550879e-09	8.550879e-09
1.954584e+02	2.071901e+02	6.462002e-07	7.683609e-09	7.683609e-09
2.071901e+02	2.196260e+02	5.510865e-07	6.891813e-09	6.891813e-09
2.196260e+02	2.328084e+02	4.607688e-07	6.120776e-09	6.120776e-09
2.328084e+02	2.467820e+02	3.825978e-07	5.417255e-09	5.417255e-09
