# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between Z boson and leading jet
XLabel=$\Delta R(\mathrm{Z,~1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(\mathrm{Z,~1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	1.489014e-05	2.477564e-07	2.477564e-07
7.600000e-01	1.020000e+00	2.153546e-05	2.979563e-07	2.979563e-07
1.020000e+00	1.280000e+00	2.925261e-05	3.472624e-07	3.472624e-07
1.280000e+00	1.540000e+00	3.870115e-05	3.994271e-07	3.994271e-07
1.540000e+00	1.800000e+00	5.041292e-05	4.558757e-07	4.558757e-07
1.800000e+00	2.060000e+00	6.836604e-05	5.308792e-07	5.308792e-07
2.060000e+00	2.320000e+00	9.409808e-05	6.228249e-07	6.228249e-07
2.320000e+00	2.580000e+00	1.315007e-04	7.362741e-07	7.362741e-07
2.580000e+00	2.840000e+00	1.813447e-04	8.646254e-07	8.646254e-07
2.840000e+00	3.100000e+00	2.427439e-04	1.000345e-06	1.000345e-06
3.100000e+00	3.360000e+00	2.133594e-04	9.378456e-07	9.378456e-07
3.360000e+00	3.620000e+00	1.478543e-04	7.807149e-07	7.807149e-07
3.620000e+00	3.880000e+00	1.148132e-04	6.879730e-07	6.879730e-07
3.880000e+00	4.140000e+00	8.921304e-05	6.064426e-07	6.064426e-07
4.140000e+00	4.400000e+00	7.077762e-05	5.401613e-07	5.401613e-07
4.400000e+00	4.660000e+00	5.561542e-05	4.788208e-07	4.788208e-07
4.660000e+00	4.920000e+00	4.365219e-05	4.242076e-07	4.242076e-07
4.920000e+00	5.180000e+00	3.289270e-05	3.682352e-07	3.682352e-07
5.180000e+00	5.440000e+00	2.473445e-05	3.193204e-07	3.193204e-07
5.440000e+00	5.700000e+00	1.871986e-05	2.777965e-07	2.777965e-07
5.700000e+00	5.960000e+00	1.278359e-05	2.295630e-07	2.295630e-07
5.960000e+00	6.220000e+00	9.366112e-06	1.964966e-07	1.964966e-07
6.220000e+00	6.480000e+00	6.084673e-06	1.583778e-07	1.583778e-07
6.480000e+00	6.740000e+00	4.217223e-06	1.318526e-07	1.318526e-07
6.740000e+00	7.000000e+00	2.572383e-06	1.029777e-07	1.029777e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_dR
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	1.538255e-05	2.521051e-07	2.521051e-07
7.600000e-01	1.020000e+00	2.188594e-05	3.007116e-07	3.007116e-07
1.020000e+00	1.280000e+00	2.915783e-05	3.470925e-07	3.470925e-07
1.280000e+00	1.540000e+00	3.801633e-05	3.963261e-07	3.963261e-07
1.540000e+00	1.800000e+00	5.085785e-05	4.584020e-07	4.584020e-07
