# BEGIN PLOT
Legend=1
LogY=1
Title=
XLabel=$\Delta{\eta}(\mathrm{Z,~1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{\eta}(\mathrm{Z,~1st~jet})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	9.131960e-06	2.212225e-07	2.212225e-07
-4.800000e+00	-4.600000e+00	1.133992e-05	2.465200e-07	2.465200e-07
-4.600000e+00	-4.400000e+00	1.261540e-05	2.600145e-07	2.600145e-07
-4.400000e+00	-4.200000e+00	1.515026e-05	2.849425e-07	2.849425e-07
-4.200000e+00	-4.000000e+00	1.791557e-05	3.098579e-07	3.098579e-07
-4.000000e+00	-3.800000e+00	2.154370e-05	3.397875e-07	3.397875e-07
-3.800000e+00	-3.600000e+00	2.449123e-05	3.622868e-07	3.622868e-07
-3.600000e+00	-3.400000e+00	2.716007e-05	3.815159e-07	3.815159e-07
-3.400000e+00	-3.200000e+00	3.073462e-05	4.058458e-07	4.058458e-07
-3.200000e+00	-3.000000e+00	3.441098e-05	4.294333e-07	4.294333e-07
-3.000000e+00	-2.800000e+00	3.875723e-05	4.557467e-07	4.557467e-07
-2.800000e+00	-2.600000e+00	4.152255e-05	4.717253e-07	4.717253e-07
-2.600000e+00	-2.400000e+00	4.584736e-05	4.956834e-07	4.956834e-07
-2.400000e+00	-2.200000e+00	4.954517e-05	5.152854e-07	5.152854e-07
-2.200000e+00	-2.000000e+00	5.262665e-05	5.310680e-07	5.310680e-07
-2.000000e+00	-1.800000e+00	5.743915e-05	5.548189e-07	5.548189e-07
-1.800000e+00	-1.600000e+00	5.919695e-05	5.632444e-07	5.632444e-07
-1.600000e+00	-1.400000e+00	6.191405e-05	5.760256e-07	5.760256e-07
-1.400000e+00	-1.200000e+00	6.467400e-05	5.887245e-07	5.887245e-07
-1.200000e+00	-1.000000e+00	6.799130e-05	6.036342e-07	6.036342e-07
-1.000000e+00	-8.000000e-01	6.792160e-05	6.033247e-07	6.033247e-07
-8.000000e-01	-6.000000e-01	6.986165e-05	6.118803e-07	6.118803e-07
-6.000000e-01	-4.000000e-01	7.083165e-05	6.161136e-07	6.161136e-07
-4.000000e-01	-2.000000e-01	7.050475e-05	6.146902e-07	6.146902e-07
-2.000000e-01	0.000000e+00	7.211245e-05	6.216593e-07	6.216593e-07
0.000000e+00	2.000000e-01	7.147475e-05	6.189043e-07	6.189043e-07
2.000000e-01	4.000000e-01	7.063870e-05	6.152739e-07	6.152739e-07
4.000000e-01	6.000000e-01	7.149080e-05	6.189737e-07	6.189737e-07
6.000000e-01	8.000000e-01	6.899345e-05	6.080666e-07	6.080666e-07
8.000000e-01	1.000000e+00	6.885945e-05	6.074759e-07	6.074759e-07
1.000000e+00	1.200000e+00	6.735355e-05	6.007966e-07	6.007966e-07
1.200000e+00	1.400000e+00	6.439530e-05	5.874547e-07	5.874547e-07
1.400000e+00	1.600000e+00	6.250890e-05	5.787862e-07	5.787862e-07
1.600000e+00	1.800000e+00	5.947030e-05	5.645432e-07	5.645432e-07
1.800000e+00	2.000000e+00	5.669425e-05	5.512096e-07	5.512096e-07
2.000000e+00	2.200000e+00	5.266420e-05	5.312572e-07	5.312572e-07
2.200000e+00	2.400000e+00	4.990959e-05	5.171770e-07	5.171770e-07
2.400000e+00	2.600000e+00	4.518283e-05	4.920779e-07	4.920779e-07
2.600000e+00	2.800000e+00	4.281946e-05	4.790356e-07	4.790356e-07
2.800000e+00	3.000000e+00	3.786762e-05	4.504859e-07	4.504859e-07
3.000000e+00	3.200000e+00	3.423413e-05	4.283283e-07	4.283283e-07
3.200000e+00	3.400000e+00	3.109368e-05	4.082096e-07	4.082096e-07
3.400000e+00	3.600000e+00	2.757808e-05	3.844406e-07	3.844406e-07
3.600000e+00	3.800000e+00	2.459841e-05	3.630786e-07	3.630786e-07
3.800000e+00	4.000000e+00	2.088453e-05	3.345489e-07	3.345489e-07
4.000000e+00	4.200000e+00	1.767977e-05	3.078120e-07	3.078120e-07
4.200000e+00	4.400000e+00	1.606667e-05	2.934338e-07	2.934338e-07
4.400000e+00	4.600000e+00	1.353181e-05	2.692930e-07	2.692930e-07
4.600000e+00	4.800000e+00	1.144174e-05	2.476243e-07	2.476243e-07
4.800000e+00	5.000000e+00	9.566050e-06	2.264193e-07	2.264193e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/Z_jet1_deta
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	8.878740e-06	2.183810e-07	2.183810e-07
-4.800000e+00	-4.600000e+00	1.080166e-05	2.408710e-07	2.408710e-07
-4.600000e+00	-4.400000e+00	1.290184e-05	2.632480e-07	2.632480e-07
-4.400000e+00	-4.200000e+00	1.584530e-05	2.917357e-07	2.917357e-07
-4.200000e+00	-4.000000e+00	1.788639e-05	3.099564e-07	3.099564e-07
-4.000000e+00	-3.800000e+00	2.124345e-05	3.377939e-07	3.377939e-07
-3.800000e+00	-3.600000e+00	2.437491e-05	3.618351e-07	3.618351e-07
-3.600000e+00	-3.400000e+00	2.759768e-05	3.850131e-07	3.850131e-07
-3.400000e+00	-3.200000e+00	3.070229e-05	4.060922e-07	4.060922e-07
-3.200000e+00	-3.000000e+00	3.359741e-05	4.248075e-07	4.248075e-07
-3.000000e+00	-2.800000e+00	3.801798e-05	4.518911e-07	4.518911e-07
-2.800000e+00	-2.600000e+00	4.135356e-05	4.712981e-07	4.712981e-07
-2.600000e+00	-2.400000e+00	4.492009e-05	4.912014e-07	4.912014e-07
-2.400000e+00	-2.200000e+00	4.842217e-05	5.099897e-07	5.099897e-07
-2.200000e+00	-2.000000e+00	5.231100e-05	5.300731e-07	5.300731e-07
