# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta (HT)
XLabel=$HT$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}HT$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_HT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.247292e+01	2.600552e-09	1.061671e-09	1.061671e-09
2.247292e+01	2.525161e+01	5.400232e-09	1.443272e-09	1.443272e-09
2.525161e+01	2.837388e+01	6.179116e-09	1.456432e-09	1.456432e-09
2.837388e+01	3.188220e+01	5.499176e-09	1.296168e-09	1.296168e-09
3.188220e+01	3.582431e+01	7.341071e-09	1.412790e-09	1.412790e-09
3.582431e+01	4.025385e+01	5.565363e-09	1.160459e-09	1.160459e-09
4.025385e+01	4.523109e+01	7.106400e-09	1.237066e-09	1.237066e-09
4.523109e+01	5.082374e+01	1.073235e-08	1.434170e-09	1.434170e-09
5.082374e+01	5.710790e+01	1.364480e-08	1.525535e-09	1.525535e-09
5.710790e+01	6.416908e+01	1.897393e-08	1.697079e-09	1.697079e-09
6.416908e+01	7.210334e+01	3.012470e-08	2.017299e-09	2.017299e-09
7.210334e+01	8.101864e+01	4.267925e-08	2.265179e-09	2.265179e-09
8.101864e+01	9.103628e+01	5.659976e-08	2.460859e-09	2.460859e-09
9.103628e+01	1.022926e+02	9.407728e-08	2.992998e-09	2.992998e-09
1.022926e+02	1.149407e+02	1.177068e-07	3.158277e-09	3.158277e-09
1.149407e+02	1.291526e+02	1.817562e-07	3.702378e-09	3.702378e-09
1.291526e+02	1.451219e+02	2.604846e-07	4.181290e-09	4.181290e-09
1.451219e+02	1.630656e+02	3.669381e-07	4.681690e-09	4.681690e-09
1.630656e+02	1.832281e+02	5.077252e-07	5.195226e-09	5.195226e-09
1.832281e+02	2.058835e+02	6.698619e-07	5.629488e-09	5.629488e-09
