# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.661330e-07	2.983838e-08	2.983838e-08
-4.800000e+00	-4.600000e+00	3.376252e-07	4.253678e-08	4.253678e-08
-4.600000e+00	-4.400000e+00	1.087904e-06	7.635586e-08	7.635586e-08
-4.400000e+00	-4.200000e+00	2.149011e-06	1.073165e-07	1.073165e-07
-4.200000e+00	-4.000000e+00	4.094376e-06	1.481293e-07	1.481293e-07
-4.000000e+00	-3.800000e+00	7.057975e-06	1.944855e-07	1.944855e-07
-3.800000e+00	-3.600000e+00	1.154893e-05	2.487814e-07	2.487814e-07
-3.600000e+00	-3.400000e+00	1.721353e-05	3.037261e-07	3.037261e-07
-3.400000e+00	-3.200000e+00	2.426079e-05	3.605783e-07	3.605783e-07
-3.200000e+00	-3.000000e+00	3.228876e-05	4.159804e-07	4.159804e-07
-3.000000e+00	-2.800000e+00	4.265868e-05	4.781354e-07	4.781354e-07
-2.800000e+00	-2.600000e+00	5.137800e-05	5.247297e-07	5.247297e-07
-2.600000e+00	-2.400000e+00	5.890755e-05	5.618659e-07	5.618659e-07
-2.400000e+00	-2.200000e+00	6.574580e-05	5.935828e-07	5.935828e-07
-2.200000e+00	-2.000000e+00	7.158725e-05	6.193912e-07	6.193912e-07
-2.000000e+00	-1.800000e+00	7.322180e-05	6.264226e-07	6.264226e-07
-1.800000e+00	-1.600000e+00	7.602465e-05	6.382993e-07	6.382993e-07
-1.600000e+00	-1.400000e+00	7.776100e-05	6.455472e-07	6.455472e-07
-1.400000e+00	-1.200000e+00	7.544050e-05	6.358424e-07	6.358424e-07
-1.200000e+00	-1.000000e+00	7.517790e-05	6.347348e-07	6.347348e-07
-1.000000e+00	-8.000000e-01	7.516180e-05	6.346668e-07	6.346668e-07
-8.000000e-01	-6.000000e-01	7.311460e-05	6.259639e-07	6.259639e-07
-6.000000e-01	-4.000000e-01	7.225715e-05	6.222825e-07	6.222825e-07
-4.000000e-01	-2.000000e-01	7.028500e-05	6.137316e-07	6.137316e-07
-2.000000e-01	0.000000e+00	7.069230e-05	6.155073e-07	6.155073e-07
0.000000e+00	2.000000e-01	7.048865e-05	6.146202e-07	6.146202e-07
2.000000e-01	4.000000e-01	7.090665e-05	6.164398e-07	6.164398e-07
4.000000e-01	6.000000e-01	7.151225e-05	6.190666e-07	6.190666e-07
6.000000e-01	8.000000e-01	7.390775e-05	6.293501e-07	6.293501e-07
8.000000e-01	1.000000e+00	7.285740e-05	6.248618e-07	6.248618e-07
1.000000e+00	1.200000e+00	7.604070e-05	6.383667e-07	6.383667e-07
1.200000e+00	1.400000e+00	7.494210e-05	6.337385e-07	6.337385e-07
1.400000e+00	1.600000e+00	7.665700e-05	6.409485e-07	6.409485e-07
1.600000e+00	1.800000e+00	7.592280e-05	6.378717e-07	6.378717e-07
1.800000e+00	2.000000e+00	7.420255e-05	6.306037e-07	6.306037e-07
2.000000e+00	2.200000e+00	7.037075e-05	6.141059e-07	6.141059e-07
2.200000e+00	2.400000e+00	6.473830e-05	5.890170e-07	5.890170e-07
2.400000e+00	2.600000e+00	5.910585e-05	5.628108e-07	5.628108e-07
2.600000e+00	2.800000e+00	5.100820e-05	5.228382e-07	5.228382e-07
2.800000e+00	3.000000e+00	4.270155e-05	4.783756e-07	4.783756e-07
3.000000e+00	3.200000e+00	3.237451e-05	4.165324e-07	4.165324e-07
3.200000e+00	3.400000e+00	2.532190e-05	3.683794e-07	3.683794e-07
3.400000e+00	3.600000e+00	1.747076e-05	3.059871e-07	3.059871e-07
3.600000e+00	3.800000e+00	1.159180e-05	2.492428e-07	2.492428e-07
3.800000e+00	4.000000e+00	6.961510e-06	1.931519e-07	1.931519e-07
4.000000e+00	4.200000e+00	4.142608e-06	1.489993e-07	1.489993e-07
4.200000e+00	4.400000e+00	1.977519e-06	1.029455e-07	1.029455e-07
4.400000e+00	4.600000e+00	1.055749e-06	7.521898e-08	7.521898e-08
4.600000e+00	4.800000e+00	4.019348e-07	4.641143e-08	4.641143e-08
4.800000e+00	5.000000e+00	1.446965e-07	2.784686e-08	2.784686e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_1
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.148515e-07	3.397101e-08	3.397101e-08
-4.800000e+00	-4.600000e+00	4.028467e-07	4.651673e-08	4.651673e-08
-4.600000e+00	-4.400000e+00	9.722035e-07	7.226330e-08	7.226330e-08
-4.400000e+00	-4.200000e+00	2.309654e-06	1.113814e-07	1.113814e-07
-4.200000e+00	-4.000000e+00	4.436685e-06	1.543720e-07	1.543720e-07
-4.000000e+00	-3.800000e+00	7.954880e-06	2.067074e-07	2.067074e-07
-3.800000e+00	-3.600000e+00	1.249362e-05	2.590499e-07	2.590499e-07
-3.600000e+00	-3.400000e+00	1.901973e-05	3.196256e-07	3.196256e-07
-3.400000e+00	-3.200000e+00	2.599704e-05	3.736811e-07	3.736811e-07
-3.200000e+00	-3.000000e+00	3.396266e-05	4.271104e-07	4.271104e-07
-3.000000e+00	-2.800000e+00	4.424868e-05	4.875166e-07	4.875166e-07
-2.800000e+00	-2.600000e+00	5.288570e-05	5.329770e-07	5.329770e-07
-2.600000e+00	-2.400000e+00	6.070630e-05	5.710265e-07	5.710265e-07
-2.400000e+00	-2.200000e+00	6.603465e-05	5.955594e-07	5.955594e-07
-2.200000e+00	-2.000000e+00	7.265745e-05	6.247111e-07	6.247111e-07
-2.000000e+00	-1.800000e+00	7.480055e-05	6.338576e-07	6.338576e-07
-1.800000e+00	-1.600000e+00	7.560090e-05	6.372396e-07	6.372396e-07
-1.600000e+00	-1.400000e+00	7.664290e-05	6.416161e-07	6.416161e-07
-1.400000e+00	-1.200000e+00	7.625620e-05	6.399953e-07	6.399953e-07
-1.200000e+00	-1.000000e+00	7.512285e-05	6.352216e-07	6.352216e-07
-1.000000e+00	-8.000000e-01	7.353295e-05	6.284638e-07	6.284638e-07
-8.000000e-01	-6.000000e-01	7.260910e-05	6.245034e-07	6.245034e-07
-6.000000e-01	-4.000000e-01	7.053575e-05	6.155225e-07	6.155225e-07
-4.000000e-01	-2.000000e-01	6.854300e-05	6.067654e-07	6.067654e-07
-2.000000e-01	0.000000e+00	6.918220e-05	6.095880e-07	6.095880e-07
