# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	8.038695e-07	6.563568e-08	6.563568e-08
-4.800000e+00	-4.600000e+00	1.725640e-06	9.616617e-08	9.616617e-08
-4.600000e+00	-4.400000e+00	3.274429e-06	1.324692e-07	1.324692e-07
-4.400000e+00	-4.200000e+00	5.450235e-06	1.709050e-07	1.709050e-07
-4.200000e+00	-4.000000e+00	9.035495e-06	2.200509e-07	2.200509e-07
-4.000000e+00	-3.800000e+00	1.273865e-05	2.612817e-07	2.612817e-07
-3.800000e+00	-3.600000e+00	1.788342e-05	3.095797e-07	3.095797e-07
-3.600000e+00	-3.400000e+00	2.368736e-05	3.562915e-07	3.562915e-07
-3.400000e+00	-3.200000e+00	2.918047e-05	3.954516e-07	3.954516e-07
-3.200000e+00	-3.000000e+00	3.601872e-05	4.393507e-07	4.393507e-07
-3.000000e+00	-2.800000e+00	4.491487e-05	4.906167e-07	4.906167e-07
-2.800000e+00	-2.600000e+00	5.127080e-05	5.241822e-07	5.241822e-07
-2.600000e+00	-2.400000e+00	5.530085e-05	5.443937e-07	5.443937e-07
-2.400000e+00	-2.200000e+00	6.126020e-05	5.729760e-07	5.729760e-07
-2.200000e+00	-2.000000e+00	6.315200e-05	5.817557e-07	5.817557e-07
-2.000000e+00	-1.800000e+00	6.656040e-05	5.972487e-07	5.972487e-07
-1.800000e+00	-1.600000e+00	6.872015e-05	6.068610e-07	6.068610e-07
-1.600000e+00	-1.400000e+00	7.057975e-05	6.150173e-07	6.150173e-07
-1.400000e+00	-1.200000e+00	7.119605e-05	6.176965e-07	6.176965e-07
-1.200000e+00	-1.000000e+00	7.211245e-05	6.216593e-07	6.216593e-07
