# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of third jet
XLabel=$\eta(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~3})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.861775e-06	8.756894e-08	8.756894e-08
-4.600000e+00	-4.200000e+00	7.074053e-06	1.376786e-07	1.376786e-07
-4.200000e+00	-3.800000e+00	1.326653e-05	1.885432e-07	1.885432e-07
-3.800000e+00	-3.400000e+00	2.054691e-05	2.346418e-07	2.346418e-07
-3.400000e+00	-3.000000e+00	2.759418e-05	2.719198e-07	2.719198e-07
-3.000000e+00	-2.600000e+00	4.001395e-05	3.274447e-07	3.274447e-07
-2.600000e+00	-2.200000e+00	4.853498e-05	3.606281e-07	3.606281e-07
-2.200000e+00	-1.800000e+00	5.658437e-05	3.893861e-07	3.893861e-07
-1.800000e+00	-1.400000e+00	6.481332e-05	4.167392e-07	4.167392e-07
-1.400000e+00	-1.000000e+00	7.041363e-05	4.343707e-07	4.343707e-07
-1.000000e+00	-6.000000e-01	7.534670e-05	4.493289e-07	4.493289e-07
-6.000000e-01	-2.000000e-01	7.876048e-05	4.593951e-07	4.593951e-07
-2.000000e-01	2.000000e-01	7.934997e-05	4.611111e-07	4.611111e-07
2.000000e-01	6.000000e-01	7.788425e-05	4.568325e-07	4.568325e-07
6.000000e-01	1.000000e+00	7.569505e-05	4.503663e-07	4.503663e-07
1.000000e+00	1.400000e+00	7.010815e-05	4.334275e-07	4.334275e-07
1.400000e+00	1.800000e+00	6.398267e-05	4.140601e-07	4.140601e-07
1.800000e+00	2.200000e+00	5.697292e-05	3.907207e-07	3.907207e-07
2.200000e+00	2.600000e+00	4.895030e-05	3.621679e-07	3.621679e-07
2.600000e+00	3.000000e+00	4.032210e-05	3.287030e-07	3.287030e-07
3.000000e+00	3.400000e+00	2.719490e-05	2.699455e-07	2.699455e-07
3.400000e+00	3.800000e+00	2.072376e-05	2.356495e-07	2.356495e-07
3.800000e+00	4.200000e+00	1.357468e-05	1.907203e-07	1.907203e-07
4.200000e+00	4.600000e+00	6.977588e-06	1.367366e-07	1.367366e-07
4.600000e+00	5.000000e+00	2.762632e-06	8.603865e-08	8.603865e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.642675e-06	8.424536e-08	8.424536e-08
-4.600000e+00	-4.200000e+00	6.770510e-06	1.348450e-07	1.348450e-07
-4.200000e+00	-3.800000e+00	1.275412e-05	1.850758e-07	1.850758e-07
-3.800000e+00	-3.400000e+00	2.008862e-05	2.322733e-07	2.322733e-07
-3.400000e+00	-3.000000e+00	2.739625e-05	2.712501e-07	2.712501e-07
-3.000000e+00	-2.600000e+00	3.978245e-05	3.268662e-07	3.268662e-07
-2.600000e+00	-2.200000e+00	4.879010e-05	3.619846e-07	3.619846e-07
-2.200000e+00	-1.800000e+00	5.609237e-05	3.881291e-07	3.881291e-07
-1.800000e+00	-1.400000e+00	6.408752e-05	4.148690e-07	4.148690e-07
-1.400000e+00	-1.000000e+00	7.094398e-05	4.364978e-07	4.364978e-07
-1.000000e+00	-6.000000e-01	7.644150e-05	4.530946e-07	4.530946e-07
-6.000000e-01	-2.000000e-01	7.791055e-05	4.574277e-07	4.574277e-07
-2.000000e-01	2.000000e-01	8.023095e-05	4.641894e-07	4.641894e-07
2.000000e-01	6.000000e-01	7.919160e-05	4.611730e-07	4.611730e-07
6.000000e-01	1.000000e+00	7.571370e-05	4.509324e-07	4.509324e-07
1.000000e+00	1.400000e+00	7.149993e-05	4.382047e-07	4.382047e-07
1.400000e+00	1.800000e+00	6.422182e-05	4.153035e-07	4.153035e-07
1.800000e+00	2.200000e+00	5.706190e-05	3.914689e-07	3.914689e-07
2.200000e+00	2.600000e+00	4.896468e-05	3.626316e-07	3.626316e-07
2.600000e+00	3.000000e+00	4.070095e-05	3.306180e-07	3.306180e-07
3.000000e+00	3.400000e+00	2.736403e-05	2.710905e-07	2.710905e-07
3.400000e+00	3.800000e+00	2.056130e-05	2.349901e-07	2.349901e-07
3.800000e+00	4.200000e+00	1.311669e-05	1.876879e-07	1.876879e-07
4.200000e+00	4.600000e+00	6.800053e-06	1.351389e-07	1.351389e-07
4.600000e+00	5.000000e+00	2.827982e-06	8.714905e-08	8.714905e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_3
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.281875e-06	4.205697e-08	4.205697e-08
-4.600000e+00	-4.200000e+00	3.383378e-06	6.832669e-08	6.832669e-08
-4.200000e+00	-3.800000e+00	6.436975e-06	9.424450e-08	9.424450e-08
-3.800000e+00	-3.400000e+00	1.027156e-05	1.190511e-07	1.190511e-07
-3.400000e+00	-3.000000e+00	1.351696e-05	1.365698e-07	1.365698e-07
-3.000000e+00	-2.600000e+00	2.036513e-05	1.676327e-07	1.676327e-07
-2.600000e+00	-2.200000e+00	2.447016e-05	1.837526e-07	1.837526e-07
-2.200000e+00	-1.800000e+00	2.870767e-05	1.990279e-07	1.990279e-07
-1.800000e+00	-1.400000e+00	3.241530e-05	2.114901e-07	2.114901e-07
-1.400000e+00	-1.000000e+00	3.555720e-05	2.215027e-07	2.215027e-07
-1.000000e+00	-6.000000e-01	3.809888e-05	2.292827e-07	2.292827e-07
-6.000000e-01	-2.000000e-01	3.932557e-05	2.329446e-07	2.329446e-07
-2.000000e-01	2.000000e-01	4.002790e-05	2.350155e-07	2.350155e-07
2.000000e-01	6.000000e-01	3.993270e-05	2.347358e-07	2.347358e-07
6.000000e-01	1.000000e+00	3.813338e-05	2.293864e-07	2.293864e-07
1.000000e+00	1.400000e+00	3.545925e-05	2.211973e-07	2.211973e-07
1.400000e+00	1.800000e+00	3.260572e-05	2.121104e-07	2.121104e-07
1.800000e+00	2.200000e+00	2.866212e-05	1.988700e-07	1.988700e-07
2.200000e+00	2.600000e+00	2.464540e-05	1.844094e-07	1.844094e-07
2.600000e+00	3.000000e+00	2.016229e-05	1.667957e-07	1.667957e-07
3.000000e+00	3.400000e+00	1.371842e-05	1.375837e-07	1.375837e-07
3.400000e+00	3.800000e+00	1.039575e-05	1.197686e-07	1.197686e-07
3.800000e+00	4.200000e+00	6.597037e-06	9.540902e-08	9.540902e-08
4.200000e+00	4.600000e+00	3.524123e-06	6.973336e-08	6.973336e-08
4.600000e+00	5.000000e+00	1.331550e-06	4.286411e-08	4.286411e-08
# END HISTO1D

