# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of fourth jet
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.537547e-06	8.245923e-08	8.245923e-08
-4.600000e+00	-4.200000e+00	5.487750e-06	1.212633e-07	1.212633e-07
-4.200000e+00	-3.800000e+00	9.268617e-06	1.575940e-07	1.575940e-07
-3.800000e+00	-3.400000e+00	1.409719e-05	1.943562e-07	1.943562e-07
-3.400000e+00	-3.000000e+00	1.844077e-05	2.222909e-07	2.222909e-07
-3.000000e+00	-2.600000e+00	2.944843e-05	2.809075e-07	2.809075e-07
-2.600000e+00	-2.200000e+00	3.619825e-05	3.114411e-07	3.114411e-07
-2.200000e+00	-1.800000e+00	4.367155e-05	3.420830e-07	3.420830e-07
-1.800000e+00	-1.400000e+00	5.054732e-05	3.680284e-07	3.680284e-07
-1.400000e+00	-1.000000e+00	5.709083e-05	3.911247e-07	3.911247e-07
-1.000000e+00	-6.000000e-01	6.159250e-05	4.062525e-07	4.062525e-07
-6.000000e-01	-2.000000e-01	6.346818e-05	4.123920e-07	4.123920e-07
-2.000000e-01	2.000000e-01	6.499285e-05	4.173160e-07	4.173160e-07
2.000000e-01	6.000000e-01	6.385673e-05	4.136523e-07	4.136523e-07
6.000000e-01	1.000000e+00	6.112087e-05	4.046943e-07	4.046943e-07
1.000000e+00	1.400000e+00	5.692200e-05	3.905461e-07	3.905461e-07
1.400000e+00	1.800000e+00	5.044550e-05	3.676574e-07	3.676574e-07
1.800000e+00	2.200000e+00	4.328570e-05	3.405685e-07	3.405685e-07
2.200000e+00	2.600000e+00	3.633758e-05	3.120400e-07	3.120400e-07
2.600000e+00	3.000000e+00	2.971103e-05	2.821571e-07	2.821571e-07
3.000000e+00	3.400000e+00	1.836842e-05	2.218544e-07	2.218544e-07
3.400000e+00	3.800000e+00	1.382924e-05	1.925002e-07	1.925002e-07
