# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of first jet
XLabel=$\eta(\mathrm{jet~1})_+/\eta(\mathrm{jet~1})_-$
YLabel=$|\eta(\mathrm{jet~1}|$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.012286740569931745, dn: 0.012286740569931745}}, 1: {"": {up: 0.012430861738676796, dn: 0.012430861738676796}}, 2: {"": {up: 0.012085072760289486, dn: 0.012085072760289486}}, 3: {"": {up: 0.0122061197874872, dn: 0.0122061197874872}}, 4: {"": {up: 0.011666676030213595, dn: 0.011666676030213595}}, 5: {"": {up: 0.012043082948297812, dn: 0.012043082948297812}}, 6: {"": {up: 0.011860475851583833, dn: 0.011860475851583833}}, 7: {"": {up: 0.011615272632916129, dn: 0.011615272632916129}}, 8: {"": {up: 0.011861743338085281, dn: 0.011861743338085281}}, 9: {"": {up: 0.012220260469263972, dn: 0.012220260469263972}}, 10: {"": {up: 0.012080072023665513, dn: 0.012080072023665513}}, 11: {"": {up: 0.012621310838936575, dn: 0.012621310838936575}}, 12: {"": {up: 0.013522952023238282, dn: 0.013522952023238282}}, 13: {"": {up: 0.014365550731853171, dn: 0.014365550731853171}}, 14: {"": {up: 0.015863013163161074, dn: 0.015863013163161074}}, 15: {"": {up: 0.018255784542021699, dn: 0.018255784542021699}}, 16: {"": {up: 0.021707158468063776, dn: 0.021707158468063776}}, 17: {"": {up: 0.025232759563036767, dn: 0.025232759563036767}}, 18: {"": {up: 0.030549117364339982, dn: 0.030549117364339982}}, 19: {"": {up: 0.038569568742405511, dn: 0.038569568742405511}}, 20: {"": {up: 0.051616273015944125, dn: 0.051616273015944125}}, 21: {"": {up: 0.066380724287720239, dn: 0.066380724287720239}}, 22: {"": {up: 0.097055254305725716, dn: 0.097055254305725716}}, 23: {"": {up: 0.20345077601957326, dn: 0.20345077601957326}}, 24: {"": {up: 0.22927322406216702, dn: 0.22927322406216702}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.971192e-01	1.228674e-02	1.228674e-02
2.000000e-01	4.000000e-01	1.008845e+00	1.243086e-02	1.243086e-02
4.000000e-01	6.000000e-01	9.896907e-01	1.208507e-02	1.208507e-02
6.000000e-01	8.000000e-01	1.010848e+00	1.220612e-02	1.220612e-02
8.000000e-01	1.000000e+00	9.693405e-01	1.166668e-02	1.166668e-02
1.000000e+00	1.200000e+00	1.011477e+00	1.204308e-02	1.204308e-02
1.200000e+00	1.400000e+00	9.933935e-01	1.186048e-02	1.186048e-02
1.400000e+00	1.600000e+00	9.858029e-01	1.161527e-02	1.161527e-02
1.600000e+00	1.800000e+00	9.986607e-01	1.186174e-02	1.186174e-02
1.800000e+00	2.000000e+00	1.013394e+00	1.222026e-02	1.222026e-02
2.000000e+00	2.200000e+00	9.830064e-01	1.208007e-02	1.208007e-02
2.200000e+00	2.400000e+00	9.846756e-01	1.262131e-02	1.262131e-02
2.400000e+00	2.600000e+00	1.003366e+00	1.352295e-02	1.352295e-02
2.600000e+00	2.800000e+00	9.928028e-01	1.436555e-02	1.436555e-02
2.800000e+00	3.000000e+00	1.001005e+00	1.586301e-02	1.586301e-02
3.000000e+00	3.200000e+00	1.002656e+00	1.825578e-02	1.825578e-02
3.200000e+00	3.400000e+00	1.043738e+00	2.170716e-02	2.170716e-02
3.400000e+00	3.600000e+00	1.014944e+00	2.523276e-02	2.523276e-02
3.600000e+00	3.800000e+00	1.003712e+00	3.054912e-02	3.054912e-02
3.800000e+00	4.000000e+00	9.863326e-01	3.856957e-02	3.856957e-02
4.000000e+00	4.200000e+00	1.011780e+00	5.161627e-02	5.161627e-02
4.200000e+00	4.400000e+00	9.201995e-01	6.638072e-02	6.638072e-02
4.400000e+00	4.600000e+00	9.704433e-01	9.705525e-02	9.705525e-02
4.600000e+00	4.800000e+00	1.190476e+00	2.034508e-01	2.034508e-01
4.800000e+00	5.000000e+00	8.709677e-01	2.292732e-01	2.292732e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_1
ErrorBars=1
