# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of second jet
XLabel=$\eta(\mathrm{jet~2})_+/\eta(\mathrm{jet~2})_-$
YLabel=$|\eta(\mathrm{jet~2}|$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.012566649616706787, dn: 0.012566649616706787}}, 1: {"": {up: 0.012337089055329563, dn: 0.012337089055329563}}, 2: {"": {up: 0.011955813763047607, dn: 0.011955813763047607}}, 3: {"": {up: 0.01217070249561474, dn: 0.01217070249561474}}, 4: {"": {up: 0.01228378513062247, dn: 0.01228378513062247}}, 5: {"": {up: 0.012224787672893591, dn: 0.012224787672893591}}, 6: {"": {up: 0.012244768375276362, dn: 0.012244768375276362}}, 7: {"": {up: 0.012323160655227546, dn: 0.012323160655227546}}, 8: {"": {up: 0.012507044467004683, dn: 0.012507044467004683}}, 9: {"": {up: 0.012823040781727824, dn: 0.012823040781727824}}, 10: {"": {up: 0.013195098204144173, dn: 0.013195098204144173}}, 11: {"": {up: 0.013203916680096269, dn: 0.013203916680096269}}, 12: {"": {up: 0.014144239943974582, dn: 0.014144239943974582}}, 13: {"": {up: 0.014215834940869356, dn: 0.014215834940869356}}, 14: {"": {up: 0.015655022458127513, dn: 0.015655022458127513}}, 15: {"": {up: 0.017250355522709437, dn: 0.017250355522709437}}, 16: {"": {up: 0.019508164406339956, dn: 0.019508164406339956}}, 17: {"": {up: 0.02185564574813121, dn: 0.02185564574813121}}, 18: {"": {up: 0.024519948872226797, dn: 0.024519948872226797}}, 19: {"": {up: 0.029464061675945539, dn: 0.029464061675945539}}, 20: {"": {up: 0.034058562743189365, dn: 0.034058562743189365}}, 21: {"": {up: 0.044411408754256358, dn: 0.044411408754256358}}, 22: {"": {up: 0.056017655782153244, dn: 0.056017655782153244}}, 23: {"": {up: 0.083203668130535577, dn: 0.083203668130535577}}, 24: {"": {up: 0.11720068259186889, dn: 0.11720068259186889}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.026787e+00	1.256665e-02	1.256665e-02
2.000000e-01	4.000000e-01	1.003482e+00	1.233709e-02	1.233709e-02
4.000000e-01	6.000000e-01	9.846390e-01	1.195581e-02	1.195581e-02
6.000000e-01	8.000000e-01	1.000888e+00	1.217070e-02	1.217070e-02
8.000000e-01	1.000000e+00	1.004943e+00	1.228379e-02	1.228379e-02
1.000000e+00	1.200000e+00	1.003641e+00	1.222479e-02	1.222479e-02
1.200000e+00	1.400000e+00	9.972902e-01	1.224477e-02	1.224477e-02
1.400000e+00	1.600000e+00	1.000000e+00	1.232316e-02	1.232316e-02
1.600000e+00	1.800000e+00	1.001950e+00	1.250704e-02	1.250704e-02
1.800000e+00	2.000000e+00	1.014010e+00	1.282304e-02	1.282304e-02
2.000000e+00	2.200000e+00	1.017142e+00	1.319510e-02	1.319510e-02
2.200000e+00	2.400000e+00	9.976380e-01	1.320392e-02	1.320392e-02
2.400000e+00	2.600000e+00	1.021320e+00	1.414424e-02	1.414424e-02
2.600000e+00	2.800000e+00	9.776314e-01	1.421583e-02	1.421583e-02
2.800000e+00	3.000000e+00	1.017898e+00	1.565502e-02	1.565502e-02
3.000000e+00	3.200000e+00	1.000000e+00	1.725036e-02	1.725036e-02
3.200000e+00	3.400000e+00	1.023875e+00	1.950816e-02	1.950816e-02
3.400000e+00	3.600000e+00	1.036652e+00	2.185565e-02	2.185565e-02
3.600000e+00	3.800000e+00	1.002098e+00	2.451995e-02	2.451995e-02
3.800000e+00	4.000000e+00	1.021035e+00	2.946406e-02	2.946406e-02
4.000000e+00	4.200000e+00	9.851720e-01	3.405856e-02	3.405856e-02
4.200000e+00	4.400000e+00	1.001967e+00	4.441141e-02	4.441141e-02
4.400000e+00	4.600000e+00	9.721768e-01	5.601766e-02	5.601766e-02
4.600000e+00	4.800000e+00	1.074534e+00	8.320367e-02	8.320367e-02
4.800000e+00	5.000000e+00	1.020000e+00	1.172007e-01	1.172007e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_pmratio_2
ErrorBars=1
