# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	6.663521e-06	3.892870e-07	3.892870e-07
1.047129e+00	1.096478e+00	7.015338e-06	3.903438e-07	3.903438e-07
1.096478e+00	1.148154e+00	7.052034e-06	3.824503e-07	3.824503e-07
1.148154e+00	1.202264e+00	7.428106e-06	3.835858e-07	3.835858e-07
1.202264e+00	1.258925e+00	7.301758e-06	3.716497e-07	3.716497e-07
1.258925e+00	1.318257e+00	7.298217e-06	3.630998e-07	3.630998e-07
1.318257e+00	1.380384e+00	7.038890e-06	3.484769e-07	3.484769e-07
1.380384e+00	1.445440e+00	6.623126e-06	3.303315e-07	3.303315e-07
1.445440e+00	1.513561e+00	6.435268e-06	3.182035e-07	3.182035e-07
1.513561e+00	1.584893e+00	6.295845e-06	3.075721e-07	3.075721e-07
1.584893e+00	1.659587e+00	5.854622e-06	2.898469e-07	2.898469e-07
1.659587e+00	1.737801e+00	5.344468e-06	2.706276e-07	2.706276e-07
1.737801e+00	1.819701e+00	4.816020e-06	2.510524e-07	2.510524e-07
1.819701e+00	1.905461e+00	4.849214e-06	2.461815e-07	2.461815e-07
1.905461e+00	1.995262e+00	4.487774e-06	2.314393e-07	2.314393e-07
1.995262e+00	2.089296e+00	4.844270e-06	2.349816e-07	2.349816e-07
2.089296e+00	2.187762e+00	4.778621e-06	2.280711e-07	2.280711e-07
2.187762e+00	2.290868e+00	5.093737e-06	2.301116e-07	2.301116e-07
2.290868e+00	2.398833e+00	5.251665e-06	2.283333e-07	2.283333e-07
2.398833e+00	2.511886e+00	5.593637e-06	2.302864e-07	2.302864e-07
2.511886e+00	2.630268e+00	6.337773e-06	2.395453e-07	2.395453e-07
