# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	1.572000e-05	4.179018e-07	4.179018e-07
1.096478e+00	1.202264e+00	1.664691e-05	4.106908e-07	4.106908e-07
1.202264e+00	1.318257e+00	1.708557e-05	3.973388e-07	3.973388e-07
1.318257e+00	1.445440e+00	1.602897e-05	3.675365e-07	3.675365e-07
1.445440e+00	1.584893e+00	1.324286e-05	3.190356e-07	3.190356e-07
1.584893e+00	1.737801e+00	1.249113e-05	2.959021e-07	2.959021e-07
1.737801e+00	1.905461e+00	1.113635e-05	2.668203e-07	2.668203e-07
1.905461e+00	2.089296e+00	1.210968e-05	2.657140e-07	2.657140e-07
2.089296e+00	2.290868e+00	1.352731e-05	2.681963e-07	2.681963e-07
2.290868e+00	2.511886e+00	1.484916e-05	2.683486e-07	2.683486e-07
2.511886e+00	2.754229e+00	1.609002e-05	2.667628e-07	2.667628e-07
2.754229e+00	3.019952e+00	1.794559e-05	2.690459e-07	2.690459e-07
3.019952e+00	3.311311e+00	1.852600e-05	2.610591e-07	2.610591e-07
3.311311e+00	3.630781e+00	1.917390e-05	2.536310e-07	2.536310e-07
3.630781e+00	3.981072e+00	1.944819e-05	2.439424e-07	2.439424e-07
3.981072e+00	4.365158e+00	2.074803e-05	2.406226e-07	2.406226e-07
4.365158e+00	4.786301e+00	2.127400e-05	2.326869e-07	2.326869e-07
4.786301e+00	5.248075e+00	2.248455e-05	2.284492e-07	2.284492e-07
5.248075e+00	5.754399e+00	2.326238e-05	2.219090e-07	2.219090e-07
5.754399e+00	6.309573e+00	2.498020e-05	2.196067e-07	2.196067e-07
6.309573e+00	6.918310e+00	2.604658e-05	2.141523e-07	2.141523e-07
6.918310e+00	7.585776e+00	2.748672e-05	2.100917e-07	2.100917e-07
7.585776e+00	8.317638e+00	2.818615e-05	2.031727e-07	2.031727e-07
8.317638e+00	9.120108e+00	2.760674e-05	1.920239e-07	1.920239e-07
9.120108e+00	1.000000e+01	2.720824e-05	1.820529e-07	1.820529e-07
1.000000e+01	1.096478e+01	2.557193e-05	1.685504e-07	1.685504e-07
1.096478e+01	1.202264e+01	2.365321e-05	1.548079e-07	1.548079e-07
1.202264e+01	1.318257e+01	2.139162e-05	1.405944e-07	1.405944e-07
1.318257e+01	1.445440e+01	1.819146e-05	1.238173e-07	1.238173e-07
1.445440e+01	1.584893e+01	1.541183e-05	1.088367e-07	1.088367e-07
1.584893e+01	1.737801e+01	1.237547e-05	9.313823e-08	9.313823e-08
1.737801e+01	1.905461e+01	9.763808e-06	7.900546e-08	7.900546e-08
1.905461e+01	2.089296e+01	7.476868e-06	6.602493e-08	6.602493e-08
2.089296e+01	2.290868e+01	5.538537e-06	5.426811e-08	5.426811e-08
2.290868e+01	2.511886e+01	4.083762e-06	4.450190e-08	4.450190e-08
2.511886e+01	2.754229e+01	2.969445e-06	3.623970e-08	3.623970e-08
2.754229e+01	3.019952e+01	2.152744e-06	2.946753e-08	2.946753e-08
3.019952e+01	3.311311e+01	1.493557e-06	2.344007e-08	2.344007e-08
3.311311e+01	3.630781e+01	9.860384e-07	1.818838e-08	1.818838e-08
3.630781e+01	3.981072e+01	6.890708e-07	1.452043e-08	1.452043e-08
3.981072e+01	4.365158e+01	4.852835e-07	1.163712e-08	1.163712e-08
4.365158e+01	4.786301e+01	3.229656e-07	9.066207e-09	9.066207e-09
4.786301e+01	5.248075e+01	2.216656e-07	7.172930e-09	7.172930e-09
5.248075e+01	5.754399e+01	1.511451e-07	5.656463e-09	5.656463e-09
5.754399e+01	6.309573e+01	1.044462e-07	4.490491e-09	4.490491e-09
