# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of fourth jet
XLabel=$m(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	2.484239e-05	3.628270e-07	3.628270e-07
1.202264e+00	1.445440e+00	2.842471e-05	3.539564e-07	3.539564e-07
1.445440e+00	1.737801e+00	3.134887e-05	3.390107e-07	3.390107e-07
1.737801e+00	2.089296e+00	3.497589e-05	3.265780e-07	3.265780e-07
2.089296e+00	2.511886e+00	3.546546e-05	2.999199e-07	2.999199e-07
2.511886e+00	3.019952e+00	3.339106e-05	2.654100e-07	2.654100e-07
3.019952e+00	3.630781e+00	3.232347e-05	2.381559e-07	2.381559e-07
3.630781e+00	4.365158e+00	3.326647e-05	2.203465e-07	2.203465e-07
4.365158e+00	5.248075e+00	3.436115e-05	2.042378e-07	2.042378e-07
5.248075e+00	6.309573e+00	3.405516e-05	1.854360e-07	1.854360e-07
6.309573e+00	7.585776e+00	2.931012e-05	1.568957e-07	1.568957e-07
7.585776e+00	9.120108e+00	2.100087e-05	1.211215e-07	1.211215e-07
9.120108e+00	1.096478e+01	1.242029e-05	8.495098e-08	8.495098e-08
1.096478e+01	1.318257e+01	6.241637e-06	5.492261e-08	5.492261e-08
1.318257e+01	1.584893e+01	2.723421e-06	3.308722e-08	3.308722e-08
1.584893e+01	1.905461e+01	9.850016e-07	1.814766e-08	1.814766e-08
1.905461e+01	2.290868e+01	3.420659e-07	9.753429e-09	9.753429e-09
2.290868e+01	2.754229e+01	9.761516e-08	4.751832e-09	4.751832e-09
2.754229e+01	3.311311e+01	2.655121e-08	2.260189e-09	2.260189e-09
3.311311e+01	3.981072e+01	7.201402e-09	1.073522e-09	1.073522e-09
3.981072e+01	4.786301e+01	2.928382e-09	6.243330e-10	6.243330e-10
4.786301e+01	5.754399e+01	1.107146e-10	1.107146e-10	1.107146e-10
5.754399e+01	6.918310e+01	9.208831e-11	9.208831e-11	9.208831e-11
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	2.469162e-05	3.621343e-07	3.621343e-07
1.202264e+00	1.445440e+00	2.770728e-05	3.498572e-07	3.498572e-07
1.445440e+00	1.737801e+00	3.198585e-05	3.428258e-07	3.428258e-07
1.737801e+00	2.089296e+00	3.420253e-05	3.233135e-07	3.233135e-07
2.089296e+00	2.511886e+00	3.491294e-05	2.979119e-07	2.979119e-07
2.511886e+00	3.019952e+00	3.310948e-05	2.645881e-07	2.645881e-07
3.019952e+00	3.630781e+00	3.261839e-05	2.395111e-07	2.395111e-07
3.630781e+00	4.365158e+00	3.351310e-05	2.214124e-07	2.214124e-07
4.365158e+00	5.248075e+00	3.471287e-05	2.055131e-07	2.055131e-07
5.248075e+00	6.309573e+00	3.408485e-05	1.857272e-07	1.857272e-07
6.309573e+00	7.585776e+00	2.937914e-05	1.572584e-07	1.572584e-07
7.585776e+00	9.120108e+00	2.060252e-05	1.201033e-07	1.201033e-07
9.120108e+00	1.096478e+01	1.244788e-05	8.514172e-08	8.514172e-08
1.096478e+01	1.318257e+01	6.250466e-06	5.502376e-08	5.502376e-08
1.318257e+01	1.584893e+01	2.761026e-06	3.335263e-08	3.335263e-08
1.584893e+01	1.905461e+01	9.822097e-07	1.814246e-08	1.814246e-08
1.905461e+01	2.290868e+01	3.297415e-07	9.586967e-09	9.586967e-09
2.290868e+01	2.754229e+01	1.043282e-07	4.918077e-09	4.918077e-09
2.754229e+01	3.311311e+01	2.892549e-08	2.361756e-09	2.361756e-09
3.311311e+01	3.981072e+01	8.019710e-09	1.134158e-09	1.134158e-09
3.981072e+01	4.786301e+01	2.401384e-09	5.660117e-10	5.660117e-10
4.786301e+01	5.754399e+01	1.109658e-10	1.109658e-10	1.109658e-10
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	7.676956e-11	7.676956e-11	7.676956e-11
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_mass_4
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	1.253337e-05	1.849353e-07	1.849353e-07
1.202264e+00	1.445440e+00	1.413345e-05	1.791055e-07	1.791055e-07
1.445440e+00	1.737801e+00	1.568249e-05	1.720651e-07	1.720651e-07
1.737801e+00	2.089296e+00	1.722887e-05	1.644803e-07	1.644803e-07
2.089296e+00	2.511886e+00	1.730561e-05	1.503415e-07	1.503415e-07
2.511886e+00	3.019952e+00	1.684930e-05	1.352932e-07	1.352932e-07
3.019952e+00	3.630781e+00	1.653114e-05	1.222184e-07	1.222184e-07
