# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading jet
XLabel=$p_\perp(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.060022e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060022e+01	1.123646e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.123646e+01	1.191089e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.191089e+01	1.262581e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.262581e+01	1.338363e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.338363e+01	1.418694e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.418694e+01	1.503847e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.503847e+01	1.594110e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.594110e+01	1.689791e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.689791e+01	1.791216e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.791216e+01	1.898728e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.898728e+01	2.012693e+01	9.404870e-10	9.404870e-10	9.404870e-10
2.012693e+01	2.133498e+01	3.548947e-09	1.774473e-09	1.774473e-09
2.133498e+01	2.261554e+01	5.021988e-09	2.050218e-09	2.050218e-09
2.261554e+01	2.397297e+01	1.105440e-08	2.954411e-09	2.954411e-09
2.397297e+01	2.541187e+01	1.787743e-08	3.649214e-09	3.649214e-09
2.541187e+01	2.693714e+01	2.529765e-08	4.216275e-09	4.216275e-09
2.693714e+01	2.855395e+01	2.916876e-08	4.397357e-09	4.397357e-09
2.855395e+01	3.026781e+01	3.502169e-08	4.679970e-09	4.679970e-09
3.026781e+01	3.208454e+01	4.542812e-08	5.177014e-09	5.177014e-09
3.208454e+01	3.401031e+01	6.734501e-08	6.122273e-09	6.122273e-09
3.401031e+01	3.605167e+01	9.608506e-08	7.102812e-09	7.102812e-09
3.605167e+01	3.821555e+01	1.357194e-07	8.199105e-09	8.199105e-09
3.821555e+01	4.050932e+01	1.523323e-07	8.436908e-09	8.436908e-09
4.050932e+01	4.294076e+01	2.071852e-07	9.556739e-09	9.556739e-09
4.294076e+01	4.551814e+01	2.802888e-07	1.079632e-08	1.079632e-08
4.551814e+01	4.825022e+01	3.664190e-07	1.198959e-08	1.198959e-08
4.825022e+01	5.114629e+01	4.655816e-07	1.312670e-08	1.312670e-08
5.114629e+01	5.421618e+01	5.977302e-07	1.444619e-08	1.444619e-08
5.421618e+01	5.747033e+01	7.144081e-07	1.533969e-08	1.533969e-08
5.747033e+01	6.091980e+01	8.467173e-07	1.622016e-08	1.622016e-08
6.091980e+01	6.457631e+01	1.036794e-06	1.743312e-08	1.743312e-08
6.457631e+01	6.845230e+01	1.241065e-06	1.852542e-08	1.852542e-08
6.845230e+01	7.256093e+01	1.316099e-06	1.852925e-08	1.852925e-08
7.256093e+01	7.691616e+01	1.490387e-06	1.915165e-08	1.915165e-08
7.691616e+01	8.153281e+01	1.626550e-06	1.943267e-08	1.943267e-08
8.153281e+01	8.642655e+01	1.760482e-06	1.963620e-08	1.963620e-08
8.642655e+01	9.161403e+01	1.922993e-06	1.993301e-08	1.993301e-08
9.161403e+01	9.711287e+01	2.022865e-06	1.985684e-08	1.985684e-08
9.711287e+01	1.029418e+02	2.139633e-06	1.983524e-08	1.983524e-08
1.029418e+02	1.091205e+02	2.182961e-06	1.945972e-08	1.945972e-08
1.091205e+02	1.156701e+02	2.230516e-06	1.910546e-08	1.910546e-08
1.156701e+02	1.226128e+02	2.225722e-06	1.853674e-08	1.853674e-08
1.226128e+02	1.299723e+02	2.226666e-06	1.800801e-08	1.800801e-08
1.299723e+02	1.377734e+02	2.181683e-06	1.731331e-08	1.731331e-08
1.377734e+02	1.460429e+02	2.126803e-06	1.660299e-08	1.660299e-08
1.460429e+02	1.548086e+02	2.048351e-06	1.582600e-08	1.582600e-08
1.548086e+02	1.641005e+02	1.973418e-06	1.508757e-08	1.508757e-08
1.641005e+02	1.739501e+02	1.846010e-06	1.417327e-08	1.417327e-08
1.739501e+02	1.843909e+02	1.723825e-06	1.330276e-08	1.330276e-08
1.843909e+02	1.954584e+02	1.606940e-06	1.247491e-08	1.247491e-08
1.954584e+02	2.071901e+02	1.451187e-06	1.151445e-08	1.151445e-08
2.071901e+02	2.196260e+02	1.307387e-06	1.061514e-08	1.061514e-08
