# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second jet
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	1.215073e-07	7.700212e-09	7.700212e-09
2.136753e+01	2.381563e+01	2.819558e-07	1.111062e-08	1.111062e-08
2.381563e+01	2.654421e+01	4.148121e-07	1.276497e-08	1.276497e-08
2.654421e+01	2.958541e+01	6.023119e-07	1.456969e-08	1.456969e-08
2.958541e+01	3.297504e+01	8.148665e-07	1.605200e-08	1.605200e-08
3.297504e+01	3.675302e+01	1.104458e-06	1.770137e-08	1.770137e-08
3.675302e+01	4.096385e+01	1.466407e-06	1.931993e-08	1.931993e-08
4.096385e+01	4.565712e+01	1.979784e-06	2.126343e-08	2.126343e-08
4.565712e+01	5.088811e+01	2.538908e-06	2.280834e-08	2.280834e-08
5.088811e+01	5.671841e+01	3.094532e-06	2.385142e-08	2.385142e-08
5.671841e+01	6.321670e+01	3.518989e-06	2.409193e-08	2.409193e-08
6.321670e+01	7.045950e+01	3.700070e-06	2.339990e-08	2.339990e-08
7.045950e+01	7.853212e+01	3.753759e-06	2.232483e-08	2.232483e-08
7.853212e+01	8.752962e+01	3.705379e-06	2.100959e-08	2.100959e-08
8.752962e+01	9.755798e+01	3.491540e-06	1.931771e-08	1.931771e-08
9.755798e+01	1.087353e+02	3.107987e-06	1.726366e-08	1.726366e-08
1.087353e+02	1.211932e+02	2.663756e-06	1.513865e-08	1.513865e-08
1.211932e+02	1.350785e+02	2.240018e-06	1.314953e-08	1.314953e-08
1.350785e+02	1.505545e+02	1.801867e-06	1.117106e-08	1.117106e-08
1.505545e+02	1.678037e+02	1.402386e-06	9.334940e-09	9.334940e-09
1.678037e+02	1.870292e+02	1.082112e-06	7.767111e-09	7.767111e-09
1.870292e+02	2.084573e+02	8.130693e-07	6.377261e-09	6.377261e-09
2.084573e+02	2.323405e+02	5.783404e-07	5.094572e-09	5.094572e-09
2.323405e+02	2.589599e+02	4.073191e-07	4.049772e-09	4.049772e-09
2.589599e+02	2.886293e+02	2.806240e-07	3.183979e-09	3.183979e-09
2.886293e+02	3.216978e+02	1.891906e-07	2.476308e-09	2.476308e-09
3.216978e+02	3.585551e+02	1.268488e-07	1.920630e-09	1.920630e-09
3.585551e+02	3.996351e+02	8.610093e-08	1.498825e-09	1.498825e-09
3.996351e+02	4.454217e+02	5.522223e-08	1.136972e-09	1.136972e-09
4.454217e+02	4.964541e+02	3.461272e-08	8.526228e-10	8.526228e-10
4.964541e+02	5.533334e+02	2.327217e-08	6.622220e-10	6.622220e-10
5.533334e+02	6.167294e+02	1.357619e-08	4.790935e-10	4.790935e-10
6.167294e+02	6.873887e+02	7.933352e-09	3.469012e-10	3.469012e-10
6.873887e+02	7.661435e+02	4.858649e-09	2.571470e-10	2.571470e-10
7.661435e+02	8.539214e+02	2.661924e-09	1.802883e-10	1.802883e-10
8.539214e+02	9.517560e+02	1.358481e-09	1.219952e-10	1.219952e-10
9.517560e+02	1.060800e+03	6.389045e-10	7.924635e-11	7.924635e-11
1.060800e+03	1.182337e+03	3.174814e-10	5.291357e-11	5.291357e-11
1.182337e+03	1.317798e+03	2.215481e-10	4.186866e-11	4.186866e-11
1.317798e+03	1.468780e+03	9.938648e-11	2.656215e-11	2.656215e-11
1.468780e+03	1.637059e+03	6.369339e-12	6.369339e-12	6.369339e-12
1.637059e+03	1.824619e+03	1.142915e-11	8.081634e-12	8.081634e-12
1.824619e+03	2.033667e+03	1.025435e-11	7.250924e-12	7.250924e-12
2.033667e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	1.222721e-07	7.733164e-09	7.733164e-09
2.136753e+01	2.381563e+01	2.883001e-07	1.124766e-08	1.124766e-08
2.381563e+01	2.654421e+01	4.228401e-07	1.290250e-08	1.290250e-08
2.654421e+01	2.958541e+01	6.015589e-07	1.457709e-08	1.457709e-08
2.958541e+01	3.297504e+01	8.442877e-07	1.635774e-08	1.635774e-08
3.297504e+01	3.675302e+01	1.129996e-06	1.792515e-08	1.792515e-08
3.675302e+01	4.096385e+01	1.513614e-06	1.965070e-08	1.965070e-08
4.096385e+01	4.565712e+01	1.968253e-06	2.122545e-08	2.122545e-08
4.565712e+01	5.088811e+01	2.568695e-06	2.296776e-08	2.296776e-08
5.088811e+01	5.671841e+01	3.103027e-06	2.391121e-08	2.391121e-08
5.671841e+01	6.321670e+01	3.485314e-06	2.400356e-08	2.400356e-08
6.321670e+01	7.045950e+01	3.759190e-06	2.361284e-08	2.361284e-08
7.045950e+01	7.853212e+01	3.803262e-06	2.249703e-08	2.249703e-08
7.853212e+01	8.752962e+01	3.685250e-06	2.097620e-08	2.097620e-08
8.752962e+01	9.755798e+01	3.449113e-06	1.922175e-08	1.922175e-08
9.755798e+01	1.087353e+02	3.117056e-06	1.730843e-08	1.730843e-08
1.087353e+02	1.211932e+02	2.694375e-06	1.524267e-08	1.524267e-08
1.211932e+02	1.350785e+02	2.220110e-06	1.310581e-08	1.310581e-08
1.350785e+02	1.505545e+02	1.826780e-06	1.126077e-08	1.126077e-08
1.505545e+02	1.678037e+02	1.407872e-06	9.363785e-09	9.363785e-09
1.678037e+02	1.870292e+02	1.076186e-06	7.754592e-09	7.754592e-09
1.870292e+02	2.084573e+02	8.108535e-07	6.375784e-09	6.375784e-09
2.084573e+02	2.323405e+02	5.890982e-07	5.147566e-09	5.147566e-09
2.323405e+02	2.589599e+02	4.044096e-07	4.039855e-09	4.039855e-09
2.589599e+02	2.886293e+02	2.827452e-07	3.199613e-09	3.199613e-09
2.886293e+02	3.216978e+02	1.892625e-07	2.479587e-09	2.479587e-09
3.216978e+02	3.585551e+02	1.264080e-07	1.919463e-09	1.919463e-09
3.585551e+02	3.996351e+02	8.331512e-08	1.476050e-09	1.476050e-09
3.996351e+02	4.454217e+02	5.518326e-08	1.137860e-09	1.137860e-09
4.454217e+02	4.964541e+02	3.359660e-08	8.409671e-10	8.409671e-10
4.964541e+02	5.533334e+02	2.134188e-08	6.348828e-10	6.348828e-10
5.533334e+02	6.167294e+02	1.397979e-08	4.867138e-10	4.867138e-10
6.167294e+02	6.873887e+02	8.164196e-09	3.523111e-10	3.523111e-10
6.873887e+02	7.661435e+02	4.815110e-09	2.562824e-10	2.562824e-10
7.661435e+02	8.539214e+02	2.619010e-09	1.790318e-10	1.790318e-10
8.539214e+02	9.517560e+02	1.240779e-09	1.167227e-10	1.167227e-10
9.517560e+02	1.060800e+03	7.191668e-10	8.417210e-11	8.417210e-11
1.060800e+03	1.182337e+03	2.386513e-10	4.592846e-11	4.592846e-11
1.182337e+03	1.317798e+03	1.030950e-10	2.859341e-11	2.859341e-11
1.317798e+03	1.468780e+03	4.980597e-11	1.882489e-11	1.882489e-11
1.468780e+03	1.637059e+03	1.915137e-11	1.105705e-11	1.105705e-11
1.637059e+03	1.824619e+03	5.727543e-12	5.727543e-12	5.727543e-12
1.824619e+03	2.033667e+03	5.138810e-12	5.138810e-12	5.138810e-12
2.033667e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_2
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	6.156516e-08	3.933253e-09	3.933253e-09
2.136753e+01	2.381563e+01	1.442916e-07	5.703625e-09	5.703625e-09
2.381563e+01	2.654421e+01	2.174512e-07	6.632201e-09	6.632201e-09
2.654421e+01	2.958541e+01	3.078017e-07	7.474086e-09	7.474086e-09
2.958541e+01	3.297504e+01	4.176621e-07	8.246725e-09	8.246725e-09
3.297504e+01	3.675302e+01	5.862726e-07	9.254759e-09	9.254759e-09
3.675302e+01	4.096385e+01	7.656137e-07	1.001765e-08	1.001765e-08
4.096385e+01	4.565712e+01	9.944423e-07	1.081427e-08	1.081427e-08
4.565712e+01	5.088811e+01	1.290003e-06	1.166671e-08	1.166671e-08
5.088811e+01	5.671841e+01	1.562954e-06	1.216390e-08	1.216390e-08
5.671841e+01	6.321670e+01	1.736598e-06	1.214494e-08	1.214494e-08
6.321670e+01	7.045950e+01	1.860470e-06	1.190702e-08	1.190702e-08
7.045950e+01	7.853212e+01	1.921857e-06	1.146300e-08	1.146300e-08
7.853212e+01	8.752962e+01	1.848094e-06	1.064746e-08	1.064746e-08
8.752962e+01	9.755798e+01	1.728403e-06	9.753325e-09	9.753325e-09
9.755798e+01	1.087353e+02	1.564166e-06	8.788558e-09	8.788558e-09
1.087353e+02	1.211932e+02	1.356064e-06	7.751090e-09	7.751090e-09
1.211932e+02	1.350785e+02	1.124283e-06	6.685060e-09	6.685060e-09
1.350785e+02	1.505545e+02	9.162826e-07	5.716502e-09	5.716502e-09
1.505545e+02	1.678037e+02	7.134244e-07	4.777873e-09	4.777873e-09
1.678037e+02	1.870292e+02	5.477891e-07	3.965638e-09	3.965638e-09
1.870292e+02	2.084573e+02	3.980074e-07	3.201834e-09	3.201834e-09
2.084573e+02	2.323405e+02	2.947434e-07	2.609882e-09	2.609882e-09
2.323405e+02	2.589599e+02	2.049805e-07	2.061589e-09	2.061589e-09
2.589599e+02	2.886293e+02	1.409916e-07	1.619524e-09	1.619524e-09
2.886293e+02	3.216978e+02	9.548773e-08	1.262443e-09	1.262443e-09
3.216978e+02	3.585551e+02	6.400311e-08	9.790025e-10	9.790025e-10
3.585551e+02	3.996351e+02	4.264486e-08	7.569430e-10	7.569430e-10
3.996351e+02	4.454217e+02	2.753264e-08	5.761025e-10	5.761025e-10
4.454217e+02	4.964541e+02	1.723981e-08	4.318056e-10	4.318056e-10
4.964541e+02	5.533334e+02	1.105248e-08	3.274898e-10	3.274898e-10
5.533334e+02	6.167294e+02	6.982366e-09	2.465559e-10	2.465559e-10
6.167294e+02	6.873887e+02	4.241511e-09	1.820207e-10	1.820207e-10
6.873887e+02	7.661435e+02	2.277700e-09	1.263440e-10	1.263440e-10
7.661435e+02	8.539214e+02	1.433639e-09	9.494506e-11	9.494506e-11
8.539214e+02	9.517560e+02	6.939094e-10	6.256771e-11	6.256771e-11
9.517560e+02	1.060800e+03	3.239428e-10	4.049285e-11	4.049285e-11
1.060800e+03	1.182337e+03	1.180742e-10	2.315625e-11	2.315625e-11
1.182337e+03	1.317798e+03	5.704320e-11	1.524544e-11	1.524544e-11
1.317798e+03	1.468780e+03	3.290088e-11	1.096696e-11	1.096696e-11
1.468780e+03	1.637059e+03	9.839689e-12	5.680948e-12	5.680948e-12
1.637059e+03	1.824619e+03	8.828178e-12	5.096952e-12	5.096952e-12
1.824619e+03	2.033667e+03	2.640244e-12	2.640244e-12	2.640244e-12
2.033667e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

