# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.168394e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.168394e+01	1.365145e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.365145e+01	1.595027e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.595027e+01	1.863620e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.863620e+01	2.177443e+01	1.483643e-06	2.251047e-08	2.251047e-08
2.177443e+01	2.544112e+01	3.361615e-06	3.134722e-08	3.134722e-08
2.544112e+01	2.972525e+01	4.123554e-06	3.211935e-08	3.211935e-08
2.972525e+01	3.473081e+01	4.872462e-06	3.230056e-08	3.230056e-08
3.473081e+01	4.057927e+01	5.611067e-06	3.206743e-08	3.206743e-08
4.057927e+01	4.741258e+01	6.133899e-06	3.101808e-08	3.101808e-08
4.741258e+01	5.539658e+01	6.325842e-06	2.914144e-08	2.914144e-08
5.539658e+01	6.472504e+01	5.645424e-06	2.546862e-08	2.546862e-08
6.472504e+01	7.562436e+01	4.483660e-06	2.099804e-08	2.099804e-08
7.562436e+01	8.835905e+01	3.377156e-06	1.685945e-08	1.685945e-08
8.835905e+01	1.032382e+02	2.334309e-06	1.296738e-08	1.296738e-08
1.032382e+02	1.206229e+02	1.527463e-06	9.704295e-09	9.704295e-09
1.206229e+02	1.409351e+02	9.081833e-07	6.922619e-09	6.922619e-09
1.409351e+02	1.646677e+02	5.009889e-07	4.756675e-09	4.756675e-09
1.646677e+02	1.923968e+02	2.636554e-07	3.192365e-09	3.192365e-09
1.923968e+02	2.247953e+02	1.282943e-07	2.060171e-09	2.060171e-09
2.247953e+02	2.626495e+02	5.764850e-08	1.277613e-09	1.277613e-09
2.626495e+02	3.068781e+02	2.648752e-08	8.011822e-10	8.011822e-10
