# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	5.267493e-06	3.797335e-08	3.797335e-08
2.194655e+01	2.671208e+01	1.060821e-05	4.884585e-08	4.884585e-08
2.671208e+01	3.251242e+01	9.404907e-06	4.168816e-08	4.168816e-08
3.251242e+01	3.957226e+01	8.120710e-06	3.511250e-08	3.511250e-08
3.957226e+01	4.816510e+01	6.138574e-06	2.767117e-08	2.767117e-08
4.816510e+01	5.862381e+01	3.741401e-06	1.958124e-08	1.958124e-08
5.862381e+01	7.135355e+01	2.156410e-06	1.347467e-08	1.347467e-08
7.135355e+01	8.684746e+01	1.129042e-06	8.837648e-09	8.837648e-09
8.684746e+01	1.057058e+02	5.495441e-07	5.588712e-09	5.588712e-09
1.057058e+02	1.286590e+02	2.315195e-07	3.288020e-09	3.288020e-09
1.286590e+02	1.565964e+02	9.127098e-08	1.871266e-09	1.871266e-09
1.565964e+02	1.906002e+02	2.931432e-08	9.612547e-10	9.612547e-10
1.906002e+02	2.319877e+02	7.769203e-09	4.485551e-10	4.485551e-10
2.319877e+02	2.823621e+02	1.893671e-09	2.007287e-10	2.007287e-10
2.823621e+02	3.436751e+02	4.719931e-10	9.083510e-11	9.083510e-11
3.436751e+02	4.183016e+02	1.005378e-10	3.799971e-11	3.799971e-11
4.183016e+02	5.091329e+02	2.360037e-11	1.668798e-11	1.668798e-11
5.091329e+02	6.196874e+02	9.695001e-12	9.695001e-12	9.695001e-12
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	5.311270e-06	3.817404e-08	3.817404e-08
2.194655e+01	2.671208e+01	1.061402e-05	4.891461e-08	4.891461e-08
2.671208e+01	3.251242e+01	9.401058e-06	4.172688e-08	4.172688e-08
3.251242e+01	3.957226e+01	8.169262e-06	3.525723e-08	3.525723e-08
3.957226e+01	4.816510e+01	6.130247e-06	2.768375e-08	2.768375e-08
4.816510e+01	5.862381e+01	3.736023e-06	1.958935e-08	1.958935e-08
5.862381e+01	7.135355e+01	2.149066e-06	1.346695e-08	1.346695e-08
7.135355e+01	8.684746e+01	1.111774e-06	8.779747e-09	8.779747e-09
8.684746e+01	1.057058e+02	5.497652e-07	5.596174e-09	5.596174e-09
1.057058e+02	1.286590e+02	2.311555e-07	3.289158e-09	3.289158e-09
1.286590e+02	1.565964e+02	9.163186e-08	1.877088e-09	1.877088e-09
1.565964e+02	1.906002e+02	2.947562e-08	9.649880e-10	9.649880e-10
1.906002e+02	2.319877e+02	8.513600e-09	4.700848e-10	4.700848e-10
2.319877e+02	2.823621e+02	2.068571e-09	2.100315e-10	2.100315e-10
2.823621e+02	3.436751e+02	5.081056e-10	9.435284e-11	9.435284e-11
3.436751e+02	4.183016e+02	1.295561e-10	4.318538e-11	4.318538e-11
4.183016e+02	5.091329e+02	1.182696e-11	1.182696e-11	1.182696e-11
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_pT_4
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	2.622843e-06	1.922853e-08	1.922853e-08
2.194655e+01	2.671208e+01	5.364841e-06	2.492688e-08	2.492688e-08
2.671208e+01	3.251242e+01	4.763610e-06	2.129053e-08	2.129053e-08
3.251242e+01	3.957226e+01	4.092954e-06	1.788817e-08	1.788817e-08
3.957226e+01	4.816510e+01	3.076920e-06	1.405837e-08	1.405837e-08
4.816510e+01	5.862381e+01	1.896504e-06	1.000421e-08	1.000421e-08
5.862381e+01	7.135355e+01	1.068085e-06	6.805156e-09	6.805156e-09
7.135355e+01	8.684746e+01	5.757015e-07	4.528592e-09	4.528592e-09
8.684746e+01	1.057058e+02	2.713396e-07	2.818058e-09	2.818058e-09
1.057058e+02	1.286590e+02	1.167685e-07	1.675661e-09	1.675661e-09
1.286590e+02	1.565964e+02	4.601226e-08	9.534302e-10	9.534302e-10
1.565964e+02	1.906002e+02	1.426762e-08	4.812349e-10	4.812349e-10
1.906002e+02	2.319877e+02	3.894069e-09	2.278832e-10	2.278832e-10
2.319877e+02	2.823621e+02	1.139498e-09	1.117370e-10	1.117370e-10
2.823621e+02	3.436751e+02	2.430532e-10	4.677561e-11	4.677561e-11
3.436751e+02	4.183016e+02	7.396003e-11	2.338821e-11	2.338821e-11
4.183016e+02	5.091329e+02	2.430606e-11	1.215303e-11	1.215303e-11
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

