# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first jet
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.500556e-07	2.835786e-08	2.835786e-08
-4.800000e+00	-4.600000e+00	3.322661e-07	4.219784e-08	4.219784e-08
-4.600000e+00	-4.400000e+00	1.018235e-06	7.387053e-08	7.387053e-08
-4.400000e+00	-4.200000e+00	2.127575e-06	1.067799e-07	1.067799e-07
-4.200000e+00	-4.000000e+00	3.971116e-06	1.458826e-07	1.458826e-07
-4.000000e+00	-3.800000e+00	6.945435e-06	1.929287e-07	1.929287e-07
-3.800000e+00	-3.600000e+00	1.142031e-05	2.473922e-07	2.473922e-07
-3.600000e+00	-3.400000e+00	1.689734e-05	3.009237e-07	3.009237e-07
-3.400000e+00	-3.200000e+00	2.401963e-05	3.587817e-07	3.587817e-07
-3.200000e+00	-3.000000e+00	3.213871e-05	4.150127e-07	4.150127e-07
-3.000000e+00	-2.800000e+00	4.245503e-05	4.769927e-07	4.769927e-07
-2.800000e+00	-2.600000e+00	5.109930e-05	5.233049e-07	5.233049e-07
-2.600000e+00	-2.400000e+00	5.863425e-05	5.605609e-07	5.605609e-07
-2.400000e+00	-2.200000e+00	6.568150e-05	5.932923e-07	5.932923e-07
-2.200000e+00	-2.000000e+00	7.163550e-05	6.195999e-07	6.195999e-07
-2.000000e+00	-1.800000e+00	7.343615e-05	6.273388e-07	6.273388e-07
-1.800000e+00	-1.600000e+00	7.583705e-05	6.375114e-07	6.375114e-07
-1.600000e+00	-1.400000e+00	7.789495e-05	6.461031e-07	6.461031e-07
-1.400000e+00	-1.200000e+00	7.572450e-05	6.370381e-07	6.370381e-07
-1.200000e+00	-1.000000e+00	7.511360e-05	6.344632e-07	6.344632e-07
