# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	7.288420e-07	6.249766e-08	6.249766e-08
-4.800000e+00	-4.600000e+00	1.634535e-06	9.359320e-08	9.359320e-08
-4.600000e+00	-4.400000e+00	3.183324e-06	1.306134e-07	1.306134e-07
-4.400000e+00	-4.200000e+00	5.359130e-06	1.694706e-07	1.694706e-07
-4.200000e+00	-4.000000e+00	8.815770e-06	2.173589e-07	2.173589e-07
-4.000000e+00	-3.800000e+00	1.259396e-05	2.597935e-07	2.597935e-07
-3.800000e+00	-3.600000e+00	1.772265e-05	3.081850e-07	3.081850e-07
-3.600000e+00	-3.400000e+00	2.336581e-05	3.538650e-07	3.538650e-07
-3.400000e+00	-3.200000e+00	2.904113e-05	3.945063e-07	3.945063e-07
-3.200000e+00	-3.000000e+00	3.567573e-05	4.372538e-07	4.372538e-07
-3.000000e+00	-2.800000e+00	4.465763e-05	4.892097e-07	4.892097e-07
-2.800000e+00	-2.600000e+00	5.116360e-05	5.236339e-07	5.236339e-07
-2.600000e+00	-2.400000e+00	5.547235e-05	5.452373e-07	5.452373e-07
-2.400000e+00	-2.200000e+00	6.084220e-05	5.710180e-07	5.710180e-07
-2.200000e+00	-2.000000e+00	6.350570e-05	5.833826e-07	5.833826e-07
-2.000000e+00	-1.800000e+00	6.626565e-05	5.959247e-07	5.959247e-07
-1.800000e+00	-1.600000e+00	6.883805e-05	6.073813e-07	6.073813e-07
-1.600000e+00	-1.400000e+00	7.076195e-05	6.158104e-07	6.158104e-07
-1.400000e+00	-1.200000e+00	7.127645e-05	6.180451e-07	6.180451e-07
-1.200000e+00	-1.000000e+00	7.224645e-05	6.222365e-07	6.222365e-07
-1.000000e+00	-8.000000e-01	7.196240e-05	6.210121e-07	6.210121e-07
-8.000000e-01	-6.000000e-01	7.268055e-05	6.241030e-07	6.241030e-07
-6.000000e-01	-4.000000e-01	7.362910e-05	6.281624e-07	6.281624e-07
-4.000000e-01	-2.000000e-01	7.113175e-05	6.174174e-07	6.174174e-07
-2.000000e-01	0.000000e+00	7.101920e-05	6.169289e-07	6.169289e-07
0.000000e+00	2.000000e-01	7.284130e-05	6.247928e-07	6.247928e-07
2.000000e-01	4.000000e-01	7.152295e-05	6.191131e-07	6.191131e-07
4.000000e-01	6.000000e-01	7.236970e-05	6.227670e-07	6.227670e-07
6.000000e-01	8.000000e-01	7.273950e-05	6.243561e-07	6.243561e-07
8.000000e-01	1.000000e+00	7.207495e-05	6.214974e-07	6.214974e-07
1.000000e+00	1.200000e+00	7.278770e-05	6.245630e-07	6.245630e-07
1.200000e+00	1.400000e+00	7.091200e-05	6.164631e-07	6.164631e-07
1.400000e+00	1.600000e+00	7.075660e-05	6.157873e-07	6.157873e-07
1.600000e+00	1.800000e+00	6.888625e-05	6.075940e-07	6.075940e-07
1.800000e+00	2.000000e+00	6.758400e-05	6.018235e-07	6.018235e-07
2.000000e+00	2.200000e+00	6.432030e-05	5.871122e-07	5.871122e-07
2.200000e+00	2.400000e+00	6.111555e-05	5.722989e-07	5.722989e-07
2.400000e+00	2.600000e+00	5.629230e-05	5.492520e-07	5.492520e-07
2.600000e+00	2.800000e+00	5.000070e-05	5.176488e-07	5.176488e-07
2.800000e+00	3.000000e+00	4.561156e-05	4.944070e-07	4.944070e-07
3.000000e+00	3.200000e+00	3.590617e-05	4.386638e-07	4.386638e-07
3.200000e+00	3.400000e+00	2.942163e-05	3.970823e-07	3.970823e-07
3.400000e+00	3.600000e+00	2.436797e-05	3.613739e-07	3.613739e-07
3.600000e+00	3.800000e+00	1.765298e-05	3.075786e-07	3.075786e-07
3.800000e+00	4.000000e+00	1.294230e-05	2.633619e-07	2.633619e-07
4.000000e+00	4.200000e+00	8.644280e-06	2.152343e-07	2.152343e-07
4.200000e+00	4.400000e+00	5.348415e-06	1.693011e-07	1.693011e-07
4.400000e+00	4.600000e+00	3.054705e-06	1.279475e-07	1.279475e-07
4.600000e+00	4.800000e+00	1.811386e-06	9.852642e-08	9.852642e-08
4.800000e+00	5.000000e+00	7.717150e-07	6.430956e-08	6.430956e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	8.271785e-07	6.665594e-08	6.665594e-08
-4.800000e+00	-4.600000e+00	1.541560e-06	9.099541e-08	9.099541e-08
-4.600000e+00	-4.400000e+00	3.136833e-06	1.298031e-07	1.298031e-07
-4.400000e+00	-4.200000e+00	5.210150e-06	1.672879e-07	1.672879e-07
-4.200000e+00	-4.000000e+00	8.680005e-06	2.159231e-07	2.159231e-07
-4.000000e+00	-3.800000e+00	1.277292e-05	2.619295e-07	2.619295e-07
-3.800000e+00	-3.600000e+00	1.821942e-05	3.128286e-07	3.128286e-07
-3.600000e+00	-3.400000e+00	2.341345e-05	3.546271e-07	3.546271e-07
-3.400000e+00	-3.200000e+00	3.005774e-05	4.018069e-07	4.018069e-07
-3.200000e+00	-3.000000e+00	3.554182e-05	4.369272e-07	4.369272e-07
-3.000000e+00	-2.800000e+00	4.404457e-05	4.863909e-07	4.863909e-07
-2.800000e+00	-2.600000e+00	4.990465e-05	5.177376e-07	5.177376e-07
-2.600000e+00	-2.400000e+00	5.625890e-05	5.497115e-07	5.497115e-07
-2.400000e+00	-2.200000e+00	6.077615e-05	5.713547e-07	5.713547e-07
-2.200000e+00	-2.000000e+00	6.511615e-05	5.914030e-07	5.914030e-07
-2.000000e+00	-1.800000e+00	6.732375e-05	6.013445e-07	6.013445e-07
-1.800000e+00	-1.600000e+00	6.912850e-05	6.093513e-07	6.093513e-07
-1.600000e+00	-1.400000e+00	7.085265e-05	6.169038e-07	6.169038e-07
-1.400000e+00	-1.200000e+00	7.151870e-05	6.197965e-07	6.197965e-07
-1.200000e+00	-1.000000e+00	7.264670e-05	6.246649e-07	6.246649e-07
-1.000000e+00	-8.000000e-01	7.239425e-05	6.235786e-07	6.235786e-07
-8.000000e-01	-6.000000e-01	7.307640e-05	6.265098e-07	6.265098e-07
-6.000000e-01	-4.000000e-01	7.282395e-05	6.254267e-07	6.254267e-07
-4.000000e-01	-2.000000e-01	7.110510e-05	6.180018e-07	6.180018e-07
-2.000000e-01	0.000000e+00	7.279170e-05	6.252881e-07	6.252881e-07
0.000000e+00	2.000000e-01	7.293135e-05	6.258878e-07	6.258878e-07
2.000000e-01	4.000000e-01	7.317305e-05	6.269240e-07	6.269240e-07
