# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of third jet
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.743875e-06	8.574610e-08	8.574610e-08
-4.600000e+00	-4.200000e+00	6.910600e-06	1.360787e-07	1.360787e-07
-4.200000e+00	-3.800000e+00	1.304680e-05	1.869753e-07	1.869753e-07
-3.800000e+00	-3.400000e+00	2.031379e-05	2.333069e-07	2.333069e-07
-3.400000e+00	-3.000000e+00	2.752183e-05	2.715631e-07	2.715631e-07
-3.000000e+00	-2.600000e+00	3.971385e-05	3.262144e-07	3.262144e-07
-2.600000e+00	-2.200000e+00	4.844388e-05	3.602895e-07	3.602895e-07
-2.200000e+00	-1.800000e+00	5.672105e-05	3.898561e-07	3.898561e-07
-1.800000e+00	-1.400000e+00	6.476242e-05	4.165755e-07	4.165755e-07
-1.400000e+00	-1.000000e+00	7.066550e-05	4.351469e-07	4.351469e-07
-1.000000e+00	-6.000000e-01	7.556375e-05	4.499756e-07	4.499756e-07
-6.000000e-01	-2.000000e-01	7.919993e-05	4.606749e-07	4.606749e-07
-2.000000e-01	2.000000e-01	7.981622e-05	4.624638e-07	4.624638e-07
2.000000e-01	6.000000e-01	7.832905e-05	4.581351e-07	4.581351e-07
6.000000e-01	1.000000e+00	7.608625e-05	4.515287e-07	4.515287e-07
1.000000e+00	1.400000e+00	7.014835e-05	4.335517e-07	4.335517e-07
1.400000e+00	1.800000e+00	6.410057e-05	4.144413e-07	4.144413e-07
1.800000e+00	2.200000e+00	5.689252e-05	3.904449e-07	3.904449e-07
2.200000e+00	2.600000e+00	4.896638e-05	3.622273e-07	3.622273e-07
2.600000e+00	3.000000e+00	4.021760e-05	3.282768e-07	3.282768e-07
3.000000e+00	3.400000e+00	2.692160e-05	2.685855e-07	2.685855e-07
3.400000e+00	3.800000e+00	2.044777e-05	2.340750e-07	2.340750e-07
3.800000e+00	4.200000e+00	1.339247e-05	1.894360e-07	1.894360e-07
4.200000e+00	4.600000e+00	6.790020e-06	1.348862e-07	1.348862e-07
4.600000e+00	5.000000e+00	2.671527e-06	8.460810e-08	8.460810e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_3
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.527192e-06	8.238409e-08	8.238409e-08
-4.600000e+00	-4.200000e+00	6.606685e-06	1.332036e-07	1.332036e-07
-4.200000e+00	-3.800000e+00	1.260373e-05	1.839814e-07	1.839814e-07
-3.800000e+00	-3.400000e+00	1.969652e-05	2.299953e-07	2.299953e-07
-3.400000e+00	-3.000000e+00	2.733450e-05	2.709442e-07	2.709442e-07
-3.000000e+00	-2.600000e+00	3.957565e-05	3.260155e-07	3.260155e-07
-2.600000e+00	-2.200000e+00	4.875788e-05	3.618650e-07	3.618650e-07
-2.200000e+00	-1.800000e+00	5.610042e-05	3.881569e-07	3.881569e-07
-1.800000e+00	-1.400000e+00	6.409022e-05	4.148778e-07	4.148778e-07
