# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of fourth jet
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.433045e-06	8.074346e-08	8.074346e-08
-4.600000e+00	-4.200000e+00	5.337695e-06	1.195939e-07	1.195939e-07
-4.200000e+00	-3.800000e+00	9.040855e-06	1.556456e-07	1.556456e-07
-3.800000e+00	-3.400000e+00	1.395518e-05	1.933748e-07	1.933748e-07
-3.400000e+00	-3.000000e+00	1.811922e-05	2.203444e-07	2.203444e-07
-3.000000e+00	-2.600000e+00	2.925013e-05	2.799600e-07	2.799600e-07
-2.600000e+00	-2.200000e+00	3.608035e-05	3.109335e-07	3.109335e-07
-2.200000e+00	-1.800000e+00	4.368495e-05	3.421355e-07	3.421355e-07
-1.800000e+00	-1.400000e+00	5.053927e-05	3.679991e-07	3.679991e-07
-1.400000e+00	-1.000000e+00	5.729983e-05	3.918401e-07	3.918401e-07
-1.000000e+00	-6.000000e-01	6.195422e-05	4.074438e-07	4.074438e-07
-6.000000e-01	-2.000000e-01	6.393980e-05	4.139213e-07	4.139213e-07
-2.000000e-01	2.000000e-01	6.552877e-05	4.190330e-07	4.190330e-07
2.000000e-01	6.000000e-01	6.439263e-05	4.153845e-07	4.153845e-07
6.000000e-01	1.000000e+00	6.141295e-05	4.056600e-07	4.056600e-07
1.000000e+00	1.400000e+00	5.713905e-05	3.912899e-07	3.912899e-07
1.400000e+00	1.800000e+00	5.033295e-05	3.672471e-07	3.672471e-07
1.800000e+00	2.200000e+00	4.347327e-05	3.413056e-07	3.413056e-07
2.200000e+00	2.600000e+00	3.614198e-05	3.111990e-07	3.111990e-07
2.600000e+00	3.000000e+00	2.939215e-05	2.806389e-07	2.806389e-07
3.000000e+00	3.400000e+00	1.822105e-05	2.209626e-07	2.209626e-07
3.400000e+00	3.800000e+00	1.362291e-05	1.910588e-07	1.910588e-07
3.800000e+00	4.200000e+00	9.225745e-06	1.572291e-07	1.572291e-07
4.200000e+00	4.600000e+00	5.348413e-06	1.197139e-07	1.197139e-07
4.600000e+00	5.000000e+00	2.419647e-06	8.052084e-08	8.052084e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_y_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.285483e-06	7.834537e-08	7.834537e-08
-4.600000e+00	-4.200000e+00	5.172553e-06	1.178628e-07	1.178628e-07
-4.200000e+00	-3.800000e+00	9.192960e-06	1.571274e-07	1.571274e-07
-3.800000e+00	-3.400000e+00	1.353028e-05	1.906240e-07	1.906240e-07
-3.400000e+00	-3.000000e+00	1.779777e-05	2.186286e-07	2.186286e-07
-3.000000e+00	-2.600000e+00	2.909090e-05	2.795135e-07	2.795135e-07
-2.600000e+00	-2.200000e+00	3.608700e-05	3.113148e-07	3.113148e-07
-2.200000e+00	-1.800000e+00	4.397742e-05	3.436681e-07	3.436681e-07
-1.800000e+00	-1.400000e+00	5.086880e-05	3.696153e-07	3.696153e-07
-1.400000e+00	-1.000000e+00	5.680675e-05	3.905928e-07	3.905928e-07
-1.000000e+00	-6.000000e-01	6.171880e-05	4.071299e-07	4.071299e-07
