# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	3.751391e-08	1.417893e-08	1.417893e-08
4.000000e-01	6.000000e-01	2.303891e-05	3.513808e-07	3.513808e-07
6.000000e-01	8.000000e-01	2.602394e-05	3.734511e-07	3.734511e-07
8.000000e-01	1.000000e+00	2.657593e-05	3.773909e-07	3.773909e-07
1.000000e+00	1.200000e+00	2.747627e-05	3.837302e-07	3.837302e-07
1.200000e+00	1.400000e+00	2.911616e-05	3.950156e-07	3.950156e-07
1.400000e+00	1.600000e+00	3.236379e-05	4.164634e-07	4.164634e-07
1.600000e+00	1.800000e+00	3.744961e-05	4.479926e-07	4.479926e-07
1.800000e+00	2.000000e+00	4.347327e-05	4.826789e-07	4.826789e-07
2.000000e+00	2.200000e+00	5.413260e-05	5.386126e-07	5.386126e-07
2.200000e+00	2.400000e+00	6.593340e-05	5.944289e-07	5.944289e-07
2.400000e+00	2.600000e+00	8.426695e-05	6.720102e-07	6.720102e-07
2.600000e+00	2.800000e+00	1.086135e-04	7.629377e-07	7.629377e-07
2.800000e+00	3.000000e+00	1.393588e-04	8.642004e-07	8.642004e-07
3.000000e+00	3.200000e+00	1.654203e-04	9.415461e-07	9.415461e-07
3.200000e+00	3.400000e+00	1.511490e-04	9.000150e-07	9.000150e-07
3.400000e+00	3.600000e+00	1.385657e-04	8.617376e-07	8.617376e-07
3.600000e+00	3.800000e+00	1.304841e-04	8.362305e-07	8.362305e-07
3.800000e+00	4.000000e+00	1.212878e-04	8.062242e-07	8.062242e-07
4.000000e+00	4.200000e+00	1.135117e-04	7.799514e-07	7.799514e-07
4.200000e+00	4.400000e+00	1.044173e-04	7.480548e-07	7.480548e-07
