# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dR_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	6.430955e-08	1.856458e-08	1.856458e-08
4.000000e-01	6.000000e-01	3.995768e-05	4.627509e-07	4.627509e-07
6.000000e-01	8.000000e-01	4.761052e-05	5.051247e-07	5.051247e-07
8.000000e-01	1.000000e+00	4.722466e-05	5.030738e-07	5.030738e-07
1.000000e+00	1.200000e+00	4.905749e-05	5.127431e-07	5.127431e-07
1.200000e+00	1.400000e+00	5.280350e-05	5.319596e-07	5.319596e-07
1.400000e+00	1.600000e+00	5.761600e-05	5.556723e-07	5.556723e-07
1.600000e+00	1.800000e+00	6.441140e-05	5.875279e-07	5.875279e-07
1.800000e+00	2.000000e+00	7.265375e-05	6.239880e-07	6.239880e-07
2.000000e+00	2.200000e+00	8.328625e-05	6.680883e-07	6.680883e-07
2.200000e+00	2.400000e+00	9.450290e-05	7.116555e-07	7.116555e-07
2.400000e+00	2.600000e+00	1.100551e-04	7.679842e-07	7.679842e-07
2.600000e+00	2.800000e+00	1.251357e-04	8.189130e-07	8.189130e-07
2.800000e+00	3.000000e+00	1.388765e-04	8.627036e-07	8.627036e-07
3.000000e+00	3.200000e+00	1.494554e-04	8.949588e-07	8.949588e-07
3.200000e+00	3.400000e+00	1.247874e-04	8.177724e-07	8.177724e-07
3.400000e+00	3.600000e+00	1.114913e-04	7.729791e-07	7.729791e-07
3.600000e+00	3.800000e+00	1.004194e-04	7.335944e-07	7.335944e-07
3.800000e+00	4.000000e+00	9.140535e-05	6.998952e-07	6.998952e-07
4.000000e+00	4.200000e+00	8.366675e-05	6.696126e-07	6.696126e-07
4.200000e+00	4.400000e+00	7.412750e-05	6.302849e-07	6.302849e-07
4.400000e+00	4.600000e+00	6.787340e-05	6.031107e-07	6.031107e-07
