# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.835770e-05	2.217897e-07	2.217897e-07
-4.600000e+00	-4.200000e+00	2.281918e-05	2.472761e-07	2.472761e-07
-4.200000e+00	-3.800000e+00	2.709577e-05	2.694529e-07	2.694529e-07
-3.800000e+00	-3.400000e+00	3.206368e-05	2.931156e-07	2.931156e-07
-3.400000e+00	-3.000000e+00	3.661895e-05	3.132457e-07	3.132457e-07
-3.000000e+00	-2.600000e+00	4.064098e-05	3.300002e-07	3.300002e-07
-2.600000e+00	-2.200000e+00	4.416193e-05	3.439982e-07	3.439982e-07
-2.200000e+00	-1.800000e+00	4.703440e-05	3.550096e-07	3.550096e-07
-1.800000e+00	-1.400000e+00	4.872522e-05	3.613342e-07	3.613342e-07
-1.400000e+00	-1.000000e+00	5.009180e-05	3.663663e-07	3.663663e-07
-1.000000e+00	-6.000000e-01	5.349217e-05	3.785971e-07	3.785971e-07
-6.000000e-01	-2.000000e-01	5.690593e-05	3.904910e-07	3.904910e-07
-2.000000e-01	2.000000e-01	5.159770e-05	3.718325e-07	3.718325e-07
2.000000e-01	6.000000e-01	5.597880e-05	3.872969e-07	3.872969e-07
6.000000e-01	1.000000e+00	5.323225e-05	3.776762e-07	3.776762e-07
1.000000e+00	1.400000e+00	5.006768e-05	3.662781e-07	3.662781e-07
1.400000e+00	1.800000e+00	4.830987e-05	3.597909e-07	3.597909e-07
1.800000e+00	2.200000e+00	4.669677e-05	3.537331e-07	3.537331e-07
2.200000e+00	2.600000e+00	4.401723e-05	3.434341e-07	3.434341e-07
2.600000e+00	3.000000e+00	4.049628e-05	3.294123e-07	3.294123e-07
3.000000e+00	3.400000e+00	3.639923e-05	3.123044e-07	3.123044e-07
3.400000e+00	3.800000e+00	3.176090e-05	2.917283e-07	2.917283e-07
