# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~2,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_deta_23
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.595145e-05	2.067437e-07	2.067437e-07
-4.600000e+00	-4.200000e+00	2.039149e-05	2.337527e-07	2.337527e-07
-4.200000e+00	-3.800000e+00	2.462521e-05	2.568752e-07	2.568752e-07
-3.800000e+00	-3.400000e+00	2.892323e-05	2.783912e-07	2.783912e-07
-3.400000e+00	-3.000000e+00	3.427700e-05	3.030634e-07	3.030634e-07
-3.000000e+00	-2.600000e+00	3.896893e-05	3.231404e-07	3.231404e-07
-2.600000e+00	-2.200000e+00	4.308473e-05	3.397769e-07	3.397769e-07
-2.200000e+00	-1.800000e+00	4.599742e-05	3.510742e-07	3.510742e-07
-1.800000e+00	-1.400000e+00	4.866627e-05	3.611155e-07	3.611155e-07
-1.400000e+00	-1.000000e+00	5.208003e-05	3.735664e-07	3.735664e-07
-1.000000e+00	-6.000000e-01	6.005442e-05	4.011480e-07	4.011480e-07
-6.000000e-01	-2.000000e-01	6.590928e-05	4.202478e-07	4.202478e-07
-2.000000e-01	2.000000e-01	5.897455e-05	3.975251e-07	3.975251e-07
2.000000e-01	6.000000e-01	6.538943e-05	4.185872e-07	4.185872e-07
6.000000e-01	1.000000e+00	5.962300e-05	3.997046e-07	3.997046e-07
1.000000e+00	1.400000e+00	5.254628e-05	3.752348e-07	3.752348e-07
1.400000e+00	1.800000e+00	4.901730e-05	3.624156e-07	3.624156e-07
1.800000e+00	2.200000e+00	4.610995e-05	3.515035e-07	3.515035e-07
2.200000e+00	2.600000e+00	4.291593e-05	3.391106e-07	3.391106e-07
2.600000e+00	3.000000e+00	3.878135e-05	3.223619e-07	3.223619e-07
3.000000e+00	3.400000e+00	3.463338e-05	3.046349e-07	3.046349e-07
3.400000e+00	3.800000e+00	2.958240e-05	2.815457e-07	2.815457e-07
