# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	4.400277e-05	6.126286e-07	6.126286e-07
1.256637e-01	2.513274e-01	4.519688e-05	6.208854e-07	6.208854e-07
2.513274e-01	3.769911e-01	4.799450e-05	6.398128e-07	6.398128e-07
3.769911e-01	5.026548e-01	5.544912e-05	6.877088e-07	6.877088e-07
5.026548e-01	6.283185e-01	5.545765e-05	6.877617e-07	6.877617e-07
6.283185e-01	7.539822e-01	5.546618e-05	6.878146e-07	6.878146e-07
7.539822e-01	8.796459e-01	5.562824e-05	6.888187e-07	6.888187e-07
8.796459e-01	1.005310e+00	5.704392e-05	6.975274e-07	6.975274e-07
1.005310e+00	1.130973e+00	5.912559e-05	7.101436e-07	7.101436e-07
1.130973e+00	1.256637e+00	6.391006e-05	7.383144e-07	7.383144e-07
1.256637e+00	1.382301e+00	6.933469e-05	7.690101e-07	7.690101e-07
1.382301e+00	1.507964e+00	7.715668e-05	8.112324e-07	8.112324e-07
1.507964e+00	1.633628e+00	8.522481e-05	8.525888e-07	8.525888e-07
1.633628e+00	1.759292e+00	9.534903e-05	9.018097e-07	9.018097e-07
1.759292e+00	1.884956e+00	1.089703e-04	9.640751e-07	9.640751e-07
1.884956e+00	2.010619e+00	1.268829e-04	1.040303e-06	1.040303e-06
2.010619e+00	2.136283e+00	1.476507e-04	1.122211e-06	1.122211e-06
2.136283e+00	2.261947e+00	1.742110e-04	1.218974e-06	1.218974e-06
2.261947e+00	2.387610e+00	2.020693e-04	1.312830e-06	1.312830e-06
2.387610e+00	2.513274e+00	2.357243e-04	1.417944e-06	1.417944e-06
2.513274e+00	2.638938e+00	2.734580e-04	1.527221e-06	1.527221e-06
2.638938e+00	2.764602e+00	3.127183e-04	1.633178e-06	1.633178e-06
2.764602e+00	2.890265e+00	3.494483e-04	1.726434e-06	1.726434e-06
2.890265e+00	3.015929e+00	3.850468e-04	1.812231e-06	1.812231e-06
3.015929e+00	3.141593e+00	4.039989e-04	1.856294e-06	1.856294e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	4.453858e-05	6.170460e-07	6.170460e-07
1.256637e-01	2.513274e-01	4.541910e-05	6.231156e-07	6.231156e-07
2.513274e-01	3.769911e-01	5.079621e-05	6.589690e-07	6.589690e-07
3.769911e-01	5.026548e-01	5.603655e-05	6.921258e-07	6.921258e-07
5.026548e-01	6.283185e-01	5.583138e-05	6.908576e-07	6.908576e-07
6.283185e-01	7.539822e-01	5.493377e-05	6.852816e-07	6.852816e-07
7.539822e-01	8.796459e-01	5.595106e-05	6.915976e-07	6.915976e-07
8.796459e-01	1.005310e+00	5.620734e-05	6.931786e-07	6.931786e-07
1.005310e+00	1.130973e+00	5.968716e-05	7.143170e-07	7.143170e-07
1.130973e+00	1.256637e+00	6.367036e-05	7.377640e-07	7.377640e-07
1.256637e+00	1.382301e+00	6.861148e-05	7.658562e-07	7.658562e-07
1.382301e+00	1.507964e+00	7.653669e-05	8.088824e-07	8.088824e-07
1.507964e+00	1.633628e+00	8.640979e-05	8.594689e-07	8.594689e-07
1.633628e+00	1.759292e+00	9.490713e-05	9.007375e-07	9.007375e-07
1.759292e+00	1.884956e+00	1.107905e-04	9.731957e-07	9.731957e-07
1.884956e+00	2.010619e+00	1.280598e-04	1.046302e-06	1.046302e-06
2.010619e+00	2.136283e+00	1.475925e-04	1.123262e-06	1.123262e-06
2.136283e+00	2.261947e+00	1.709645e-04	1.208932e-06	1.208932e-06
2.261947e+00	2.387610e+00	2.023653e-04	1.315281e-06	1.315281e-06
2.387610e+00	2.513274e+00	2.366695e-04	1.422394e-06	1.422394e-06
2.513274e+00	2.638938e+00	2.745485e-04	1.531999e-06	1.531999e-06
2.638938e+00	2.764602e+00	3.153854e-04	1.641987e-06	1.641987e-06
2.764602e+00	2.890265e+00	3.520534e-04	1.734822e-06	1.734822e-06
2.890265e+00	3.015929e+00	3.839456e-04	1.811689e-06	1.811689e-06
3.015929e+00	3.141593e+00	4.030433e-04	1.856200e-06	1.856200e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_12
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.231668e-05	3.130797e-07	3.130797e-07
1.256637e-01	2.513274e-01	2.243087e-05	3.138797e-07	3.138797e-07
2.513274e-01	3.769911e-01	2.422288e-05	3.261768e-07	3.261768e-07
3.769911e-01	5.026548e-01	2.777177e-05	3.492544e-07	3.492544e-07
5.026548e-01	6.283185e-01	2.842180e-05	3.533182e-07	3.533182e-07
6.283185e-01	7.539822e-01	2.820220e-05	3.519505e-07	3.519505e-07
7.539822e-01	8.796459e-01	2.779812e-05	3.494201e-07	3.494201e-07
8.796459e-01	1.005310e+00	2.862815e-05	3.545978e-07	3.545978e-07
1.005310e+00	1.130973e+00	2.993728e-05	3.626164e-07	3.626164e-07
1.130973e+00	1.256637e+00	3.187399e-05	3.741604e-07	3.741604e-07
1.256637e+00	1.382301e+00	3.502757e-05	3.922334e-07	3.922334e-07
1.382301e+00	1.507964e+00	3.837909e-05	4.105714e-07	4.105714e-07
1.507964e+00	1.633628e+00	4.327606e-05	4.359769e-07	4.359769e-07
1.633628e+00	1.759292e+00	4.849396e-05	4.615125e-07	4.615125e-07
1.759292e+00	1.884956e+00	5.440582e-05	4.888350e-07	4.888350e-07
1.884956e+00	2.010619e+00	6.308087e-05	5.263689e-07	5.263689e-07
2.010619e+00	2.136283e+00	7.494362e-05	5.737292e-07	5.737292e-07
2.136283e+00	2.261947e+00	8.754035e-05	6.200744e-07	6.200744e-07
2.261947e+00	2.387610e+00	1.010295e-04	6.661400e-07	6.661400e-07
2.387610e+00	2.513274e+00	1.180352e-04	7.200214e-07	7.200214e-07
2.513274e+00	2.638938e+00	1.374266e-04	7.769179e-07	7.769179e-07
2.638938e+00	2.764602e+00	1.575033e-04	8.317338e-07	8.317338e-07
2.764602e+00	2.890265e+00	1.771245e-04	8.820246e-07	8.820246e-07
2.890265e+00	3.015929e+00	1.945248e-04	9.243302e-07	9.243302e-07
3.015929e+00	3.141593e+00	2.045566e-04	9.478647e-07	9.478647e-07
# END HISTO1D

