# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_dphi_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	7.048631e-05	7.753712e-07	7.753712e-07
1.256637e-01	2.513274e-01	7.361658e-05	7.924011e-07	7.924011e-07
2.513274e-01	3.769911e-01	7.864888e-05	8.190370e-07	8.190370e-07
3.769911e-01	5.026548e-01	9.185230e-05	8.851201e-07	8.851201e-07
5.026548e-01	6.283185e-01	9.064113e-05	8.792652e-07	8.792652e-07
6.283185e-01	7.539822e-01	8.978814e-05	8.751185e-07	8.751185e-07
7.539822e-01	8.796459e-01	8.697349e-05	8.612926e-07	8.612926e-07
8.796459e-01	1.005310e+00	8.908845e-05	8.717005e-07	8.717005e-07
1.005310e+00	1.130973e+00	9.272276e-05	8.893070e-07	8.893070e-07
1.130973e+00	1.256637e+00	9.515287e-05	9.008817e-07	9.008817e-07
1.256637e+00	1.382301e+00	1.013707e-04	9.298503e-07	9.298503e-07
1.382301e+00	1.507964e+00	1.088859e-04	9.637057e-07	9.637057e-07
1.507964e+00	1.633628e+00	1.155720e-04	9.928487e-07	9.928487e-07
1.633628e+00	1.759292e+00	1.267710e-04	1.039840e-06	1.039840e-06
1.759292e+00	1.884956e+00	1.393518e-04	1.090217e-06	1.090217e-06
1.884956e+00	2.010619e+00	1.504154e-04	1.132673e-06	1.132673e-06
2.010619e+00	2.136283e+00	1.653661e-04	1.187627e-06	1.187627e-06
2.136283e+00	2.261947e+00	1.776824e-04	1.231059e-06	1.231059e-06
2.261947e+00	2.387610e+00	1.910153e-04	1.276417e-06	1.276417e-06
2.387610e+00	2.513274e+00	2.048738e-04	1.321904e-06	1.321904e-06
2.513274e+00	2.638938e+00	2.157913e-04	1.356669e-06	1.356669e-06
2.638938e+00	2.764602e+00	2.236554e-04	1.381168e-06	1.381168e-06
2.764602e+00	2.890265e+00	2.277683e-04	1.393815e-06	1.393815e-06
