# BEGIN PLOT
Legend=1
LogY=1
Title=Dijet invariant mass spectrum
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LegendAlign=r
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13600/jets_mjj
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.700000e+02	2.758944e-07	1.318892e-09	1.318892e-09
1.700000e+02	3.400000e+02	5.023208e-07	1.779624e-09	1.779624e-09
3.400000e+02	5.100000e+02	4.238316e-07	1.634686e-09	1.634686e-09
5.100000e+02	6.800000e+02	3.198392e-07	1.420050e-09	1.420050e-09
6.800000e+02	8.500000e+02	2.395910e-07	1.229060e-09	1.229060e-09
8.500000e+02	1.020000e+03	1.853692e-07	1.081077e-09	1.081077e-09
1.020000e+03	1.190000e+03	1.440471e-07	9.529936e-10	9.529936e-10
1.190000e+03	1.360000e+03	1.125544e-07	8.424010e-10	8.424010e-10
1.360000e+03	1.530000e+03	8.959835e-08	7.516017e-10	7.516017e-10
1.530000e+03	1.700000e+03	7.068376e-08	6.675711e-10	6.675711e-10
1.700000e+03	1.870000e+03	5.721030e-08	6.005854e-10	6.005854e-10
1.870000e+03	2.040000e+03	4.514279e-08	5.334970e-10	5.334970e-10
2.040000e+03	2.210000e+03	3.636643e-08	4.788374e-10	4.788374e-10
2.210000e+03	2.380000e+03	2.919150e-08	4.290086e-10	4.290086e-10
2.380000e+03	2.550000e+03	2.342886e-08	3.843380e-10	3.843380e-10
2.550000e+03	2.720000e+03	1.900915e-08	3.461936e-10	3.461936e-10
2.720000e+03	2.890000e+03	1.496774e-08	3.071962e-10	3.071962e-10
2.890000e+03	3.060000e+03	1.248993e-08	2.806194e-10	2.806194e-10
3.060000e+03	3.230000e+03	9.879718e-09	2.495801e-10	2.495801e-10
3.230000e+03	3.400000e+03	8.278282e-09	2.284587e-10	2.284587e-10
3.400000e+03	3.570000e+03	6.267029e-09	1.987781e-10	1.987781e-10
