# BEGIN PLOT
Legend=1
LogY=1
Title=Angle between the boson decay planes
XLabel=$\cos(\Psi_{\mathrm{ee},\mu\mu})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\cos(\Psi_{\mathrm{ee},\mu\mu})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.200000e-01	6.814135e-05	9.554820e-07	9.554820e-07
-9.200000e-01	-8.400000e-01	6.599770e-05	9.403328e-07	9.403328e-07
-8.400000e-01	-7.600000e-01	6.270183e-05	9.165524e-07	9.165524e-07
-7.600000e-01	-6.800000e-01	6.173719e-05	9.094747e-07	9.094747e-07
-6.800000e-01	-6.000000e-01	6.026342e-05	8.985538e-07	8.985538e-07
-6.000000e-01	-5.200000e-01	5.783843e-05	8.802893e-07	8.802893e-07
-5.200000e-01	-4.400000e-01	5.743649e-05	8.772252e-07	8.772252e-07
-4.400000e-01	-3.600000e-01	5.663261e-05	8.710649e-07	8.710649e-07
-3.600000e-01	-2.800000e-01	5.611010e-05	8.670372e-07	8.670372e-07
-2.800000e-01	-2.000000e-01	5.577515e-05	8.644455e-07	8.644455e-07
-2.000000e-01	-1.200000e-01	5.501147e-05	8.585070e-07	8.585070e-07
-1.200000e-01	-4.000000e-02	5.596273e-05	8.658977e-07	8.658977e-07
-4.000000e-02	4.000000e-02	5.643165e-05	8.695179e-07	8.695179e-07
4.000000e-02	1.200000e-01	5.731590e-05	8.763039e-07	8.763039e-07
1.200000e-01	2.000000e-01	5.485070e-05	8.572516e-07	8.572516e-07
2.000000e-01	2.800000e-01	5.620389e-05	8.677615e-07	8.677615e-07
2.800000e-01	3.600000e-01	5.613690e-05	8.672442e-07	8.672442e-07
3.600000e-01	4.400000e-01	5.767765e-05	8.790649e-07	8.790649e-07
4.400000e-01	5.200000e-01	5.786521e-05	8.804931e-07	8.804931e-07
5.200000e-01	6.000000e-01	5.727571e-05	8.759966e-07	8.759966e-07
6.000000e-01	6.800000e-01	5.905762e-05	8.895188e-07	8.895188e-07
6.800000e-01	7.600000e-01	6.232669e-05	9.138064e-07	9.138064e-07
7.600000e-01	8.400000e-01	6.027683e-05	8.986537e-07	8.986537e-07
8.400000e-01	9.200000e-01	6.444355e-05	9.291951e-07	9.291951e-07
9.200000e-01	1.000000e+00	6.786000e-05	9.535074e-07	9.535074e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_costheta_planes
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.200000e-01	6.624143e-05	9.431355e-07	9.431355e-07
-9.200000e-01	-8.400000e-01	6.538201e-05	9.369974e-07	9.369974e-07
