# BEGIN PLOT
Legend=1
LogY=1
Title=Separation of boson pair
XLabel=$\Delta R_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	8.343754e-06	1.854626e-07	1.854626e-07
7.600000e-01	1.020000e+00	1.168290e-05	2.194577e-07	2.194577e-07
1.020000e+00	1.280000e+00	1.605678e-05	2.572792e-07	2.572792e-07
1.280000e+00	1.540000e+00	1.913210e-05	2.808386e-07	2.808386e-07
1.540000e+00	1.800000e+00	2.364201e-05	3.121891e-07	3.121891e-07
1.800000e+00	2.060000e+00	2.878678e-05	3.444864e-07	3.444864e-07
2.060000e+00	2.320000e+00	3.419538e-05	3.754561e-07	3.754561e-07
2.320000e+00	2.580000e+00	4.166108e-05	4.144200e-07	4.144200e-07
2.580000e+00	2.840000e+00	5.005842e-05	4.542700e-07	4.542700e-07
2.840000e+00	3.100000e+00	5.929673e-05	4.944141e-07	4.944141e-07
3.100000e+00	3.360000e+00	4.772100e-05	4.435374e-07	4.435374e-07
3.360000e+00	3.620000e+00	2.940514e-05	3.481666e-07	3.481666e-07
3.620000e+00	3.880000e+00	2.088000e-05	2.933869e-07	2.933869e-07
3.880000e+00	4.140000e+00	1.579295e-05	2.551568e-07	2.551568e-07
4.140000e+00	4.400000e+00	1.142319e-05	2.170048e-07	2.170048e-07
4.400000e+00	4.660000e+00	8.652935e-06	1.888675e-07	1.888675e-07
4.660000e+00	4.920000e+00	6.327896e-06	1.615121e-07	1.615121e-07
4.920000e+00	5.180000e+00	4.823219e-06	1.410080e-07	1.410080e-07
5.180000e+00	5.440000e+00	3.483435e-06	1.198338e-07	1.198338e-07
5.440000e+00	5.700000e+00	2.518792e-06	1.018994e-07	1.018994e-07
5.700000e+00	5.960000e+00	1.813860e-06	8.647237e-08	8.647237e-08
5.960000e+00	6.220000e+00	1.051214e-06	6.582958e-08	6.582958e-08
6.220000e+00	6.480000e+00	7.832577e-07	5.682348e-08	5.682348e-08
6.480000e+00	6.740000e+00	5.235458e-07	4.645718e-08	4.645718e-08
6.740000e+00	7.000000e+00	3.586495e-07	3.845127e-08	3.845127e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	8.445319e-06	1.867995e-07	1.867995e-07
7.600000e-01	1.020000e+00	1.208540e-05	2.234591e-07	2.234591e-07
1.020000e+00	1.280000e+00	1.529991e-05	2.514271e-07	2.514271e-07
1.280000e+00	1.540000e+00	1.925400e-05	2.820513e-07	2.820513e-07
1.540000e+00	1.800000e+00	2.390637e-05	3.142855e-07	3.142855e-07
1.800000e+00	2.060000e+00	2.776130e-05	3.386784e-07	3.386784e-07
2.060000e+00	2.320000e+00	3.391349e-05	3.743293e-07	3.743293e-07
2.320000e+00	2.580000e+00	4.130523e-05	4.131142e-07	4.131142e-07
2.580000e+00	2.840000e+00	5.018023e-05	4.553380e-07	4.553380e-07
2.840000e+00	3.100000e+00	5.963785e-05	4.963963e-07	4.963963e-07
3.100000e+00	3.360000e+00	4.816392e-05	4.460963e-07	4.460963e-07
3.360000e+00	3.620000e+00	2.891406e-05	3.456385e-07	3.456385e-07
3.620000e+00	3.880000e+00	2.155127e-05	2.984035e-07	2.984035e-07
3.880000e+00	4.140000e+00	1.579159e-05	2.554351e-07	2.554351e-07
4.140000e+00	4.400000e+00	1.146150e-05	2.176148e-07	2.176148e-07
4.400000e+00	4.660000e+00	8.895681e-06	1.917155e-07	1.917155e-07
4.660000e+00	4.920000e+00	6.470338e-06	1.635050e-07	1.635050e-07
4.920000e+00	5.180000e+00	4.697812e-06	1.393206e-07	1.393206e-07
5.180000e+00	5.440000e+00	3.462415e-06	1.196072e-07	1.196072e-07
5.440000e+00	5.700000e+00	2.532769e-06	1.022976e-07	1.022976e-07
5.700000e+00	5.960000e+00	1.809711e-06	8.647135e-08	8.647135e-08
5.960000e+00	6.220000e+00	1.243660e-06	7.168337e-08	7.168337e-08
6.220000e+00	6.480000e+00	7.974300e-07	5.740026e-08	5.740026e-08
6.480000e+00	6.740000e+00	4.875477e-07	4.488241e-08	4.488241e-08
6.740000e+00	7.000000e+00	3.883854e-07	4.005891e-08	4.005891e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dR
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	4.298746e-06	9.552769e-08	9.552769e-08
7.600000e-01	1.020000e+00	6.001262e-06	1.128703e-07	1.128703e-07
1.020000e+00	1.280000e+00	7.739865e-06	1.281814e-07	1.281814e-07
1.280000e+00	1.540000e+00	9.686508e-06	1.433976e-07	1.433976e-07
1.540000e+00	1.800000e+00	1.158433e-05	1.568172e-07	1.568172e-07
1.800000e+00	2.060000e+00	1.414871e-05	1.733073e-07	1.733073e-07
2.060000e+00	2.320000e+00	1.727778e-05	1.915148e-07	1.915148e-07
2.320000e+00	2.580000e+00	2.100972e-05	2.111877e-07	2.111877e-07
2.580000e+00	2.840000e+00	2.508982e-05	2.307848e-07	2.307848e-07
2.840000e+00	3.100000e+00	3.051155e-05	2.545016e-07	2.545016e-07
3.100000e+00	3.360000e+00	2.440839e-05	2.276292e-07	2.276292e-07
3.360000e+00	3.620000e+00	1.484500e-05	1.775205e-07	1.775205e-07
3.620000e+00	3.880000e+00	1.077977e-05	1.512736e-07	1.512736e-07
3.880000e+00	4.140000e+00	7.869358e-06	1.292493e-07	1.292493e-07
4.140000e+00	4.400000e+00	5.956681e-06	1.124503e-07	1.124503e-07
4.400000e+00	4.660000e+00	4.602312e-06	9.884312e-08	9.884312e-08
4.660000e+00	4.920000e+00	3.269170e-06	8.330617e-08	8.330617e-08
4.920000e+00	5.180000e+00	2.386070e-06	7.117049e-08	7.117049e-08
5.180000e+00	5.440000e+00	1.689779e-06	5.989262e-08	5.989262e-08
5.440000e+00	5.700000e+00	1.284317e-06	5.221491e-08	5.221491e-08
5.700000e+00	5.960000e+00	8.512581e-07	4.250980e-08	4.250980e-08
5.960000e+00	6.220000e+00	5.965173e-07	3.558524e-08	3.558524e-08
6.220000e+00	6.480000e+00	3.821108e-07	2.848086e-08	2.848086e-08
6.480000e+00	6.740000e+00	2.844602e-07	2.457362e-08	2.457362e-08
6.740000e+00	7.000000e+00	1.953011e-07	2.036154e-08	2.036154e-08
# END HISTO1D

