# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity difference of boson pair
XLabel=$\Delta\eta_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-7.000000e+00	-6.440000e+00	1.531180e-07	1.711912e-08	1.711912e-08
-6.440000e+00	-5.880000e+00	2.851823e-07	2.336305e-08	2.336305e-08
-5.880000e+00	-5.320000e+00	6.258700e-07	3.461069e-08	3.461069e-08
-5.320000e+00	-4.760000e+00	1.347439e-06	5.078350e-08	5.078350e-08
-4.760000e+00	-4.200000e+00	2.298684e-06	6.632966e-08	6.632966e-08
-4.200000e+00	-3.640000e+00	3.824123e-06	8.555277e-08	8.555277e-08
-3.640000e+00	-3.080000e+00	5.994571e-06	1.071142e-07	1.071142e-07
-3.080000e+00	-2.520000e+00	8.475082e-06	1.273621e-07	1.273621e-07
-2.520000e+00	-1.960000e+00	1.208101e-05	1.520617e-07	1.520617e-07
-1.960000e+00	-1.400000e+00	1.596447e-05	1.748016e-07	1.748016e-07
-1.400000e+00	-8.400000e-01	1.986514e-05	1.949908e-07	1.949908e-07
-8.400000e-01	-2.800000e-01	2.280884e-05	2.089391e-07	2.089391e-07
-2.800000e-01	2.800000e-01	2.419648e-05	2.152009e-07	2.152009e-07
2.800000e-01	8.400000e-01	2.285095e-05	2.091319e-07	2.091319e-07
8.400000e-01	1.400000e+00	1.962591e-05	1.938130e-07	1.938130e-07
1.400000e+00	1.960000e+00	1.597595e-05	1.748645e-07	1.748645e-07
1.960000e+00	2.520000e+00	1.203125e-05	1.517482e-07	1.517482e-07
2.520000e+00	3.080000e+00	8.561211e-06	1.280076e-07	1.280076e-07
3.080000e+00	3.640000e+00	5.898871e-06	1.062558e-07	1.062558e-07
3.640000e+00	4.200000e+00	3.910252e-06	8.651084e-08	8.651084e-08
4.200000e+00	4.760000e+00	2.224039e-06	6.524383e-08	6.524383e-08
4.760000e+00	5.320000e+00	1.362750e-06	5.107123e-08	5.107123e-08
5.320000e+00	5.880000e+00	6.143861e-07	3.429168e-08	3.429168e-08
5.880000e+00	6.440000e+00	3.177198e-07	2.465985e-08	2.465985e-08
6.440000e+00	7.000000e+00	1.301503e-07	1.578304e-08	1.578304e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-7.000000e+00	-6.440000e+00	1.592204e-07	1.747670e-08	1.747670e-08
-6.440000e+00	-5.880000e+00	3.261139e-07	2.501180e-08	2.501180e-08
-5.880000e+00	-5.320000e+00	6.196166e-07	3.447639e-08	3.447639e-08
-5.320000e+00	-4.760000e+00	1.352414e-06	5.093485e-08	5.093485e-08
-4.760000e+00	-4.200000e+00	2.348021e-06	6.711371e-08	6.711371e-08
-4.200000e+00	-3.640000e+00	3.717700e-06	8.444956e-08	8.444956e-08
-3.640000e+00	-3.080000e+00	5.873887e-06	1.061507e-07	1.061507e-07
-3.080000e+00	-2.520000e+00	8.630511e-06	1.286703e-07	1.286703e-07
-2.520000e+00	-1.960000e+00	1.189932e-05	1.510850e-07	1.510850e-07
-1.960000e+00	-1.400000e+00	1.617717e-05	1.761617e-07	1.761617e-07
-1.400000e+00	-8.400000e-01	1.986802e-05	1.952259e-07	1.952259e-07
-8.400000e-01	-2.800000e-01	2.299104e-05	2.100098e-07	2.100098e-07
-2.800000e-01	2.800000e-01	2.383702e-05	2.138386e-07	2.138386e-07
2.800000e-01	8.400000e-01	2.253064e-05	2.078964e-07	2.078964e-07
8.400000e-01	1.400000e+00	1.929061e-05	1.923681e-07	1.923681e-07
1.400000e+00	1.960000e+00	1.588559e-05	1.745669e-07	1.745669e-07
1.960000e+00	2.520000e+00	1.237890e-05	1.540995e-07	1.540995e-07
2.520000e+00	3.080000e+00	8.651612e-06	1.288276e-07	1.288276e-07
3.080000e+00	3.640000e+00	6.130943e-06	1.084486e-07	1.084486e-07
3.640000e+00	4.200000e+00	3.949816e-06	8.704596e-08	8.704596e-08
4.200000e+00	4.760000e+00	2.248268e-06	6.567261e-08	6.567261e-08
4.760000e+00	5.320000e+00	1.325557e-06	5.042658e-08	5.042658e-08
5.320000e+00	5.880000e+00	7.116957e-07	3.694941e-08	3.694941e-08
5.880000e+00	6.440000e+00	3.241957e-07	2.493812e-08	2.493812e-08
6.440000e+00	7.000000e+00	1.266090e-07	1.558449e-08	1.558449e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_deta
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-7.000000e+00	-6.440000e+00	6.702102e-08	8.127492e-09	8.127492e-09
-6.440000e+00	-5.880000e+00	1.409412e-07	1.178610e-08	1.178610e-08
-5.880000e+00	-5.320000e+00	3.390475e-07	1.828022e-08	1.828022e-08
-5.320000e+00	-4.760000e+00	6.652821e-07	2.560672e-08	2.560672e-08
-4.760000e+00	-4.200000e+00	1.149213e-06	3.365514e-08	3.365514e-08
-4.200000e+00	-3.640000e+00	1.940654e-06	4.373458e-08	4.373458e-08
-3.640000e+00	-3.080000e+00	3.036643e-06	5.470764e-08	5.470764e-08
-3.080000e+00	-2.520000e+00	4.492379e-06	6.654100e-08	6.654100e-08
-2.520000e+00	-1.960000e+00	6.090043e-06	7.747494e-08	7.747494e-08
-1.960000e+00	-1.400000e+00	8.010982e-06	8.885747e-08	8.885747e-08
-1.400000e+00	-8.400000e-01	1.002556e-05	9.940433e-08	9.940433e-08
-8.400000e-01	-2.800000e-01	1.134232e-05	1.057309e-07	1.057309e-07
-2.800000e-01	2.800000e-01	1.200169e-05	1.087608e-07	1.087608e-07
2.800000e-01	8.400000e-01	1.167940e-05	1.072905e-07	1.072905e-07
8.400000e-01	1.400000e+00	9.988104e-06	9.921847e-08	9.921847e-08
1.400000e+00	1.960000e+00	7.933120e-06	8.842460e-08	8.842460e-08
1.960000e+00	2.520000e+00	6.170862e-06	7.798732e-08	7.798732e-08
2.520000e+00	3.080000e+00	4.429300e-06	6.607218e-08	6.607218e-08
3.080000e+00	3.640000e+00	3.028759e-06	5.463657e-08	5.463657e-08
3.640000e+00	4.200000e+00	1.973177e-06	4.409955e-08	4.409955e-08
4.200000e+00	4.760000e+00	1.139357e-06	3.351051e-08	3.351051e-08
4.760000e+00	5.320000e+00	6.613398e-07	2.553074e-08	2.553074e-08
5.320000e+00	5.880000e+00	3.045514e-07	1.732532e-08	1.732532e-08
5.880000e+00	6.440000e+00	1.714950e-07	1.300100e-08	1.300100e-08
6.440000e+00	7.000000e+00	7.490584e-08	8.592289e-09	8.592289e-09
# END HISTO1D

