# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum difference of boson pair
XLabel=$\Delta p_\perp^{\mathrm{ZZ}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta p_\perp^{\mathrm{ZZ}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dpT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.092258e+00	1.185006e-06	1.173331e-07	1.173331e-07
1.092258e+00	1.193027e+00	1.095556e-06	1.079484e-07	1.079484e-07
1.193027e+00	1.303093e+00	1.100398e-06	1.035167e-07	1.035167e-07
1.303093e+00	1.423313e+00	1.007456e-06	9.477349e-08	9.477349e-08
1.423313e+00	1.554624e+00	1.110100e-06	9.519029e-08	9.519029e-08
1.554624e+00	1.698050e+00	1.068642e-06	8.936438e-08	8.936438e-08
1.698050e+00	1.854708e+00	1.039957e-06	8.435164e-08	8.435164e-08
1.854708e+00	2.025819e+00	9.270608e-07	7.620392e-08	7.620392e-08
2.025819e+00	2.212717e+00	1.066676e-06	7.821250e-08	7.821250e-08
2.212717e+00	2.416857e+00	1.076342e-06	7.517495e-08	7.517495e-08
2.416857e+00	2.639830e+00	9.806232e-07	6.865737e-08	6.865737e-08
2.639830e+00	2.883375e+00	1.100234e-06	6.958492e-08	6.958492e-08
2.883375e+00	3.149388e+00	9.871600e-07	6.306735e-08	6.306735e-08
3.149388e+00	3.439943e+00	1.117734e-06	6.421216e-08	6.421216e-08
3.439943e+00	3.757304e+00	1.019947e-06	5.869137e-08	5.869137e-08
3.757304e+00	4.103944e+00	9.647179e-07	5.461639e-08	5.461639e-08
4.103944e+00	4.482564e+00	1.078564e-06	5.525649e-08	5.525649e-08
4.482564e+00	4.896115e+00	1.145559e-06	5.448870e-08	5.448870e-08
4.896115e+00	5.347819e+00	1.027444e-06	4.937582e-08	4.937582e-08
5.347819e+00	5.841196e+00	1.071007e-06	4.823574e-08	4.823574e-08
5.841196e+00	6.380091e+00	1.020323e-06	4.504835e-08	4.504835e-08
6.380091e+00	6.968703e+00	1.050681e-06	4.374044e-08	4.374044e-08
6.968703e+00	7.611619e+00	1.050294e-06	4.184469e-08	4.184469e-08
7.611619e+00	8.313849e+00	1.089791e-06	4.078440e-08	4.078440e-08
8.313849e+00	9.080865e+00	1.018703e-06	3.772973e-08	3.772973e-08
9.080865e+00	9.918644e+00	1.011979e-06	3.598182e-08	3.598182e-08
9.918644e+00	1.083371e+01	1.010841e-06	3.440942e-08	3.440942e-08
1.083371e+01	1.183321e+01	9.715603e-07	3.227793e-08	3.227793e-08
1.183321e+01	1.292491e+01	1.012231e-06	3.152465e-08	3.152465e-08
1.292491e+01	1.411733e+01	1.022011e-06	3.030925e-08	3.030925e-08
1.411733e+01	1.541977e+01	9.784719e-07	2.837642e-08	2.837642e-08
1.541977e+01	1.684236e+01	1.000559e-06	2.745640e-08	2.745640e-08
1.684236e+01	1.839619e+01	9.988248e-07	2.624854e-08	2.624854e-08
1.839619e+01	2.009338e+01	1.036341e-06	2.558280e-08	2.558280e-08
2.009338e+01	2.194715e+01	9.829181e-07	2.383927e-08	2.383927e-08
2.194715e+01	2.397194e+01	9.586560e-07	2.252701e-08	2.252701e-08
2.397194e+01	2.618354e+01	9.198436e-07	2.111377e-08	2.111377e-08
2.618354e+01	2.859917e+01	9.508588e-07	2.054022e-08	2.054022e-08
2.859917e+01	3.123766e+01	8.742008e-07	1.884474e-08	1.884474e-08
3.123766e+01	3.411957e+01	9.156552e-07	1.845389e-08	1.845389e-08
3.411957e+01	3.726736e+01	8.917726e-07	1.742554e-08	1.742554e-08
3.726736e+01	4.070556e+01	8.379585e-07	1.616247e-08	1.616247e-08
4.070556e+01	4.446096e+01	8.111333e-07	1.521529e-08	1.521529e-08
4.446096e+01	4.856282e+01	7.734552e-07	1.421639e-08	1.421639e-08
4.856282e+01	5.304311e+01	7.112350e-07	1.304415e-08	1.304415e-08
