# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal angle difference of boson pair
XLabel=$\Delta\phi_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.10
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.247476e-05	4.378293e-07	4.378293e-07
1.256637e-01	2.513274e-01	2.294387e-05	4.423751e-07	4.423751e-07
2.513274e-01	3.769911e-01	2.362622e-05	4.489049e-07	4.489049e-07
3.769911e-01	5.026548e-01	2.312299e-05	4.440985e-07	4.440985e-07
5.026548e-01	6.283185e-01	2.310593e-05	4.439346e-07	4.439346e-07
6.283185e-01	7.539822e-01	2.408680e-05	4.532594e-07	4.532594e-07
7.539822e-01	8.796459e-01	2.467533e-05	4.587634e-07	4.587634e-07
8.796459e-01	1.005310e+00	2.617641e-05	4.725106e-07	4.725106e-07
1.005310e+00	1.130973e+00	2.631311e-05	4.737449e-07	4.737449e-07
1.130973e+00	1.256637e+00	2.782258e-05	4.871419e-07	4.871419e-07
1.256637e+00	1.382301e+00	2.732788e-05	4.827917e-07	4.827917e-07
1.382301e+00	1.507964e+00	2.905103e-05	4.977820e-07	4.977820e-07
1.507964e+00	1.633628e+00	3.088460e-05	5.132486e-07	5.132486e-07
1.633628e+00	1.759292e+00	3.329839e-05	5.329278e-07	5.329278e-07
1.759292e+00	1.884956e+00	3.568660e-05	5.517081e-07	5.517081e-07
1.884956e+00	2.010619e+00	3.853569e-05	5.733107e-07	5.733107e-07
2.010619e+00	2.136283e+00	3.921773e-05	5.783596e-07	5.783596e-07
2.136283e+00	2.261947e+00	4.399414e-05	6.125678e-07	6.125678e-07
2.261947e+00	2.387610e+00	4.739771e-05	6.358243e-07	6.358243e-07
2.387610e+00	2.513274e+00	5.116728e-05	6.606218e-07	6.606218e-07
2.513274e+00	2.638938e+00	5.647251e-05	6.940253e-07	6.940253e-07
2.638938e+00	2.764602e+00	5.909954e-05	7.099843e-07	7.099843e-07
2.764602e+00	2.890265e+00	6.406409e-05	7.392066e-07	7.392066e-07
2.890265e+00	3.015929e+00	6.962469e-05	7.706166e-07	7.706166e-07
3.015929e+00	3.141593e+00	7.287436e-05	7.883954e-07	7.883954e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.269672e-05	4.404848e-07	4.404848e-07
1.256637e-01	2.513274e-01	2.335497e-05	4.468266e-07	4.468266e-07
2.513274e-01	3.769911e-01	2.332933e-05	4.465812e-07	4.465812e-07
3.769911e-01	5.026548e-01	2.279931e-05	4.414792e-07	4.414792e-07
5.026548e-01	6.283185e-01	2.340627e-05	4.473170e-07	4.473170e-07
6.283185e-01	7.539822e-01	2.482535e-05	4.606775e-07	4.606775e-07
7.539822e-01	8.796459e-01	2.413290e-05	4.542073e-07	4.542073e-07
8.796459e-01	1.005310e+00	2.535528e-05	4.655678e-07	4.655678e-07
1.005310e+00	1.130973e+00	2.662926e-05	4.771227e-07	4.771227e-07
1.130973e+00	1.256637e+00	2.667179e-05	4.775017e-07	4.775017e-07
1.256637e+00	1.382301e+00	2.844991e-05	4.931616e-07	4.931616e-07
1.382301e+00	1.507964e+00	2.909129e-05	4.986916e-07	4.986916e-07
1.507964e+00	1.633628e+00	3.128807e-05	5.171758e-07	5.171758e-07
1.633628e+00	1.759292e+00	3.298070e-05	5.309807e-07	5.309807e-07
1.759292e+00	1.884956e+00	3.441687e-05	5.424185e-07	5.424185e-07
1.884956e+00	2.010619e+00	3.723822e-05	5.642155e-07	5.642155e-07
2.010619e+00	2.136283e+00	4.081981e-05	5.907236e-07	5.907236e-07
2.136283e+00	2.261947e+00	4.335877e-05	6.088177e-07	6.088177e-07
2.261947e+00	2.387610e+00	4.696666e-05	6.336441e-07	6.336441e-07
2.387610e+00	2.513274e+00	5.252292e-05	6.700747e-07	6.700747e-07
2.513274e+00	2.638938e+00	5.494219e-05	6.853332e-07	6.853332e-07
2.638938e+00	2.764602e+00	5.986621e-05	7.153848e-07	7.153848e-07
2.764602e+00	2.890265e+00	6.429492e-05	7.413766e-07	7.413766e-07
2.890265e+00	3.015929e+00	6.873116e-05	7.665238e-07	7.665238e-07
3.015929e+00	3.141593e+00	7.439892e-05	7.975026e-07	7.975026e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_dphi
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.136697e-05	2.234408e-07	2.234408e-07
1.256637e-01	2.513274e-01	1.156901e-05	2.254178e-07	2.254178e-07
2.513274e-01	3.769911e-01	1.136697e-05	2.234408e-07	2.234408e-07
3.769911e-01	5.026548e-01	1.173591e-05	2.270380e-07	2.270380e-07
5.026548e-01	6.283185e-01	1.176226e-05	2.272927e-07	2.272927e-07
6.283185e-01	7.539822e-01	1.192916e-05	2.288997e-07	2.288997e-07
7.539822e-01	8.796459e-01	1.255725e-05	2.348483e-07	2.348483e-07
8.796459e-01	1.005310e+00	1.291736e-05	2.381916e-07	2.381916e-07
1.005310e+00	1.130973e+00	1.267152e-05	2.359150e-07	2.359150e-07
1.130973e+00	1.256637e+00	1.355863e-05	2.440324e-07	2.440324e-07
1.256637e+00	1.382301e+00	1.421746e-05	2.498910e-07	2.498910e-07
1.382301e+00	1.507964e+00	1.477978e-05	2.547858e-07	2.547858e-07
1.507964e+00	1.633628e+00	1.534625e-05	2.596215e-07	2.596215e-07
1.633628e+00	1.759292e+00	1.695378e-05	2.728807e-07	2.728807e-07
1.759292e+00	1.884956e+00	1.807818e-05	2.817844e-07	2.817844e-07
1.884956e+00	2.010619e+00	1.949700e-05	2.926343e-07	2.926343e-07
2.010619e+00	2.136283e+00	2.037967e-05	2.991839e-07	2.991839e-07
2.136283e+00	2.261947e+00	2.233419e-05	3.132022e-07	3.132022e-07
2.261947e+00	2.387610e+00	2.340606e-05	3.206311e-07	3.206311e-07
2.387610e+00	2.513274e+00	2.576008e-05	3.363669e-07	3.363669e-07
2.513274e+00	2.638938e+00	2.815381e-05	3.516481e-07	3.516481e-07
2.638938e+00	2.764602e+00	3.089014e-05	3.683406e-07	3.683406e-07
2.764602e+00	2.890265e+00	3.236617e-05	3.770396e-07	3.770396e-07
2.890265e+00	3.015929e+00	3.573471e-05	3.961729e-07	3.961729e-07
3.015929e+00	3.141593e+00	3.720608e-05	4.042468e-07	4.042468e-07
# END HISTO1D

