# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of boson pair
XLabel=$\eta_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_eta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-7.000000e+00	-6.650000e+00	1.531180e-08	6.847646e-09	6.847646e-09
-6.650000e+00	-6.300000e+00	1.224944e-08	6.124721e-09	6.124721e-09
-6.300000e+00	-5.950000e+00	3.062360e-08	9.684033e-09	9.684033e-09
-5.950000e+00	-5.600000e+00	4.287306e-08	1.145830e-08	1.145830e-08
-5.600000e+00	-5.250000e+00	8.268374e-08	1.591249e-08	1.591249e-08
-5.250000e+00	-4.900000e+00	2.327394e-07	2.669704e-08	2.669704e-08
-4.900000e+00	-4.550000e+00	4.961023e-07	3.897748e-08	3.897748e-08
-4.550000e+00	-4.200000e+00	9.064586e-07	5.268685e-08	5.268685e-08
-4.200000e+00	-3.850000e+00	2.011971e-06	7.849446e-08	7.849446e-08
-3.850000e+00	-3.500000e+00	3.258351e-06	9.989117e-08	9.989117e-08
-3.500000e+00	-3.150000e+00	5.610246e-06	1.310747e-07	1.310747e-07
-3.150000e+00	-2.800000e+00	1.004148e-05	1.753586e-07	1.753586e-07
-2.800000e+00	-2.450000e+00	1.411136e-05	2.078799e-07	2.078799e-07
-2.450000e+00	-2.100000e+00	1.780456e-05	2.335037e-07	2.335037e-07
-2.100000e+00	-1.750000e+00	2.056681e-05	2.509641e-07	2.509641e-07
-1.750000e+00	-1.400000e+00	2.137834e-05	2.558675e-07	2.558675e-07
-1.400000e+00	-1.050000e+00	2.021464e-05	2.488062e-07	2.488062e-07
-1.050000e+00	-7.000000e-01	1.890701e-05	2.406244e-07	2.406244e-07
-7.000000e-01	-3.500000e-01	1.719515e-05	2.294728e-07	2.294728e-07
-3.500000e-01	0.000000e+00	1.632544e-05	2.235943e-07	2.235943e-07
0.000000e+00	3.500000e-01	1.657656e-05	2.253073e-07	2.253073e-07
