# BEGIN PLOT
Legend=1
LogY=1
Title=Invariant mass of boson pair
XLabel=$m_{\mathrm{ZZ}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{\mathrm{ZZ}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_m
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.548350e+02	2.216807e-10	2.216807e-10	2.216807e-10
1.548350e+02	1.598259e+02	4.295121e-10	3.037110e-10	3.037110e-10
1.598259e+02	1.649776e+02	2.912741e-09	7.784627e-10	7.784627e-10
1.649776e+02	1.702954e+02	9.876167e-09	1.410881e-09	1.410881e-09
1.702954e+02	1.757846e+02	2.128345e-08	2.038583e-09	2.038583e-09
1.757846e+02	1.814507e+02	5.542527e-08	3.237978e-09	3.237978e-09
1.814507e+02	1.872995e+02	1.812399e-07	5.763093e-09	5.763093e-09
1.872995e+02	1.933368e+02	3.309234e-07	7.664865e-09	7.664865e-09
1.933368e+02	1.995687e+02	4.287718e-07	8.587466e-09	8.587466e-09
1.995687e+02	2.060015e+02	4.612012e-07	8.766119e-09	8.766119e-09
2.060015e+02	2.126417e+02	4.764963e-07	8.770036e-09	8.770036e-09
2.126417e+02	2.194958e+02	4.755435e-07	8.623471e-09	8.623471e-09
2.194958e+02	2.265709e+02	4.761417e-07	8.493056e-09	8.493056e-09
2.265709e+02	2.338741e+02	4.644991e-07	8.256539e-09	8.256539e-09
2.338741e+02	2.414127e+02	4.819849e-07	8.278154e-09	8.278154e-09
2.414127e+02	2.491942e+02	4.440748e-07	7.820933e-09	7.820933e-09
2.491942e+02	2.572266e+02	4.362084e-07	7.629331e-09	7.629331e-09
2.572266e+02	2.655179e+02	4.214240e-07	7.380921e-09	7.380921e-09
2.655179e+02	2.740764e+02	3.954930e-07	7.037732e-09	7.037732e-09
2.740764e+02	2.829109e+02	3.803469e-07	6.792993e-09	6.792993e-09
2.829109e+02	2.920300e+02	3.673013e-07	6.570484e-09	6.570484e-09
2.920300e+02	3.014432e+02	3.399984e-07	6.222028e-09	6.222028e-09
3.014432e+02	3.111597e+02	3.285029e-07	6.019728e-09	6.019728e-09
3.111597e+02	3.211895e+02	3.092649e-07	5.748855e-09	5.748855e-09
3.211895e+02	3.315425e+02	2.927774e-07	5.505513e-09	5.505513e-09
3.315425e+02	3.422292e+02	2.770157e-07	5.270995e-09	5.270995e-09
3.422292e+02	3.532605e+02	2.674877e-07	5.098011e-09	5.098011e-09
3.532605e+02	3.646473e+02	2.427583e-07	4.780225e-09	4.780225e-09
3.646473e+02	3.764011e+02	2.254211e-07	4.533883e-09	4.533883e-09
3.764011e+02	3.885338e+02	2.132574e-07	4.340458e-09	4.340458e-09
3.885338e+02	4.010576e+02	2.012915e-07	4.150562e-09	4.150562e-09
4.010576e+02	4.139850e+02	1.898666e-07	3.967628e-09	3.967628e-09
