# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of boson pair
XLabel=$p_\perp^{\mathrm{ZZ}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{ZZ}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.092258e+00	2.323541e-08	1.642992e-08	1.642992e-08
1.092258e+00	1.193027e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.193027e+00	1.303093e+00	9.738030e-09	9.738030e-09	9.738030e-09
1.303093e+00	1.423313e+00	8.915538e-09	8.915538e-09	8.915538e-09
1.423313e+00	1.554624e+00	1.632500e-08	1.154352e-08	1.154352e-08
1.554624e+00	1.698050e+00	3.736513e-08	1.671019e-08	1.671019e-08
1.698050e+00	1.854708e+00	2.052547e-08	1.185038e-08	1.185038e-08
1.854708e+00	2.025819e+00	1.879177e-08	1.084943e-08	1.084943e-08
2.025819e+00	2.212717e+00	4.014373e-08	1.517290e-08	1.517290e-08
2.212717e+00	2.416857e+00	1.050089e-08	7.425253e-09	7.425253e-09
2.416857e+00	2.639830e+00	2.884186e-08	1.177464e-08	1.177464e-08
2.639830e+00	2.883375e+00	2.640562e-08	1.078005e-08	1.078005e-08
2.883375e+00	3.149388e+00	6.446760e-08	1.611690e-08	1.611690e-08
3.149388e+00	3.439943e+00	4.426670e-08	1.277870e-08	1.277870e-08
3.439943e+00	3.757304e+00	3.377308e-08	1.067999e-08	1.067999e-08
3.757304e+00	4.103944e+00	5.874885e-08	1.347791e-08	1.347791e-08
4.103944e+00	4.482564e+00	5.095576e-08	1.201039e-08	1.201039e-08
4.482564e+00	4.896115e+00	5.442702e-08	1.187695e-08	1.187695e-08
4.896115e+00	5.347819e+00	6.169412e-08	1.209921e-08	1.209921e-08
5.347819e+00	5.841196e+00	7.603500e-08	1.285226e-08	1.285226e-08
5.841196e+00	6.380091e+00	8.751306e-08	1.319309e-08	1.319309e-08
6.380091e+00	6.968703e+00	8.922598e-08	1.274657e-08	1.274657e-08
