# BEGIN PLOT
Legend=1
LogY=0
Title=Peak region of transverse momentum of boson pair
XLabel=$p_\perp^{\mathrm{ZZ}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{ZZ}}$ [pb/GeV]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_pT_peak
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	5.359131e-09	2.396676e-09	2.396676e-09
1.000000e+00	2.000000e+00	1.822104e-08	4.419252e-09	4.419252e-09
2.000000e+00	3.000000e+00	3.108296e-08	5.771961e-09	5.771961e-09
3.000000e+00	4.000000e+00	4.930400e-08	7.269479e-09	7.269479e-09
4.000000e+00	5.000000e+00	5.359131e-08	7.578956e-09	7.578956e-09
5.000000e+00	6.000000e+00	7.395601e-08	8.903257e-09	8.903257e-09
6.000000e+00	7.000000e+00	9.003340e-08	9.823449e-09	9.823449e-09
7.000000e+00	8.000000e+00	1.136136e-07	1.103513e-08	1.103513e-08
8.000000e+00	9.000000e+00	1.243318e-07	1.154392e-08	1.154392e-08
9.000000e+00	1.000000e+01	1.254037e-07	1.159357e-08	1.159357e-08
1.000000e+01	1.100000e+01	1.329064e-07	1.193535e-08	1.193535e-08
1.100000e+01	1.200000e+01	1.672049e-07	1.338711e-08	1.338711e-08
1.200000e+01	1.300000e+01	1.854259e-07	1.409767e-08	1.409767e-08
1.300000e+01	1.400000e+01	1.747077e-07	1.368416e-08	1.368416e-08
1.400000e+01	1.500000e+01	2.304426e-07	1.571606e-08	1.571606e-08
1.500000e+01	1.600000e+01	2.197244e-07	1.534621e-08	1.534621e-08
1.600000e+01	1.700000e+01	2.240117e-07	1.549521e-08	1.549521e-08
1.700000e+01	1.800000e+01	2.615256e-07	1.674246e-08	1.674246e-08
1.800000e+01	1.900000e+01	2.336581e-07	1.582532e-08	1.582532e-08
1.900000e+01	2.000000e+01	2.872494e-07	1.754655e-08	1.754655e-08
2.000000e+01	2.100000e+01	2.668847e-07	1.691313e-08	1.691313e-08
2.100000e+01	2.200000e+01	2.604538e-07	1.670812e-08	1.670812e-08
2.200000e+01	2.300000e+01	2.968958e-07	1.783874e-08	1.783874e-08
