# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal angle of boson pair
XLabel=$\phi_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi_{\mathrm{ZZ}}$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.883274e-05	2.833995e-07	2.833995e-07
2.513274e-01	5.026548e-01	1.891377e-05	2.840085e-07	2.840085e-07
5.026548e-01	7.539822e-01	1.919098e-05	2.860822e-07	2.860822e-07
7.539822e-01	1.005310e+00	1.876874e-05	2.829173e-07	2.829173e-07
1.005310e+00	1.256637e+00	1.891807e-05	2.840410e-07	2.840410e-07
1.256637e+00	1.507964e+00	1.884130e-05	2.834641e-07	2.834641e-07
1.507964e+00	1.759292e+00	1.858535e-05	2.815316e-07	2.815316e-07
1.759292e+00	2.010619e+00	1.918674e-05	2.860508e-07	2.860508e-07
2.010619e+00	2.261947e+00	1.908431e-05	2.852857e-07	2.852857e-07
2.261947e+00	2.513274e+00	1.903748e-05	2.849360e-07	2.849360e-07
2.513274e+00	2.764602e+00	1.931034e-05	2.869701e-07	2.869701e-07
2.764602e+00	3.015929e+00	1.884557e-05	2.834962e-07	2.834962e-07
3.015929e+00	3.267256e+00	1.948527e-05	2.882676e-07	2.882676e-07
3.267256e+00	3.518584e+00	1.902461e-05	2.848391e-07	2.848391e-07
3.518584e+00	3.769911e+00	1.856836e-05	2.814035e-07	2.814035e-07
3.769911e+00	4.021239e+00	1.852564e-05	2.810790e-07	2.810790e-07
4.021239e+00	4.272566e+00	1.862807e-05	2.818555e-07	2.818555e-07
4.272566e+00	4.523893e+00	1.877307e-05	2.829504e-07	2.829504e-07
4.523893e+00	4.775221e+00	1.850432e-05	2.809172e-07	2.809172e-07
4.775221e+00	5.026548e+00	1.897777e-05	2.844888e-07	2.844888e-07
5.026548e+00	5.277876e+00	1.835506e-05	2.797819e-07	2.797819e-07
5.277876e+00	5.529203e+00	1.887968e-05	2.837527e-07	2.837527e-07
5.529203e+00	5.780530e+00	1.876880e-05	2.829182e-07	2.829182e-07
5.780530e+00	6.031858e+00	1.924211e-05	2.864627e-07	2.864627e-07
6.031858e+00	6.283185e+00	1.827410e-05	2.791648e-07	2.791648e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.885837e-05	2.839138e-07	2.839138e-07
2.513274e-01	5.026548e-01	1.849933e-05	2.811980e-07	2.811980e-07
5.026548e-01	7.539822e-01	1.889257e-05	2.841710e-07	2.841710e-07
7.539822e-01	1.005310e+00	1.873011e-05	2.829464e-07	2.829464e-07
1.005310e+00	1.256637e+00	1.865323e-05	2.823656e-07	2.823656e-07
1.256637e+00	1.507964e+00	1.840959e-05	2.805155e-07	2.805155e-07
1.507964e+00	1.759292e+00	1.870018e-05	2.827201e-07	2.827201e-07
1.759292e+00	2.010619e+00	1.887122e-05	2.840107e-07	2.840107e-07
2.010619e+00	2.261947e+00	1.856767e-05	2.817167e-07	2.817167e-07
2.261947e+00	2.513274e+00	1.893961e-05	2.845249e-07	2.845249e-07
2.513274e+00	2.764602e+00	1.877712e-05	2.833011e-07	2.833011e-07
2.764602e+00	3.015929e+00	1.915333e-05	2.861257e-07	2.861257e-07
3.015929e+00	3.267256e+00	1.853783e-05	2.814907e-07	2.814907e-07
3.267256e+00	3.518584e+00	1.858477e-05	2.818464e-07	2.818464e-07
3.518584e+00	3.769911e+00	1.890114e-05	2.842358e-07	2.842358e-07
3.769911e+00	4.021239e+00	1.944391e-05	2.882874e-07	2.882874e-07
4.021239e+00	4.272566e+00	1.898236e-05	2.848458e-07	2.848458e-07
4.272566e+00	4.523893e+00	1.885840e-05	2.839142e-07	2.839142e-07
4.523893e+00	4.775221e+00	1.890534e-05	2.842668e-07	2.842668e-07
4.775221e+00	5.026548e+00	1.923027e-05	2.866998e-07	2.866998e-07
5.026548e+00	5.277876e+00	1.868735e-05	2.826231e-07	2.826231e-07
5.277876e+00	5.529203e+00	1.876009e-05	2.831732e-07	2.831732e-07
5.529203e+00	5.780530e+00	1.889687e-05	2.842036e-07	2.842036e-07
5.780530e+00	6.031858e+00	1.908914e-05	2.856452e-07	2.856452e-07
6.031858e+00	6.283185e+00	1.935422e-05	2.876223e-07	2.876223e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZZ_phi
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	9.625465e-06	1.453905e-07	1.453905e-07
2.513274e-01	5.026548e-01	9.651821e-06	1.455894e-07	1.455894e-07
5.026548e-01	7.539822e-01	9.410247e-06	1.437559e-07	1.437559e-07
7.539822e-01	1.005310e+00	9.632038e-06	1.454400e-07	1.454400e-07
1.005310e+00	1.256637e+00	9.579365e-06	1.450420e-07	1.450420e-07
1.256637e+00	1.507964e+00	9.662814e-06	1.456724e-07	1.456724e-07
1.507964e+00	1.759292e+00	9.541993e-06	1.447585e-07	1.447585e-07
1.759292e+00	2.010619e+00	9.405874e-06	1.437226e-07	1.437226e-07
2.010619e+00	2.261947e+00	9.526619e-06	1.446419e-07	1.446419e-07
2.261947e+00	2.513274e+00	9.473952e-06	1.442418e-07	1.442418e-07
2.513274e+00	2.764602e+00	9.537600e-06	1.447252e-07	1.447252e-07
2.764602e+00	3.015929e+00	9.392696e-06	1.436219e-07	1.436219e-07
3.015929e+00	3.267256e+00	9.399285e-06	1.436722e-07	1.436722e-07
