# BEGIN PLOT
Legend=1
LogY=1
Title=Z pseudorapidity
XLabel=$\eta_{\mathrm{Z}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{Z}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_eta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-7.000000e+00	-6.800000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-6.800000e+00	-6.600000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-6.600000e+00	-6.400000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-6.400000e+00	-6.200000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-6.200000e+00	-6.000000e+00	5.359130e-09	5.359130e-09	5.359130e-09
-6.000000e+00	-5.800000e+00	2.679565e-08	1.198338e-08	1.198338e-08
-5.800000e+00	-5.600000e+00	9.646435e-08	2.273686e-08	2.273686e-08
-5.600000e+00	-5.400000e+00	8.038695e-08	2.075582e-08	2.075582e-08
-5.400000e+00	-5.200000e+00	1.339782e-07	2.679565e-08	2.679565e-08
-5.200000e+00	-5.000000e+00	2.090061e-07	3.346776e-08	3.346776e-08
-5.000000e+00	-4.800000e+00	3.483435e-07	4.320670e-08	4.320670e-08
-4.800000e+00	-4.600000e+00	4.716035e-07	5.027310e-08	5.027310e-08
-4.600000e+00	-4.400000e+00	5.734270e-07	5.543528e-08	5.543528e-08
-4.400000e+00	-4.200000e+00	9.860800e-07	7.269479e-08	7.269479e-08
-4.200000e+00	-4.000000e+00	1.350501e-06	8.507357e-08	8.507357e-08
-4.000000e+00	-3.800000e+00	2.207962e-06	1.087785e-07	1.087785e-07
-3.800000e+00	-3.600000e+00	3.252993e-06	1.320349e-07	1.320349e-07
-3.600000e+00	-3.400000e+00	4.812499e-06	1.605952e-07	1.605952e-07
-3.400000e+00	-3.200000e+00	6.993665e-06	1.935975e-07	1.935975e-07
-3.200000e+00	-3.000000e+00	9.801850e-06	2.291929e-07	2.291929e-07
