# BEGIN PLOT
Legend=1
LogY=1
Title=Z $p_\perp$
XLabel=$p_\perp^{\mathrm{Z}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{Z}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.060022e+01	5.375024e-07	3.098112e-08	3.098112e-08
1.060022e+01	1.123646e+01	5.660342e-07	3.087970e-08	3.087970e-08
1.123646e+01	1.191089e+01	6.356931e-07	3.178465e-08	3.178465e-08
1.191089e+01	1.262581e+01	7.346204e-07	3.318677e-08	3.318677e-08
1.262581e+01	1.338363e+01	7.199064e-07	3.190929e-08	3.190929e-08
1.338363e+01	1.418694e+01	7.205015e-07	3.100545e-08	3.100545e-08
1.418694e+01	1.503847e+01	7.967611e-07	3.166841e-08	3.166841e-08
1.503847e+01	1.594110e+01	8.466505e-07	3.170731e-08	3.170731e-08
1.594110e+01	1.689791e+01	8.457570e-07	3.078025e-08	3.078025e-08
1.689791e+01	1.791216e+01	9.130469e-07	3.106249e-08	3.106249e-08
1.791216e+01	1.898728e+01	9.221661e-07	3.032063e-08	3.032063e-08
1.898728e+01	2.012693e+01	9.790471e-07	3.034438e-08	3.034438e-08
2.012693e+01	2.133498e+01	1.061135e-06	3.068351e-08	3.068351e-08
2.133498e+01	2.261554e+01	1.098979e-06	3.032891e-08	3.032891e-08
2.261554e+01	2.397297e+01	1.106229e-06	2.955466e-08	2.955466e-08
2.397297e+01	2.541187e+01	1.217900e-06	3.011984e-08	3.011984e-08
2.541187e+01	2.693714e+01	1.212882e-06	2.919429e-08	2.919429e-08
2.693714e+01	2.855395e+01	1.296021e-06	2.931155e-08	2.931155e-08
2.855395e+01	3.026781e+01	1.308310e-06	2.860420e-08	2.860420e-08
3.026781e+01	3.208454e+01	1.363433e-06	2.836181e-08	2.836181e-08
3.208454e+01	3.401031e+01	1.349682e-06	2.740791e-08	2.740791e-08
3.401031e+01	3.605167e+01	1.411873e-06	2.722702e-08	2.722702e-08
3.605167e+01	3.821555e+01	1.437931e-06	2.668792e-08	2.668792e-08
3.821555e+01	4.050932e+01	1.457905e-06	2.610068e-08	2.610068e-08
4.050932e+01	4.294076e+01	1.479831e-06	2.554092e-08	2.554092e-08
4.294076e+01	4.551814e+01	1.482121e-06	2.482646e-08	2.482646e-08
4.551814e+01	4.825022e+01	1.483722e-06	2.412635e-08	2.412635e-08
4.825022e+01	5.114629e+01	1.482608e-06	2.342452e-08	2.342452e-08
5.114629e+01	5.421618e+01	1.509339e-06	2.295589e-08	2.295589e-08
5.421618e+01	5.747033e+01	1.435074e-06	2.174105e-08	2.174105e-08
5.747033e+01	6.091980e+01	1.392967e-06	2.080446e-08	2.080446e-08
6.091980e+01	6.457631e+01	1.308524e-06	1.958482e-08	1.958482e-08
6.457631e+01	6.845230e+01	1.304114e-06	1.899016e-08	1.899016e-08
6.845230e+01	7.256093e+01	1.241489e-06	1.799638e-08	1.799638e-08
7.256093e+01	7.691616e+01	1.204418e-06	1.721652e-08	1.721652e-08
7.691616e+01	8.153281e+01	1.183115e-06	1.657342e-08	1.657342e-08
8.153281e+01	8.642655e+01	1.171975e-06	1.602142e-08	1.602142e-08
8.642655e+01	9.161403e+01	1.112844e-06	1.516356e-08	1.516356e-08
9.161403e+01	9.711287e+01	1.081019e-06	1.451587e-08	1.451587e-08
9.711287e+01	1.029418e+02	1.027708e-06	1.374683e-08	1.374683e-08
1.029418e+02	1.091205e+02	9.981530e-07	1.315868e-08	1.315868e-08
1.091205e+02	1.156701e+02	9.370461e-07	1.238327e-08	1.238327e-08
1.156701e+02	1.226128e+02	8.997368e-07	1.178571e-08	1.178571e-08
1.226128e+02	1.299723e+02	8.604320e-07	1.119428e-08	1.119428e-08
1.299723e+02	1.377734e+02	8.021075e-07	1.049786e-08	1.049786e-08
1.377734e+02	1.460429e+02	7.408620e-07	9.799214e-09	9.799214e-09
1.460429e+02	1.548086e+02	7.052823e-07	9.286464e-09	9.286464e-09
1.548086e+02	1.641005e+02	6.673031e-07	8.773473e-09	8.773473e-09
1.641005e+02	1.739501e+02	6.072115e-07	8.128733e-09	8.128733e-09
1.739501e+02	1.843909e+02	5.588673e-07	7.574424e-09	7.574424e-09
1.843909e+02	1.954584e+02	4.966185e-07	6.935038e-09	6.935038e-09
1.954584e+02	2.071901e+02	4.432862e-07	6.363907e-09	6.363907e-09
2.071901e+02	2.196260e+02	4.049977e-07	5.908127e-09	5.908127e-09
2.196260e+02	2.328084e+02	3.638504e-07	5.439092e-09	5.439092e-09
2.328084e+02	2.467820e+02	3.114168e-07	4.887413e-09	4.887413e-09
2.467820e+02	2.615942e+02	2.765639e-07	4.473528e-09	4.473528e-09
2.615942e+02	2.772956e+02	2.443136e-07	4.083822e-09	4.083822e-09
2.772956e+02	2.939394e+02	2.082629e-07	3.662199e-09	3.662199e-09
2.939394e+02	3.115821e+02	1.790356e-07	3.297990e-09	3.297990e-09
3.115821e+02	3.302839e+02	1.478061e-07	2.910493e-09	2.910493e-09
3.302839e+02	3.501081e+02	1.252722e-07	2.602506e-09	2.602506e-09
3.501081e+02	3.711222e+02	1.060906e-07	2.326190e-09	2.326190e-09
3.711222e+02	3.933976e+02	8.829476e-08	2.061185e-09	2.061185e-09
3.933976e+02	4.170100e+02	7.267343e-08	1.816268e-09	1.816268e-09
4.170100e+02	4.420397e+02	6.243475e-08	1.635112e-09	1.635112e-09
4.420397e+02	4.685717e+02	4.673990e-08	1.374109e-09	1.374109e-09
4.685717e+02	4.966962e+02	3.879603e-08	1.215944e-09	1.215944e-09
4.966962e+02	5.265088e+02	3.228500e-08	1.077365e-09	1.077365e-09
5.265088e+02	5.581108e+02	2.557297e-08	9.313126e-10	9.313126e-10
5.581108e+02	5.916096e+02	1.922957e-08	7.843905e-10	7.843905e-10
5.916096e+02	6.271191e+02	1.370363e-08	6.431432e-10	6.431432e-10
6.271191e+02	6.647599e+02	1.150395e-08	5.723428e-10	5.723428e-10
6.647599e+02	7.046600e+02	8.381177e-09	4.744906e-10	4.744906e-10
7.046600e+02	7.469549e+02	6.664877e-09	4.109739e-10	4.109739e-10
7.469549e+02	7.917885e+02	3.944615e-09	3.070879e-10	3.070879e-10
7.917885e+02	8.393131e+02	3.179985e-09	2.678030e-10	2.678030e-10
8.393131e+02	8.896901e+02	2.340372e-09	2.231456e-10	2.231456e-10
8.896901e+02	9.430909e+02	1.726136e-09	1.861341e-10	1.861341e-10
9.430909e+02	9.996969e+02	1.060352e-09	1.416955e-10	1.416955e-10
9.996969e+02	1.059700e+03	6.609254e-10	1.086555e-10	1.086555e-10
1.059700e+03	1.123306e+03	6.066368e-10	1.011061e-10	1.011061e-10
1.123306e+03	1.190728e+03	3.497401e-10	7.456484e-11	7.456484e-11
1.190728e+03	1.262198e+03	3.599249e-10	7.346935e-11	7.346935e-11
1.262198e+03	1.337957e+03	1.697740e-10	4.900956e-11	4.900956e-11
1.337957e+03	1.418264e+03	1.067729e-10	3.774991e-11	3.774991e-11
1.418264e+03	1.503391e+03	8.813635e-11	3.331241e-11	3.331241e-11
1.503391e+03	1.593627e+03	3.563410e-11	2.057336e-11	2.057336e-11
1.593627e+03	1.689279e+03	2.241095e-11	1.584694e-11	1.584694e-11
1.689279e+03	1.790673e+03	1.057090e-11	1.057090e-11	1.057090e-11
1.790673e+03	1.898152e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.898152e+03	2.012083e+03	9.407677e-12	9.407677e-12	9.407677e-12
2.012083e+03	2.132851e+03	8.875083e-12	8.875083e-12	8.875083e-12
2.132851e+03	2.260869e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.260869e+03	2.396570e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.396570e+03	2.540417e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.540417e+03	2.692897e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.692897e+03	2.854530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.854530e+03	3.025864e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.025864e+03	3.207481e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.207481e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Z_pT
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.060022e+01	5.476707e-07	3.130825e-08	3.130825e-08
1.060022e+01	1.123646e+01	6.247256e-07	3.247793e-08	3.247793e-08
1.123646e+01	1.191089e+01	6.721777e-07	3.272110e-08	3.272110e-08
1.191089e+01	1.262581e+01	6.656636e-07	3.162663e-08	3.162663e-08
1.262581e+01	1.338363e+01	6.861007e-07	3.118639e-08	3.118639e-08
1.338363e+01	1.418694e+01	7.194616e-07	3.101819e-08	3.101819e-08
1.418694e+01	1.503847e+01	8.301077e-07	3.236097e-08	3.236097e-08
1.503847e+01	1.594110e+01	8.319092e-07	3.146570e-08	3.146570e-08
1.594110e+01	1.689791e+01	8.858492e-07	3.153707e-08	3.153707e-08
1.689791e+01	1.791216e+01	8.642784e-07	3.025580e-08	3.025580e-08
1.791216e+01	1.898728e+01	8.752975e-07	2.957356e-08	2.957356e-08
1.898728e+01	2.012693e+01	9.727846e-07	3.028147e-08	3.028147e-08
2.012693e+01	2.133498e+01	1.051093e-06	3.057260e-08	3.057260e-08
2.133498e+01	2.261554e+01	1.103988e-06	3.043242e-08	3.043242e-08
2.261554e+01	2.397297e+01	1.154639e-06	3.022865e-08	3.022865e-08
2.397297e+01	2.541187e+01	1.207971e-06	3.003082e-08	3.003082e-08
2.541187e+01	2.693714e+01	1.257891e-06	2.976477e-08	2.976477e-08
2.693714e+01	2.855395e+01	1.243149e-06	2.873998e-08	2.873998e-08
2.855395e+01	3.026781e+01	1.280565e-06	2.833136e-08	2.833136e-08
