# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity difference between oppositely charged leptons
XLabel=$\Delta\eta_{e^+,\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.019347e-07	3.281784e-08	3.281784e-08
-4.600000e+00	-4.200000e+00	7.904718e-07	4.602304e-08	4.602304e-08
-4.200000e+00	-3.800000e+00	1.511275e-06	6.363615e-08	6.363615e-08
-3.800000e+00	-3.400000e+00	2.607218e-06	8.358353e-08	8.358353e-08
-3.400000e+00	-3.000000e+00	4.118493e-06	1.050513e-07	1.050513e-07
-3.000000e+00	-2.600000e+00	6.543500e-06	1.324150e-07	1.324150e-07
-2.600000e+00	-2.200000e+00	9.892955e-06	1.628153e-07	1.628153e-07
-2.200000e+00	-1.800000e+00	1.387479e-05	1.928170e-07	1.928170e-07
-1.800000e+00	-1.400000e+00	1.769585e-05	2.177549e-07	2.177549e-07
-1.400000e+00	-1.000000e+00	2.217608e-05	2.437668e-07	2.437668e-07
-1.000000e+00	-6.000000e-01	2.546390e-05	2.612129e-07	2.612129e-07
-6.000000e-01	-2.000000e-01	2.793448e-05	2.735914e-07	2.735914e-07
-2.000000e-01	2.000000e-01	2.971638e-05	2.821826e-07	2.821826e-07
2.000000e-01	6.000000e-01	2.816490e-05	2.747176e-07	2.747176e-07
6.000000e-01	1.000000e+00	2.612040e-05	2.645587e-07	2.645587e-07
1.000000e+00	1.400000e+00	2.214393e-05	2.435900e-07	2.435900e-07
1.400000e+00	1.800000e+00	1.744933e-05	2.162328e-07	2.162328e-07
1.800000e+00	2.200000e+00	1.350233e-05	1.902114e-07	1.902114e-07
2.200000e+00	2.600000e+00	9.638398e-06	1.607069e-07	1.607069e-07
2.600000e+00	3.000000e+00	6.653360e-06	1.335220e-07	1.335220e-07
3.000000e+00	3.400000e+00	4.257830e-06	1.068135e-07	1.068135e-07
3.400000e+00	3.800000e+00	2.658130e-06	8.439568e-08	8.439568e-08
3.800000e+00	4.200000e+00	1.495197e-06	6.329676e-08	6.329676e-08
4.200000e+00	4.600000e+00	7.663558e-07	4.531556e-08	4.531556e-08
4.600000e+00	5.000000e+00	3.161887e-07	2.910753e-08	2.910753e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_deta
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.598762e-07	3.108858e-08	3.108858e-08
-4.600000e+00	-4.200000e+00	7.922653e-07	4.612746e-08	4.612746e-08
-4.200000e+00	-3.800000e+00	1.549617e-06	6.451139e-08	6.451139e-08
-3.800000e+00	-3.400000e+00	2.591648e-06	8.342808e-08	8.342808e-08
-3.400000e+00	-3.000000e+00	4.348058e-06	1.080617e-07	1.080617e-07
-3.000000e+00	-2.600000e+00	6.456290e-06	1.316788e-07	1.316788e-07
-2.600000e+00	-2.200000e+00	9.829460e-06	1.624759e-07	1.624759e-07
-2.200000e+00	-1.800000e+00	1.340136e-05	1.897137e-07	1.897137e-07
-1.800000e+00	-1.400000e+00	1.784611e-05	2.189253e-07	2.189253e-07
-1.400000e+00	-1.000000e+00	2.228279e-05	2.446296e-07	2.446296e-07
-1.000000e+00	-6.000000e-01	2.543842e-05	2.613782e-07	2.613782e-07
-6.000000e-01	-2.000000e-01	2.871760e-05	2.777143e-07	2.777143e-07
-2.000000e-01	2.000000e-01	2.921982e-05	2.801321e-07	2.801321e-07
