# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal angle difference between oppositely charged leptons
XLabel=$\Delta\phi_{e^+,\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.715737e-05	4.812836e-07	4.812836e-07
1.256637e-01	2.513274e-01	2.713177e-05	4.810568e-07	4.810568e-07
2.513274e-01	3.769911e-01	2.788236e-05	4.876654e-07	4.876654e-07
3.769911e-01	5.026548e-01	2.787383e-05	4.875908e-07	4.875908e-07
5.026548e-01	6.283185e-01	2.851352e-05	4.931541e-07	4.931541e-07
6.283185e-01	7.539822e-01	2.887176e-05	4.962424e-07	4.962424e-07
7.539822e-01	8.796459e-01	2.855617e-05	4.935228e-07	4.935228e-07
8.796459e-01	1.005310e+00	3.003165e-05	5.061114e-07	5.061114e-07
1.005310e+00	1.130973e+00	3.084220e-05	5.128982e-07	5.128982e-07
1.130973e+00	1.256637e+00	3.130254e-05	5.167096e-07	5.167096e-07
1.256637e+00	1.382301e+00	3.276958e-05	5.286791e-07	5.286791e-07
1.382301e+00	1.507964e+00	3.397248e-05	5.382972e-07	5.382972e-07
1.507964e+00	1.633628e+00	3.575483e-05	5.522352e-07	5.522352e-07
1.633628e+00	1.759292e+00	3.684658e-05	5.606029e-07	5.606029e-07
1.759292e+00	1.884956e+00	3.703423e-05	5.620286e-07	5.620286e-07
1.884956e+00	2.010619e+00	3.954216e-05	5.807492e-07	5.807492e-07
2.010619e+00	2.136283e+00	4.082124e-05	5.900650e-07	5.900650e-07
2.136283e+00	2.261947e+00	4.235651e-05	6.010586e-07	6.010586e-07
2.261947e+00	2.387610e+00	4.634007e-05	6.286903e-07	6.286903e-07
2.387610e+00	2.513274e+00	4.772997e-05	6.380465e-07	6.380465e-07
2.513274e+00	2.638938e+00	4.767879e-05	6.377043e-07	6.377043e-07
2.638938e+00	2.764602e+00	5.112463e-05	6.603464e-07	6.603464e-07
2.764602e+00	2.890265e+00	5.269444e-05	6.704106e-07	6.704106e-07
2.890265e+00	3.015929e+00	5.484341e-05	6.839415e-07	6.839415e-07
3.015929e+00	3.141593e+00	5.537223e-05	6.872310e-07	6.872310e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.743269e-05	4.842655e-07	4.842655e-07
1.256637e-01	2.513274e-01	2.688558e-05	4.794121e-07	4.794121e-07
2.513274e-01	3.769911e-01	2.739849e-05	4.839636e-07	4.839636e-07
3.769911e-01	5.026548e-01	2.849272e-05	4.935331e-07	4.935331e-07
5.026548e-01	6.283185e-01	2.727882e-05	4.829054e-07	4.829054e-07
6.283185e-01	7.539822e-01	2.873209e-05	4.956018e-07	4.956018e-07
7.539822e-01	8.796459e-01	2.892870e-05	4.972947e-07	4.972947e-07
8.796459e-01	1.005310e+00	2.945863e-05	5.018281e-07	5.018281e-07
1.005310e+00	1.130973e+00	3.136525e-05	5.178154e-07	5.178154e-07
1.130973e+00	1.256637e+00	3.263020e-05	5.281518e-07	5.281518e-07
1.256637e+00	1.382301e+00	3.263020e-05	5.281518e-07	5.281518e-07
1.382301e+00	1.507964e+00	3.360502e-05	5.359850e-07	5.359850e-07
1.507964e+00	1.633628e+00	3.638306e-05	5.576972e-07	5.576972e-07
1.633628e+00	1.759292e+00	3.664807e-05	5.597246e-07	5.597246e-07
1.759292e+00	1.884956e+00	3.802441e-05	5.701381e-07	5.701381e-07
1.884956e+00	2.010619e+00	3.913604e-05	5.784143e-07	5.784143e-07
2.010619e+00	2.136283e+00	4.101643e-05	5.921446e-07	5.921446e-07
2.136283e+00	2.261947e+00	4.232437e-05	6.015117e-07	6.015117e-07
2.261947e+00	2.387610e+00	4.591518e-05	6.265109e-07	6.265109e-07
2.387610e+00	2.513274e+00	4.724840e-05	6.355392e-07	6.355392e-07
2.513274e+00	2.638938e+00	4.851360e-05	6.439921e-07	6.439921e-07
2.638938e+00	2.764602e+00	5.069351e-05	6.583017e-07	6.583017e-07
2.764602e+00	2.890265e+00	5.379709e-05	6.781566e-07	6.781566e-07
2.890265e+00	3.015929e+00	5.377957e-05	6.780434e-07	6.780434e-07
3.015929e+00	3.141593e+00	5.424975e-05	6.810009e-07	6.810009e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_dphi
ScaledBy=5.51937791219804204e-10
