# BEGIN PLOT
Legend=1
LogY=1
Title=Invariant mass of oppositely charged leptons
XLabel=$m_{e^+,\mu^-}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m$ [pb/GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/ZeZm_m
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	1.214736e-08	2.083256e-09	2.083256e-09
3.000000e+00	6.000000e+00	3.822847e-08	3.695685e-09	3.695685e-09
6.000000e+00	9.000000e+00	6.609593e-08	4.859471e-09	4.859471e-09
9.000000e+00	1.200000e+01	8.038697e-08	5.359131e-09	5.359131e-09
1.200000e+01	1.500000e+01	1.107554e-07	6.290482e-09	6.290482e-09
1.500000e+01	1.800000e+01	1.311201e-07	6.844412e-09	6.844412e-09
1.800000e+01	2.100000e+01	1.439820e-07	7.172254e-09	7.172254e-09
2.100000e+01	2.400000e+01	1.714922e-07	7.827511e-09	7.827511e-09
2.400000e+01	2.700000e+01	1.986451e-07	8.424429e-09	8.424429e-09
2.700000e+01	3.000000e+01	2.140080e-07	8.744128e-09	8.744128e-09
3.000000e+01	3.300000e+01	2.565237e-07	9.573380e-09	9.573380e-09
3.300000e+01	3.600000e+01	2.704575e-07	9.829944e-09	9.829944e-09
3.600000e+01	3.900000e+01	2.954667e-07	1.027439e-08	1.027439e-08
3.900000e+01	4.200000e+01	3.001113e-07	1.035482e-08	1.035482e-08
4.200000e+01	4.500000e+01	3.494153e-07	1.117307e-08	1.117307e-08
4.500000e+01	4.800000e+01	3.554890e-07	1.126976e-08	1.126976e-08
4.800000e+01	5.100000e+01	3.783547e-07	1.162655e-08	1.162655e-08
5.100000e+01	5.400000e+01	4.044357e-07	1.202060e-08	1.202060e-08
5.400000e+01	5.700000e+01	4.512387e-07	1.269711e-08	1.269711e-08
5.700000e+01	6.000000e+01	4.612427e-07	1.283708e-08	1.283708e-08
6.000000e+01	6.300000e+01	5.166203e-07	1.358586e-08	1.358586e-08
6.300000e+01	6.600000e+01	5.162630e-07	1.358116e-08	1.358116e-08
6.600000e+01	6.900000e+01	5.416293e-07	1.391082e-08	1.391082e-08
6.900000e+01	7.200000e+01	5.805727e-07	1.440223e-08	1.440223e-08
7.200000e+01	7.500000e+01	5.884327e-07	1.449939e-08	1.449939e-08
7.500000e+01	7.800000e+01	6.041527e-07	1.469180e-08	1.469180e-08
7.800000e+01	8.100000e+01	6.102263e-07	1.476546e-08	1.476546e-08
8.100000e+01	8.400000e+01	6.352357e-07	1.506500e-08	1.506500e-08
8.400000e+01	8.700000e+01	6.498840e-07	1.523770e-08	1.523770e-08
8.700000e+01	9.000000e+01	6.484550e-07	1.522094e-08	1.522094e-08
9.000000e+01	9.300000e+01	6.791807e-07	1.557737e-08	1.557737e-08
9.300000e+01	9.600000e+01	6.102263e-07	1.476546e-08	1.476546e-08
9.600000e+01	9.900000e+01	6.491693e-07	1.522932e-08	1.522932e-08
9.900000e+01	1.020000e+02	6.370220e-07	1.508616e-08	1.508616e-08
1.020000e+02	1.050000e+02	6.227310e-07	1.491598e-08	1.491598e-08
1.050000e+02	1.080000e+02	6.213020e-07	1.489886e-08	1.489886e-08
1.080000e+02	1.110000e+02	5.955780e-07	1.458717e-08	1.458717e-08
1.110000e+02	1.140000e+02	6.062963e-07	1.471784e-08	1.471784e-08
1.140000e+02	1.170000e+02	6.095117e-07	1.475681e-08	1.475681e-08
1.170000e+02	1.200000e+02	5.848597e-07	1.445531e-08	1.445531e-08
1.200000e+02	1.230000e+02	5.737843e-07	1.431779e-08	1.431779e-08
1.230000e+02	1.260000e+02	5.616370e-07	1.416542e-08	1.416542e-08
1.260000e+02	1.290000e+02	5.637807e-07	1.419242e-08	1.419242e-08
1.290000e+02	1.320000e+02	5.366277e-07	1.384644e-08	1.384644e-08
1.320000e+02	1.350000e+02	5.155483e-07	1.357176e-08	1.357176e-08
1.350000e+02	1.380000e+02	5.098320e-07	1.349631e-08	1.349631e-08
1.380000e+02	1.410000e+02	4.983993e-07	1.334413e-08	1.334413e-08
1.410000e+02	1.440000e+02	4.601707e-07	1.282216e-08	1.282216e-08
1.440000e+02	1.470000e+02	4.780343e-07	1.306866e-08	1.306866e-08
1.470000e+02	1.500000e+02	4.487380e-07	1.266187e-08	1.266187e-08
1.500000e+02	1.530000e+02	4.376623e-07	1.250464e-08	1.250464e-08
1.530000e+02	1.560000e+02	4.280160e-07	1.236606e-08	1.236606e-08
1.560000e+02	1.590000e+02	4.094377e-07	1.209471e-08	1.209471e-08
1.590000e+02	1.620000e+02	4.172977e-07	1.221025e-08	1.221025e-08
1.620000e+02	1.650000e+02	3.862147e-07	1.174670e-08	1.174670e-08
1.650000e+02	1.680000e+02	3.804983e-07	1.165945e-08	1.165945e-08
1.680000e+02	1.710000e+02	3.862147e-07	1.174670e-08	1.174670e-08
1.710000e+02	1.740000e+02	3.533453e-07	1.123573e-08	1.123573e-08
1.740000e+02	1.770000e+02	3.454853e-07	1.111006e-08	1.111006e-08
1.770000e+02	1.800000e+02	3.401263e-07	1.102355e-08	1.102355e-08
1.800000e+02	1.830000e+02	3.261924e-07	1.079540e-08	1.079540e-08
1.830000e+02	1.860000e+02	3.204760e-07	1.070038e-08	1.070038e-08
1.860000e+02	1.890000e+02	3.036841e-07	1.041628e-08	1.041628e-08
1.890000e+02	1.920000e+02	3.051132e-07	1.044076e-08	1.044076e-08
1.920000e+02	1.950000e+02	3.001113e-07	1.035482e-08	1.035482e-08
1.950000e+02	1.980000e+02	2.922513e-07	1.021833e-08	1.021833e-08
1.980000e+02	2.010000e+02	2.904649e-07	1.018705e-08	1.018705e-08
2.010000e+02	2.040000e+02	2.668847e-07	9.764801e-09	9.764801e-09
2.040000e+02	2.070000e+02	2.726011e-07	9.868824e-09	9.868824e-09
2.070000e+02	2.100000e+02	2.675993e-07	9.777864e-09	9.777864e-09
2.100000e+02	2.130000e+02	2.640265e-07	9.712372e-09	9.712372e-09
2.130000e+02	2.160000e+02	2.386600e-07	9.234031e-09	9.234031e-09
2.160000e+02	2.190000e+02	2.375881e-07	9.213272e-09	9.213272e-09
2.190000e+02	2.220000e+02	2.247262e-07	8.960421e-09	8.960421e-09
2.220000e+02	2.250000e+02	2.154371e-07	8.773275e-09	8.773275e-09
2.250000e+02	2.280000e+02	2.104352e-07	8.670832e-09	8.670832e-09
2.280000e+02	2.310000e+02	2.154371e-07	8.773275e-09	8.773275e-09
2.310000e+02	2.340000e+02	2.100779e-07	8.663468e-09	8.663468e-09
2.340000e+02	2.370000e+02	2.022179e-07	8.499851e-09	8.499851e-09
2.370000e+02	2.400000e+02	1.897132e-07	8.232853e-09	8.232853e-09
2.400000e+02	2.430000e+02	1.950724e-07	8.348327e-09	8.348327e-09
2.430000e+02	2.460000e+02	1.836396e-07	8.099993e-09	8.099993e-09
2.460000e+02	2.490000e+02	1.693485e-07	7.778436e-09	7.778436e-09
2.490000e+02	2.520000e+02	1.843541e-07	8.115737e-09	8.115737e-09
2.520000e+02	2.550000e+02	1.768513e-07	7.948876e-09	7.948876e-09
2.550000e+02	2.580000e+02	1.732786e-07	7.868174e-09	7.868174e-09
2.580000e+02	2.610000e+02	1.686340e-07	7.762009e-09	7.762009e-09
2.610000e+02	2.640000e+02	1.593448e-07	7.545196e-09	7.545196e-09
2.640000e+02	2.670000e+02	1.650612e-07	7.679343e-09	7.679343e-09
2.670000e+02	2.700000e+02	1.429102e-07	7.145508e-09	7.145508e-09
2.700000e+02	2.730000e+02	1.461256e-07	7.225447e-09	7.225447e-09
2.730000e+02	2.760000e+02	1.382656e-07	7.028434e-09	7.028434e-09
2.760000e+02	2.790000e+02	1.350501e-07	6.946228e-09	6.946228e-09
2.790000e+02	2.820000e+02	1.279046e-07	6.759968e-09	6.759968e-09
2.820000e+02	2.850000e+02	1.354074e-07	6.955410e-09	6.955410e-09
2.850000e+02	2.880000e+02	1.200445e-07	6.548966e-09	6.548966e-09
2.880000e+02	2.910000e+02	1.229027e-07	6.626471e-09	6.626471e-09
2.910000e+02	2.940000e+02	1.311201e-07	6.844412e-09	6.844412e-09
2.940000e+02	2.970000e+02	1.050390e-07	6.125997e-09	6.125997e-09
