# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $\eta$
XLabel=$\eta_{\mathrm{l}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{l}}$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-3.500000e+00	-3.325000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.325000e+00	-3.150000e+00	1.837417e-08	1.060833e-08	1.060833e-08
-3.150000e+00	-2.975000e+00	2.137527e-06	1.144192e-07	1.144192e-07
-2.975000e+00	-2.800000e+00	1.541592e-05	3.072755e-07	3.072755e-07
-2.800000e+00	-2.625000e+00	2.087917e-05	3.576019e-07	3.576019e-07
-2.625000e+00	-2.450000e+00	2.711414e-05	4.075126e-07	4.075126e-07
-2.450000e+00	-2.275000e+00	3.475779e-05	4.613911e-07	4.613911e-07
-2.275000e+00	-2.100000e+00	4.333853e-05	5.152052e-07	5.152052e-07
-2.100000e+00	-1.925000e+00	5.371381e-05	5.735697e-07	5.735697e-07
-1.925000e+00	-1.750000e+00	6.406457e-05	6.264007e-07	6.264007e-07
-1.750000e+00	-1.575000e+00	7.317206e-05	6.694463e-07	6.694463e-07
-1.575000e+00	-1.400000e+00	8.540309e-05	7.232360e-07	7.232360e-07
-1.400000e+00	-1.225000e+00	9.366537e-05	7.574128e-07	7.574128e-07
-1.225000e+00	-1.050000e+00	1.032077e-04	7.950586e-07	7.950586e-07
-1.050000e+00	-8.750000e-01	1.115250e-04	8.264744e-07	8.264744e-07
-8.750000e-01	-7.000000e-01	1.183113e-04	8.512481e-07	8.512481e-07
-7.000000e-01	-5.250000e-01	1.210796e-04	8.611497e-07	8.611497e-07
-5.250000e-01	-3.500000e-01	1.269471e-04	8.817684e-07	8.817684e-07
-3.500000e-01	-1.750000e-01	1.290846e-04	8.891610e-07	8.891610e-07
-1.750000e-01	0.000000e+00	1.308241e-04	8.951317e-07	8.951317e-07
0.000000e+00	1.750000e-01	1.321593e-04	8.996879e-07	8.996879e-07
1.750000e-01	3.500000e-01	1.309343e-04	8.955088e-07	8.955088e-07
3.500000e-01	5.250000e-01	1.259610e-04	8.783370e-07	8.783370e-07
5.250000e-01	7.000000e-01	1.231314e-04	8.684154e-07	8.684154e-07
7.000000e-01	8.750000e-01	1.174048e-04	8.479807e-07	8.479807e-07
8.750000e-01	1.050000e+00	1.101837e-04	8.214893e-07	8.214893e-07
1.050000e+00	1.225000e+00	1.009477e-04	7.863054e-07	7.863054e-07
1.225000e+00	1.400000e+00	9.375726e-05	7.577841e-07	7.577841e-07
1.400000e+00	1.575000e+00	8.317371e-05	7.137337e-07	7.137337e-07
1.575000e+00	1.750000e+00	7.463583e-05	6.761094e-07	6.761094e-07
1.750000e+00	1.925000e+00	6.441983e-05	6.281349e-07	6.281349e-07
1.925000e+00	2.100000e+00	5.352394e-05	5.725549e-07	5.725549e-07
2.100000e+00	2.275000e+00	4.326503e-05	5.147681e-07	5.147681e-07
2.275000e+00	2.450000e+00	3.514977e-05	4.639855e-07	4.639855e-07
2.450000e+00	2.625000e+00	2.749387e-05	4.103563e-07	4.103563e-07
2.625000e+00	2.800000e+00	2.073830e-05	3.563935e-07	3.563935e-07
2.800000e+00	2.975000e+00	1.526281e-05	3.057457e-07	3.057457e-07
2.975000e+00	3.150000e+00	1.898663e-06	1.078368e-07	1.078368e-07
3.150000e+00	3.325000e+00	1.224944e-08	8.661664e-09	8.661664e-09
3.325000e+00	3.500000e+00	6.124720e-09	6.124720e-09	6.124720e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_eta
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-3.500000e+00	-3.325000e+00	6.138617e-09	6.138616e-09	6.138616e-09
-3.325000e+00	-3.150000e+00	6.138617e-09	6.138616e-09	6.138616e-09
-3.150000e+00	-2.975000e+00	1.835446e-06	1.061466e-07	1.061466e-07
-2.975000e+00	-2.800000e+00	1.514397e-05	3.048984e-07	3.048984e-07
-2.800000e+00	-2.625000e+00	2.053981e-05	3.550859e-07	3.550859e-07
-2.625000e+00	-2.450000e+00	2.713882e-05	4.081603e-07	4.081603e-07
-2.450000e+00	-2.275000e+00	3.478754e-05	4.621118e-07	4.621118e-07
-2.275000e+00	-2.100000e+00	4.414893e-05	5.205894e-07	5.205894e-07
-2.100000e+00	-1.925000e+00	5.336299e-05	5.723416e-07	5.723416e-07
-1.925000e+00	-1.750000e+00	6.326457e-05	6.231829e-07	6.231829e-07
-1.750000e+00	-1.575000e+00	7.339331e-05	6.712177e-07	6.712177e-07
-1.575000e+00	-1.400000e+00	8.419726e-05	7.189260e-07	7.189260e-07
-1.400000e+00	-1.225000e+00	9.357709e-05	7.579140e-07	7.579140e-07
-1.225000e+00	-1.050000e+00	1.031165e-04	7.956081e-07	7.956081e-07
-1.050000e+00	-8.750000e-01	1.094147e-04	8.195455e-07	8.195455e-07
-8.750000e-01	-7.000000e-01	1.182359e-04	8.519417e-07	8.519417e-07
-7.000000e-01	-5.250000e-01	1.230977e-04	8.692809e-07	8.692809e-07
-5.250000e-01	-3.500000e-01	1.260933e-04	8.797946e-07	8.797946e-07
-3.500000e-01	-1.750000e-01	1.296476e-04	8.921080e-07	8.921080e-07
-1.750000e-01	0.000000e+00	1.330177e-04	9.036284e-07	9.036284e-07
0.000000e+00	1.750000e-01	1.307832e-04	8.960067e-07	8.960067e-07
1.750000e-01	3.500000e-01	1.301079e-04	8.936905e-07	8.936905e-07
3.500000e-01	5.250000e-01	1.269466e-04	8.827663e-07	8.827663e-07
5.250000e-01	7.000000e-01	1.223058e-04	8.664804e-07	8.664804e-07
7.000000e-01	8.750000e-01	1.159278e-04	8.435852e-07	8.435852e-07
8.750000e-01	1.050000e+00	1.107283e-04	8.244506e-07	8.244506e-07
1.050000e+00	1.225000e+00	1.023737e-04	7.927376e-07	7.927376e-07
1.225000e+00	1.400000e+00	9.343589e-05	7.573421e-07	7.573421e-07
1.400000e+00	1.575000e+00	8.427091e-05	7.192404e-07	7.192404e-07
1.575000e+00	1.750000e+00	7.346080e-05	6.715266e-07	6.715266e-07
1.750000e+00	1.925000e+00	6.376794e-05	6.256571e-07	6.256571e-07
1.925000e+00	2.100000e+00	5.399527e-05	5.757224e-07	5.757224e-07
2.100000e+00	2.275000e+00	4.420418e-05	5.209150e-07	5.209150e-07
2.275000e+00	2.450000e+00	3.554873e-05	4.671402e-07	4.671402e-07
2.450000e+00	2.625000e+00	2.758694e-05	4.115163e-07	4.115163e-07
2.625000e+00	2.800000e+00	2.079763e-05	3.573075e-07	3.573075e-07
