# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $p_\perp$
XLabel=$p_\perp^{\mathrm{l}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{l}}$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13600/Zl_pT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.116631e+01	7.375807e-06	8.233035e-08	8.233035e-08
3.116631e+01	3.237797e+01	7.511081e-06	8.151227e-08	8.151227e-08
3.237797e+01	3.363673e+01	7.425025e-06	7.951326e-08	7.951326e-08
3.363673e+01	3.494443e+01	7.347956e-06	7.760529e-08	7.760529e-08
3.494443e+01	3.630297e+01	7.367255e-06	7.623929e-08	7.623929e-08
3.630297e+01	3.771432e+01	7.246516e-06	7.418385e-08	7.418385e-08
3.771432e+01	3.918055e+01	7.180695e-06	7.245098e-08	7.245098e-08
3.918055e+01	4.070377e+01	7.026024e-06	7.031302e-08	7.031302e-08
4.070377e+01	4.228622e+01	6.991981e-06	6.881725e-08	6.881725e-08
4.228622e+01	4.393018e+01	6.826863e-06	6.671556e-08	6.671556e-08
4.393018e+01	4.563806e+01	6.623445e-06	6.447264e-08	6.447264e-08
4.563806e+01	4.741234e+01	6.454708e-06	6.244382e-08	6.244382e-08
4.741234e+01	4.925559e+01	6.344609e-06	6.073966e-08	6.073966e-08
4.925559e+01	5.117051e+01	6.137933e-06	5.861354e-08	5.861354e-08
5.117051e+01	5.315987e+01	5.886164e-06	5.631468e-08	5.631468e-08
5.315987e+01	5.522657e+01	5.712571e-06	5.443011e-08	5.443011e-08
5.522657e+01	5.737362e+01	5.470329e-06	5.225740e-08	5.225740e-08
5.737362e+01	5.960414e+01	5.219007e-06	5.007871e-08	5.007871e-08
5.960414e+01	6.192138e+01	4.985301e-06	4.802003e-08	4.802003e-08
6.192138e+01	6.432870e+01	4.798311e-06	4.622101e-08	4.622101e-08
6.432870e+01	6.682962e+01	4.403583e-06	4.344257e-08	4.344257e-08
6.682962e+01	6.942776e+01	4.263146e-06	4.193688e-08	4.193688e-08
6.942776e+01	7.212691e+01	3.917370e-06	3.944081e-08	3.944081e-08
7.212691e+01	7.493099e+01	3.659931e-06	3.740274e-08	3.740274e-08
7.493099e+01	7.784409e+01	3.304040e-06	3.486641e-08	3.486641e-08
7.784409e+01	8.087045e+01	3.103535e-06	3.315355e-08	3.315355e-08
8.087045e+01	8.401446e+01	2.796489e-06	3.087641e-08	3.087641e-08
8.401446e+01	8.728070e+01	2.641303e-06	2.944064e-08	2.944064e-08
8.728070e+01	9.067392e+01	2.386104e-06	2.745370e-08	2.745370e-08
