# BEGIN PLOT
Legend=1
LogY=1
Title=HT
XLabel=$H_T$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_T$ [pb/GeV]
LogX=1
LegendXPos=0.10
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.043098e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.043098e+02	1.088053e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.088053e+02	1.134946e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.134946e+02	1.183860e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.183860e+02	1.234882e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.234882e+02	1.288103e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.288103e+02	1.343617e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.343617e+02	1.401525e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.401525e+02	1.461927e+02	3.548975e-10	2.509505e-10	2.509505e-10
1.461927e+02	1.524933e+02	1.701149e-10	1.701149e-10	1.701149e-10
1.524933e+02	1.590655e+02	4.892546e-10	2.824712e-10	2.824712e-10
1.590655e+02	1.659209e+02	3.126954e-10	2.211091e-10	2.211091e-10
1.659209e+02	1.730717e+02	5.995560e-10	2.997780e-10	2.997780e-10
1.730717e+02	1.805308e+02	8.621626e-10	3.519764e-10	3.519764e-10
1.805308e+02	1.883113e+02	2.479644e-09	5.844577e-10	5.844577e-10
1.883113e+02	1.964271e+02	3.433732e-09	6.734102e-10	6.734102e-10
1.964271e+02	2.048927e+02	4.178116e-09	7.273167e-10	7.273167e-10
2.048927e+02	2.137232e+02	7.525420e-09	9.557293e-10	9.557293e-10
2.137232e+02	2.229342e+02	1.268365e-08	1.214873e-09	1.214873e-09
2.229342e+02	2.325422e+02	1.539467e-08	1.310482e-09	1.310482e-09
2.325422e+02	2.425643e+02	2.556016e-08	1.653349e-09	1.653349e-09
2.425643e+02	2.530183e+02	3.660244e-08	1.937207e-09	1.937207e-09
2.530183e+02	2.639229e+02	5.061997e-08	2.230582e-09	2.230582e-09
2.639229e+02	2.752974e+02	6.718643e-08	2.516152e-09	2.516152e-09
2.752974e+02	2.871622e+02	8.157398e-08	2.714613e-09	2.714613e-09
2.871622e+02	2.995383e+02	9.933541e-08	2.933069e-09	2.933069e-09
2.995383e+02	3.124478e+02	1.205540e-07	3.163721e-09	3.163721e-09
3.124478e+02	3.259136e+02	1.369850e-07	3.302042e-09	3.302042e-09
3.259136e+02	3.399598e+02	1.583374e-07	3.475959e-09	3.475959e-09
3.399598e+02	3.546114e+02	1.739607e-07	3.567346e-09	3.567346e-09
3.546114e+02	3.698944e+02	1.866912e-07	3.618427e-09	3.618427e-09
3.698944e+02	3.858361e+02	2.000215e-07	3.667188e-09	3.667188e-09
3.858361e+02	4.024648e+02	2.066472e-07	3.649621e-09	3.649621e-09
4.024648e+02	4.198102e+02	2.189948e-07	3.678636e-09	3.678636e-09
4.198102e+02	4.379032e+02	2.244597e-07	3.646499e-09	3.646499e-09
4.379032e+02	4.567759e+02	2.204113e-07	3.538035e-09	3.538035e-09
4.567759e+02	4.764620e+02	2.189267e-07	3.452484e-09	3.452484e-09
4.764620e+02	4.969966e+02	2.160397e-07	3.358040e-09	3.358040e-09
4.969966e+02	5.184161e+02	2.110176e-07	3.249502e-09	3.249502e-09
5.184161e+02	5.407588e+02	2.021544e-07	3.114124e-09	3.114124e-09
5.407588e+02	5.640644e+02	1.949059e-07	2.993950e-09	2.993950e-09
5.640644e+02	5.883744e+02	1.849573e-07	2.855653e-09	2.855653e-09
5.883744e+02	6.137321e+02	1.775267e-07	2.739297e-09	2.739297e-09
6.137321e+02	6.401827e+02	1.648022e-07	2.584199e-09	2.584199e-09
6.401827e+02	6.677732e+02	1.496800e-07	2.411372e-09	2.411372e-09
6.677732e+02	6.965529e+02	1.358232e-07	2.249086e-09	2.249086e-09
6.965529e+02	7.265729e+02	1.265698e-07	2.125797e-09	2.125797e-09
7.265729e+02	7.578867e+02	1.174040e-07	2.004637e-09	2.004637e-09
7.578867e+02	7.905500e+02	1.045466e-07	1.852197e-09	1.852197e-09
7.905500e+02	8.246211e+02	9.402949e-08	1.719892e-09	1.719892e-09
8.246211e+02	8.601606e+02	8.058414e-08	1.558947e-09	1.558947e-09
8.601606e+02	8.972318e+02	7.176118e-08	1.440418e-09	1.440418e-09
8.972318e+02	9.359006e+02	6.275380e-08	1.318870e-09	1.318870e-09
9.359006e+02	9.762360e+02	5.543094e-08	1.213655e-09	1.213655e-09
9.762360e+02	1.018310e+03	4.822377e-08	1.108373e-09	1.108373e-09
1.018310e+03	1.062197e+03	4.063889e-08	9.962426e-10	9.962426e-10
1.062197e+03	1.107975e+03	3.828118e-08	9.467307e-10	9.467307e-10
1.107975e+03	1.155727e+03	3.268091e-08	8.564725e-10	8.564725e-10
1.155727e+03	1.205536e+03	2.715664e-08	7.644450e-10	7.644450e-10
1.205536e+03	1.257492e+03	2.236238e-08	6.792086e-10	6.792086e-10
1.257492e+03	1.311688e+03	2.031082e-08	6.337855e-10	6.337855e-10
1.311688e+03	1.368219e+03	1.530070e-08	5.386101e-10	5.386101e-10
1.368219e+03	1.427186e+03	1.303270e-08	4.867152e-10	4.867152e-10
1.427186e+03	1.488695e+03	1.116976e-08	4.411789e-10	4.411789e-10
1.488695e+03	1.552855e+03	8.603343e-09	3.791086e-10	3.791086e-10
1.552855e+03	1.619779e+03	7.142946e-09	3.382283e-10	3.382283e-10
1.619779e+03	1.689589e+03	6.156744e-09	3.074531e-10	3.074531e-10
1.689589e+03	1.762406e+03	5.107649e-09	2.741930e-10	2.741930e-10
1.762406e+03	1.838362e+03	3.429009e-09	2.199710e-10	2.199710e-10
1.838362e+03	1.917592e+03	2.854415e-09	1.965061e-10	1.965061e-10
1.917592e+03	2.000236e+03	1.997256e-09	1.609435e-10	1.609435e-10
2.000236e+03	2.086442e+03	2.001763e-09	1.577610e-10	1.577610e-10
2.086442e+03	2.176364e+03	1.239629e-09	1.215556e-10	1.215556e-10
2.176364e+03	2.270161e+03	8.913125e-10	1.009213e-10	1.009213e-10
2.270161e+03	2.368000e+03	8.873549e-10	9.859499e-11	9.859499e-11
2.368000e+03	2.470056e+03	4.305957e-10	6.724775e-11	6.724775e-11
2.470056e+03	2.576510e+03	5.034222e-10	7.119465e-11	7.119465e-11
2.576510e+03	2.687552e+03	3.571403e-10	5.871350e-11	5.871350e-11
2.687552e+03	2.803380e+03	2.128328e-10	4.437871e-11	4.437871e-11
2.803380e+03	2.924200e+03	1.419402e-10	3.548506e-11	3.548506e-11
2.924200e+03	3.050227e+03	1.360758e-10	3.401894e-11	3.401894e-11
3.050227e+03	3.181686e+03	1.386063e-10	3.361696e-11	3.361696e-11
3.181686e+03	3.318810e+03	7.034827e-11	2.344942e-11	2.344942e-11
3.318810e+03	3.461844e+03	3.746753e-11	1.675599e-11	1.675599e-11
3.461844e+03	3.611042e+03	2.873567e-11	1.436784e-11	1.436784e-11
3.611042e+03	3.766671e+03	2.066118e-11	1.192874e-11	1.192874e-11
3.766671e+03	3.929007e+03	1.980755e-11	1.143589e-11	1.143589e-11
3.929007e+03	4.098339e+03	1.265946e-11	8.951593e-12	8.951593e-12
4.098339e+03	4.274969e+03	1.213640e-11	8.581731e-12	8.581731e-12
4.274969e+03	4.459211e+03	5.817490e-12	5.817490e-12	5.817490e-12
4.459211e+03	4.651394e+03	5.577111e-12	5.577111e-12	5.577111e-12
4.651394e+03	4.851859e+03	5.346699e-12	5.346699e-12	5.346699e-12
4.851859e+03	5.060964e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.060964e+03	5.279082e+03	4.913973e-12	4.913973e-12	4.913973e-12
5.279082e+03	5.506599e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.506599e+03	5.743922e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.743922e+03	5.991474e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.991474e+03	6.249694e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.249694e+03	6.519043e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.519043e+03	6.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/HT
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.043098e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.043098e+02	1.088053e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.088053e+02	1.134946e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.134946e+02	1.183860e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.183860e+02	1.234882e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.234882e+02	1.288103e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.288103e+02	1.343617e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.343617e+02	1.401525e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.401525e+02	1.461927e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.461927e+02	1.524933e+02	1.705009e-10	1.705009e-10	1.705009e-10
1.524933e+02	1.590655e+02	6.538193e-10	3.269096e-10	3.269096e-10
1.590655e+02	1.659209e+02	3.134049e-10	2.216107e-10	2.216107e-10
1.659209e+02	1.730717e+02	1.201832e-09	4.249119e-10	4.249119e-10
1.730717e+02	1.805308e+02	5.760790e-10	2.880395e-10	2.880395e-10
1.805308e+02	1.883113e+02	1.932988e-09	5.166127e-10	5.166127e-10
1.883113e+02	1.964271e+02	4.368086e-09	7.603860e-10	7.603860e-10
1.964271e+02	2.048927e+02	5.964151e-09	8.699608e-10	8.699608e-10
2.048927e+02	2.137232e+02	1.021886e-08	1.114969e-09	1.114969e-09
2.137232e+02	2.229342e+02	1.294567e-08	1.228749e-09	1.228749e-09
2.229342e+02	2.325422e+02	1.721854e-08	1.387509e-09	1.387509e-09
2.325422e+02	2.425643e+02	2.583252e-08	1.664019e-09	1.664019e-09
2.425643e+02	2.530183e+02	3.401371e-08	1.869563e-09	1.869563e-09
2.530183e+02	2.639229e+02	4.768087e-08	2.167312e-09	2.167312e-09
2.639229e+02	2.752974e+02	6.488330e-08	2.475452e-09	2.475452e-09
2.752974e+02	2.871622e+02	8.148742e-08	2.716248e-09	2.716248e-09
2.871622e+02	2.995383e+02	1.040744e-07	3.005622e-09	3.005622e-09
2.995383e+02	3.124478e+02	1.238232e-07	3.209967e-09	3.209967e-09
3.124478e+02	3.259136e+02	1.414442e-07	3.359160e-09	3.359160e-09
3.259136e+02	3.399598e+02	1.611440e-07	3.510605e-09	3.510605e-09
3.399598e+02	3.546114e+02	1.780947e-07	3.613577e-09	3.613577e-09
3.546114e+02	3.698944e+02	1.913322e-07	3.667279e-09	3.667279e-09
3.698944e+02	3.858361e+02	2.023621e-07	3.692764e-09	3.692764e-09
3.858361e+02	4.024648e+02	2.110568e-07	3.692537e-09	3.692537e-09
4.024648e+02	4.198102e+02	2.105732e-07	3.611301e-09	3.611301e-09
4.198102e+02	4.379032e+02	2.216440e-07	3.627663e-09	3.627663e-09
4.379032e+02	4.567759e+02	2.169838e-07	3.514398e-09	3.514398e-09
4.567759e+02	4.764620e+02	2.225338e-07	3.484757e-09	3.484757e-09
4.764620e+02	4.969966e+02	2.188840e-07	3.383905e-09	3.383905e-09
4.969966e+02	5.184161e+02	2.120480e-07	3.261119e-09	3.261119e-09
5.184161e+02	5.407588e+02	1.973241e-07	3.080183e-09	3.080183e-09
5.407588e+02	5.640644e+02	1.959934e-07	3.005695e-09	3.005695e-09
5.640644e+02	5.883744e+02	1.884702e-07	2.885912e-09	2.885912e-09
5.883744e+02	6.137321e+02	1.761926e-07	2.732078e-09	2.732078e-09
6.137321e+02	6.401827e+02	1.690344e-07	2.620137e-09	2.620137e-09
6.401827e+02	6.677732e+02	1.497471e-07	2.414647e-09	2.414647e-09
6.677732e+02	6.965529e+02	1.371391e-07	2.262517e-09	2.262517e-09
6.965529e+02	7.265729e+02	1.266064e-07	2.128515e-09	2.128515e-09
7.265729e+02	7.578867e+02	1.139309e-07	1.977002e-09	1.977002e-09
7.578867e+02	7.905500e+02	1.014620e-07	1.826737e-09	1.826737e-09
7.905500e+02	8.246211e+02	9.184655e-08	1.701738e-09	1.701738e-09
8.246211e+02	8.601606e+02	8.061582e-08	1.561021e-09	1.561021e-09
8.601606e+02	8.972318e+02	7.169215e-08	1.441358e-09	1.441358e-09
8.972318e+02	9.359006e+02	6.461861e-08	1.339839e-09	1.339839e-09
9.359006e+02	9.762360e+02	5.683509e-08	1.230324e-09	1.230324e-09
