# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between Z boson pair and leading jet
XLabel=$\Delta R(\mathrm{ZZ,~1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(\mathrm{ZZ,~1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/ZZ_jet1_dR
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+00	1.720000e+00	2.811108e-06	1.170279e-07	1.170279e-07
1.720000e+00	1.940000e+00	5.096045e-06	1.575678e-07	1.575678e-07
1.940000e+00	2.160000e+00	9.568486e-06	2.159098e-07	2.159098e-07
2.160000e+00	2.380000e+00	1.768513e-05	2.935317e-07	2.935317e-07
2.380000e+00	2.600000e+00	2.834006e-05	3.715791e-07	3.715791e-07
2.600000e+00	2.820000e+00	4.311177e-05	4.582988e-07	4.582988e-07
2.820000e+00	3.040000e+00	6.489909e-05	5.623027e-07	5.623027e-07
3.040000e+00	3.260000e+00	7.406805e-05	6.007120e-07	6.007120e-07
3.260000e+00	3.480000e+00	4.931373e-05	4.901566e-07	4.901566e-07
3.480000e+00	3.700000e+00	3.916550e-05	4.368202e-07	4.368202e-07
3.700000e+00	3.920000e+00	3.308533e-05	4.014843e-07	4.014843e-07
3.920000e+00	4.140000e+00	2.799415e-05	3.693044e-07	3.693044e-07
4.140000e+00	4.360000e+00	2.435481e-05	3.444635e-07	3.444635e-07
4.360000e+00	4.580000e+00	2.051573e-05	3.161508e-07	3.161508e-07
4.580000e+00	4.800000e+00	1.802617e-05	2.963484e-07	2.963484e-07
4.800000e+00	5.020000e+00	1.497146e-05	2.700741e-07	2.700741e-07
5.020000e+00	5.240000e+00	1.259396e-05	2.477034e-07	2.477034e-07
5.240000e+00	5.460000e+00	1.040159e-05	2.251130e-07	2.251130e-07
5.460000e+00	5.680000e+00	8.452809e-06	2.029324e-07	2.029324e-07
5.680000e+00	5.900000e+00	6.986359e-06	1.844914e-07	1.844914e-07
5.900000e+00	6.120000e+00	5.476059e-06	1.633371e-07	1.633371e-07
6.120000e+00	6.340000e+00	4.228841e-06	1.435362e-07	1.435362e-07
6.340000e+00	6.560000e+00	3.079064e-06	1.224786e-07	1.224786e-07
6.560000e+00	6.780000e+00	2.416481e-06	1.085032e-07	1.085032e-07
