# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between $e^+$ and leading jet
XLabel=$\Delta R(e^+,\mathrm{1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(e^+,\mathrm{1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.800000e-01	1.416342e-06	7.363210e-08	7.363210e-08
2.800000e-01	5.600000e-01	4.310271e-06	1.284504e-07	1.284504e-07
5.600000e-01	8.400000e-01	7.204204e-06	1.660642e-07	1.660642e-07
8.400000e-01	1.120000e+00	1.115465e-05	2.066384e-07	2.066384e-07
1.120000e+00	1.400000e+00	1.459598e-05	2.363740e-07	2.363740e-07
1.400000e+00	1.680000e+00	1.813300e-05	2.634620e-07	2.634620e-07
1.680000e+00	1.960000e+00	2.336581e-05	2.990705e-07	2.990705e-07
1.960000e+00	2.240000e+00	2.807419e-05	3.278210e-07	3.278210e-07
2.240000e+00	2.520000e+00	3.450515e-05	3.634337e-07	3.634337e-07
2.520000e+00	2.800000e+00	4.299936e-05	4.057086e-07	4.057086e-07
2.800000e+00	3.080000e+00	5.052511e-05	4.397814e-07	4.397814e-07
3.080000e+00	3.360000e+00	4.776136e-05	4.275840e-07	4.275840e-07
3.360000e+00	3.640000e+00	3.548510e-05	3.685583e-07	3.685583e-07
3.640000e+00	3.920000e+00	2.784069e-05	3.264548e-07	3.264548e-07
3.920000e+00	4.200000e+00	2.140207e-05	2.862273e-07	2.862273e-07
4.200000e+00	4.480000e+00	1.624199e-05	2.493463e-07	2.493463e-07
4.480000e+00	4.760000e+00	1.231835e-05	2.171498e-07	2.171498e-07
4.760000e+00	5.040000e+00	8.961232e-06	1.852111e-07	1.852111e-07
5.040000e+00	5.320000e+00	6.323775e-06	1.555863e-07	1.555863e-07
5.320000e+00	5.600000e+00	4.168639e-06	1.263224e-07	1.263224e-07
5.600000e+00	5.880000e+00	2.641286e-06	1.005520e-07	1.005520e-07
5.880000e+00	6.160000e+00	1.523524e-06	7.636737e-08	7.636737e-08
6.160000e+00	6.440000e+00	9.531596e-07	6.040404e-08	6.040404e-08
6.440000e+00	6.720000e+00	5.550529e-07	4.609462e-08	4.609462e-08
6.720000e+00	7.000000e+00	2.488168e-07	3.086193e-08	3.086193e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.800000e-01	1.381189e-06	7.279503e-08	7.279503e-08
2.800000e-01	5.600000e-01	4.615471e-06	1.330710e-07	1.330710e-07
5.600000e-01	8.400000e-01	7.397032e-06	1.684628e-07	1.684628e-07
8.400000e-01	1.120000e+00	1.050854e-05	2.007921e-07	2.007921e-07
1.120000e+00	1.400000e+00	1.427228e-05	2.340033e-07	2.340033e-07
1.400000e+00	1.680000e+00	1.810892e-05	2.635855e-07	2.635855e-07
1.680000e+00	1.960000e+00	2.274357e-05	2.953960e-07	2.953960e-07
1.960000e+00	2.240000e+00	2.817625e-05	3.287887e-07	3.287887e-07
2.240000e+00	2.520000e+00	3.464481e-05	3.645813e-07	3.645813e-07
2.520000e+00	2.800000e+00	4.226436e-05	4.026822e-07	4.026822e-07
2.800000e+00	3.080000e+00	5.121139e-05	4.432600e-07	4.432600e-07
3.080000e+00	3.360000e+00	4.692971e-05	4.243255e-07	4.243255e-07
3.360000e+00	3.640000e+00	3.546202e-05	3.688561e-07	3.688561e-07
3.640000e+00	3.920000e+00	2.827984e-05	3.293925e-07	3.293925e-07
3.920000e+00	4.200000e+00	2.142761e-05	2.867227e-07	2.867227e-07
4.200000e+00	4.480000e+00	1.670471e-05	2.531598e-07	2.531598e-07
4.480000e+00	4.760000e+00	1.264171e-05	2.202309e-07	2.202309e-07
4.760000e+00	5.040000e+00	8.970054e-06	1.855123e-07	1.855123e-07
5.040000e+00	5.320000e+00	6.280571e-06	1.552297e-07	1.552297e-07
5.320000e+00	5.600000e+00	4.381436e-06	1.296533e-07	1.296533e-07
5.600000e+00	5.880000e+00	2.605075e-06	9.997361e-08	9.997361e-08
5.880000e+00	6.160000e+00	1.511634e-06	7.615503e-08	7.615503e-08
6.160000e+00	6.440000e+00	1.089604e-06	6.465613e-08	6.465613e-08
6.440000e+00	6.720000e+00	6.292082e-07	4.913290e-08	4.913290e-08
6.720000e+00	7.000000e+00	2.724011e-07	3.232806e-08	3.232806e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/Ze_jet1_dR
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.800000e-01	8.003096e-07	3.971870e-08	3.971870e-08
2.800000e-01	5.600000e-01	2.113133e-06	6.454008e-08	6.454008e-08
5.600000e-01	8.400000e-01	3.672357e-06	8.508216e-08	8.508216e-08
8.400000e-01	1.120000e+00	5.550918e-06	1.046040e-07	1.046040e-07
1.120000e+00	1.400000e+00	7.285579e-06	1.198390e-07	1.198390e-07
1.400000e+00	1.680000e+00	9.313950e-06	1.354980e-07	1.354980e-07
1.680000e+00	1.960000e+00	1.187849e-05	1.530194e-07	1.530194e-07
1.960000e+00	2.240000e+00	1.391080e-05	1.655931e-07	1.655931e-07
2.240000e+00	2.520000e+00	1.749643e-05	1.857123e-07	1.857123e-07
2.520000e+00	2.800000e+00	2.135211e-05	2.051570e-07	2.051570e-07
2.800000e+00	3.080000e+00	2.594896e-05	2.261653e-07	2.261653e-07
3.080000e+00	3.360000e+00	2.387525e-05	2.169402e-07	2.169402e-07
3.360000e+00	3.640000e+00	1.797740e-05	1.882476e-07	1.882476e-07
3.640000e+00	3.920000e+00	1.389306e-05	1.654875e-07	1.654875e-07
3.920000e+00	4.200000e+00	1.106241e-05	1.476695e-07	1.476695e-07
4.200000e+00	4.480000e+00	8.259354e-06	1.275966e-07	1.275966e-07
4.480000e+00	4.760000e+00	6.280264e-06	1.112641e-07	1.112641e-07
4.760000e+00	5.040000e+00	4.726954e-06	9.652875e-08	9.652875e-08
5.040000e+00	5.320000e+00	3.138161e-06	7.865089e-08	7.865089e-08
5.320000e+00	5.600000e+00	2.026400e-06	6.320168e-08	6.320168e-08
5.600000e+00	5.880000e+00	1.328593e-06	5.117549e-08	5.117549e-08
5.880000e+00	6.160000e+00	7.786264e-07	3.917696e-08	3.917696e-08
6.160000e+00	6.440000e+00	4.947729e-07	3.122978e-08	3.122978e-08
6.440000e+00	6.720000e+00	2.917385e-07	2.398076e-08	2.398076e-08
6.720000e+00	7.000000e+00	1.636101e-07	1.795854e-08	1.795854e-08
# END HISTO1D

