# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta (HT)
XLabel=$HT$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}HT$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.247292e+01	1.516989e-08	2.564179e-09	2.564179e-09
2.247292e+01	2.525161e+01	1.967227e-08	2.754669e-09	2.754669e-09
2.525161e+01	2.837388e+01	1.888063e-08	2.545864e-09	2.545864e-09
2.837388e+01	3.188220e+01	1.955263e-08	2.444079e-09	2.444079e-09
3.188220e+01	3.582431e+01	2.120754e-08	2.401281e-09	2.401281e-09
3.582431e+01	4.025385e+01	2.589104e-08	2.502981e-09	2.502981e-09
4.025385e+01	4.523109e+01	3.294786e-08	2.663676e-09	2.663676e-09
4.523109e+01	5.082374e+01	4.101290e-08	2.803584e-09	2.803584e-09
5.082374e+01	5.710790e+01	5.457920e-08	3.051069e-09	3.051069e-09
5.710790e+01	6.416908e+01	6.891328e-08	3.234260e-09	3.234260e-09
6.416908e+01	7.210334e+01	8.767235e-08	3.441441e-09	3.441441e-09
7.210334e+01	8.101864e+01	1.138514e-07	3.699673e-09	3.699673e-09
8.101864e+01	9.103628e+01	1.501124e-07	4.007631e-09	4.007631e-09
9.103628e+01	1.022926e+02	1.782518e-07	4.119845e-09	4.119845e-09
1.022926e+02	1.149407e+02	2.244818e-07	4.361542e-09	4.361542e-09
1.149407e+02	1.291526e+02	2.595117e-07	4.423994e-09	4.423994e-09
1.291526e+02	1.451219e+02	2.911575e-07	4.420621e-09	4.420621e-09
1.451219e+02	1.630656e+02	3.281119e-07	4.427078e-09	4.427078e-09
1.630656e+02	1.832281e+02	3.411238e-07	4.258395e-09	4.258395e-09
1.832281e+02	2.058835e+02	3.460251e-07	4.046039e-09	4.046039e-09
2.058835e+02	2.313402e+02	3.404100e-07	3.785840e-09	3.785840e-09
2.313402e+02	2.599446e+02	3.194750e-07	3.459905e-09	3.459905e-09
2.599446e+02	2.920857e+02	2.866220e-07	3.091623e-09	3.091623e-09
2.920857e+02	3.282010e+02	2.492350e-07	2.719700e-09	2.719700e-09
3.282010e+02	3.687818e+02	2.075995e-07	2.341612e-09	2.341612e-09
3.687818e+02	4.143802e+02	1.644230e-07	1.965933e-09	1.965933e-09
4.143802e+02	4.656168e+02	1.257869e-07	1.622145e-09	1.622145e-09
4.656168e+02	5.231885e+02	9.602772e-08	1.337076e-09	1.337076e-09
5.231885e+02	5.878788e+02	6.811341e-08	1.062329e-09	1.062329e-09
5.878788e+02	6.605677e+02	4.506191e-08	8.151413e-10	8.151413e-10
6.605677e+02	7.422444e+02	3.073358e-08	6.350671e-10	6.350671e-10
7.422444e+02	8.340201e+02	2.116191e-08	4.971366e-10	4.971366e-10
8.340201e+02	9.371435e+02	1.257629e-08	3.615429e-10	3.615429e-10
9.371435e+02	1.053018e+03	7.936404e-09	2.709444e-10	2.709444e-10
1.053018e+03	1.183219e+03	4.552345e-09	1.935854e-10	1.935854e-10
1.183219e+03	1.329520e+03	2.578812e-09	1.374512e-10	1.374512e-10
1.329520e+03	1.493910e+03	1.577845e-09	1.014277e-10	1.014277e-10
1.493910e+03	1.678626e+03	6.730971e-10	6.249551e-11	6.249551e-11
1.678626e+03	1.886182e+03	3.873025e-10	4.472184e-11	4.472184e-11
1.886182e+03	2.119401e+03	1.746401e-10	2.833037e-11	2.833037e-11
2.119401e+03	2.381457e+03	6.544105e-11	1.636026e-11	1.636026e-11
2.381457e+03	2.675915e+03	2.911997e-11	1.029547e-11	1.029547e-11
2.675915e+03	3.006781e+03	6.478913e-12	4.581284e-12	4.581284e-12
3.006781e+03	3.378558e+03	8.648945e-12	4.993470e-12	4.993470e-12
3.378558e+03	3.796304e+03	2.565736e-12	2.565736e-12	2.565736e-12
3.796304e+03	4.265703e+03	2.283401e-12	2.283401e-12	2.283401e-12
4.265703e+03	4.793141e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.793141e+03	5.385794e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.385794e+03	6.051727e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.051727e+03	6.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_HT
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.247292e+01	2.041721e-08	2.978156e-09	2.978156e-09
2.247292e+01	2.525161e+01	1.817048e-08	2.650436e-09	2.650436e-09
2.525161e+01	2.837388e+01	2.339629e-08	2.837217e-09	2.837217e-09
2.837388e+01	3.188220e+01	2.419003e-08	2.721591e-09	2.721591e-09
3.188220e+01	3.582431e+01	2.752333e-08	2.738675e-09	2.738675e-09
3.582431e+01	4.025385e+01	2.570725e-08	2.496910e-09	2.496910e-09
4.025385e+01	4.523109e+01	2.568425e-08	2.354472e-09	2.354472e-09
4.523109e+01	5.082374e+01	3.591968e-08	2.626707e-09	2.626707e-09
5.082374e+01	5.710790e+01	5.470302e-08	3.057992e-09	3.057992e-09
5.710790e+01	6.416908e+01	6.633118e-08	3.176687e-09	3.176687e-09
6.416908e+01	7.210334e+01	8.705888e-08	3.433267e-09	3.433267e-09
7.210334e+01	8.101864e+01	1.151941e-07	3.725646e-09	3.725646e-09
8.101864e+01	9.103628e+01	1.433754e-07	3.921108e-09	3.921108e-09
9.103628e+01	1.022926e+02	1.848594e-07	4.200267e-09	4.200267e-09
1.022926e+02	1.149407e+02	2.265199e-07	4.386264e-09	4.386264e-09
1.149407e+02	1.291526e+02	2.652405e-07	4.477629e-09	4.477629e-09
1.291526e+02	1.451219e+02	2.974015e-07	4.472835e-09	4.472835e-09
1.451219e+02	1.630656e+02	3.311911e-07	4.452845e-09	4.452845e-09
