# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.446965e-07	2.784686e-08	2.784686e-08
-4.800000e+00	-4.600000e+00	3.483435e-07	4.320670e-08	4.320670e-08
-4.600000e+00	-4.400000e+00	7.020460e-07	6.133806e-08	6.133806e-08
-4.400000e+00	-4.200000e+00	1.152213e-06	7.858028e-08	7.858028e-08
-4.200000e+00	-4.000000e+00	2.111497e-06	1.063757e-07	1.063757e-07
-4.000000e+00	-3.800000e+00	3.119014e-06	1.292873e-07	1.292873e-07
-3.800000e+00	-3.600000e+00	4.490952e-06	1.551374e-07	1.551374e-07
-3.600000e+00	-3.400000e+00	6.564935e-06	1.875696e-07	1.875696e-07
-3.400000e+00	-3.200000e+00	8.831850e-06	2.175569e-07	2.175569e-07
-3.200000e+00	-3.000000e+00	1.172042e-05	2.506217e-07	2.506217e-07
-3.000000e+00	-2.800000e+00	1.428208e-05	2.766578e-07	2.766578e-07
-2.800000e+00	-2.600000e+00	1.587375e-05	2.916667e-07	2.916667e-07
-2.600000e+00	-2.400000e+00	1.761010e-05	3.072049e-07	3.072049e-07
-2.400000e+00	-2.200000e+00	1.883735e-05	3.177291e-07	3.177291e-07
-2.200000e+00	-2.000000e+00	2.065945e-05	3.327412e-07	3.327412e-07
-2.000000e+00	-1.800000e+00	1.973768e-05	3.252335e-07	3.252335e-07
-1.800000e+00	-1.600000e+00	1.969481e-05	3.248801e-07	3.248801e-07
-1.600000e+00	-1.400000e+00	1.919105e-05	3.206982e-07	3.206982e-07
-1.400000e+00	-1.200000e+00	1.780839e-05	3.089296e-07	3.089296e-07
-1.200000e+00	-1.000000e+00	1.796917e-05	3.103210e-07	3.103210e-07
-1.000000e+00	-8.000000e-01	1.644718e-05	2.968881e-07	2.968881e-07
-8.000000e-01	-6.000000e-01	1.580943e-05	2.910753e-07	2.910753e-07
-6.000000e-01	-4.000000e-01	1.493590e-05	2.829195e-07	2.829195e-07
-4.000000e-01	-2.000000e-01	1.415346e-05	2.754093e-07	2.754093e-07
-2.000000e-01	0.000000e+00	1.359611e-05	2.699321e-07	2.699321e-07
0.000000e+00	2.000000e-01	1.429816e-05	2.768135e-07	2.768135e-07
2.000000e-01	4.000000e-01	1.411595e-05	2.750440e-07	2.750440e-07
4.000000e-01	6.000000e-01	1.513955e-05	2.848417e-07	2.848417e-07
6.000000e-01	8.000000e-01	1.618993e-05	2.945573e-07	2.945573e-07
8.000000e-01	1.000000e+00	1.631320e-05	2.956764e-07	2.956764e-07
1.000000e+00	1.200000e+00	1.775480e-05	3.084644e-07	3.084644e-07
1.200000e+00	1.400000e+00	1.821569e-05	3.124424e-07	3.124424e-07
1.400000e+00	1.600000e+00	1.905707e-05	3.195768e-07	3.195768e-07
1.600000e+00	1.800000e+00	1.944829e-05	3.228404e-07	3.228404e-07
1.800000e+00	2.000000e+00	2.052011e-05	3.316172e-07	3.316172e-07
