# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	9.914390e-07	7.289206e-08	7.289206e-08
-4.800000e+00	-4.600000e+00	1.575584e-06	9.188995e-08	9.188995e-08
-4.600000e+00	-4.400000e+00	2.470560e-06	1.150654e-07	1.150654e-07
-4.400000e+00	-4.200000e+00	3.837137e-06	1.434006e-07	1.434006e-07
-4.200000e+00	-4.000000e+00	5.037585e-06	1.643079e-07	1.643079e-07
-4.000000e+00	-3.800000e+00	6.999025e-06	1.936716e-07	1.936716e-07
-3.800000e+00	-3.600000e+00	8.928310e-06	2.187419e-07	2.187419e-07
-3.600000e+00	-3.400000e+00	1.079865e-05	2.405647e-07	2.405647e-07
-3.400000e+00	-3.200000e+00	1.276009e-05	2.615014e-07	2.615014e-07
-3.200000e+00	-3.000000e+00	1.512882e-05	2.847408e-07	2.847408e-07
-3.000000e+00	-2.800000e+00	1.614170e-05	2.941182e-07	2.941182e-07
-2.800000e+00	-2.600000e+00	1.740646e-05	3.054234e-07	3.054234e-07
-2.600000e+00	-2.400000e+00	1.749756e-05	3.062217e-07	3.062217e-07
-2.400000e+00	-2.200000e+00	1.831215e-05	3.132686e-07	3.132686e-07
-2.200000e+00	-2.000000e+00	1.711170e-05	3.028265e-07	3.028265e-07
-2.000000e+00	-1.800000e+00	1.682231e-05	3.002549e-07	3.002549e-07
-1.800000e+00	-1.600000e+00	1.613099e-05	2.940205e-07	2.940205e-07
-1.600000e+00	-1.400000e+00	1.572905e-05	2.903343e-07	2.903343e-07
-1.400000e+00	-1.200000e+00	1.392302e-05	2.731580e-07	2.731580e-07
-1.200000e+00	-1.000000e+00	1.316739e-05	2.656421e-07	2.656421e-07
-1.000000e+00	-8.000000e-01	1.208484e-05	2.544882e-07	2.544882e-07
-8.000000e-01	-6.000000e-01	1.154357e-05	2.487237e-07	2.487237e-07
-6.000000e-01	-4.000000e-01	1.120595e-05	2.450594e-07	2.450594e-07
-4.000000e-01	-2.000000e-01	1.044495e-05	2.365921e-07	2.365921e-07
-2.000000e-01	0.000000e+00	1.004301e-05	2.319953e-07	2.319953e-07
0.000000e+00	2.000000e-01	1.039671e-05	2.360452e-07	2.360452e-07
2.000000e-01	4.000000e-01	1.003765e-05	2.319334e-07	2.319334e-07
4.000000e-01	6.000000e-01	1.056285e-05	2.379237e-07	2.379237e-07
6.000000e-01	8.000000e-01	1.147390e-05	2.479720e-07	2.479720e-07
8.000000e-01	1.000000e+00	1.188655e-05	2.523918e-07	2.523918e-07
1.000000e+00	1.200000e+00	1.343534e-05	2.683314e-07	2.683314e-07
1.200000e+00	1.400000e+00	1.441606e-05	2.779525e-07	2.779525e-07
1.400000e+00	1.600000e+00	1.508059e-05	2.842866e-07	2.842866e-07
1.600000e+00	1.800000e+00	1.654364e-05	2.977575e-07	2.977575e-07
1.800000e+00	2.000000e+00	1.669370e-05	2.991048e-07	2.991048e-07
2.000000e+00	2.200000e+00	1.757259e-05	3.068775e-07	3.068775e-07
2.200000e+00	2.400000e+00	1.828000e-05	3.129934e-07	3.129934e-07
2.400000e+00	2.600000e+00	1.755651e-05	3.067371e-07	3.067371e-07
2.600000e+00	2.800000e+00	1.684375e-05	3.004461e-07	3.004461e-07
2.800000e+00	3.000000e+00	1.568081e-05	2.898889e-07	2.898889e-07
3.000000e+00	3.200000e+00	1.439998e-05	2.777974e-07	2.777974e-07
3.200000e+00	3.400000e+00	1.325849e-05	2.665595e-07	2.665595e-07
3.400000e+00	3.600000e+00	1.119522e-05	2.449422e-07	2.449422e-07
3.600000e+00	3.800000e+00	8.665715e-06	2.155010e-07	2.155010e-07
3.800000e+00	4.000000e+00	7.031180e-06	1.941159e-07	1.941159e-07
4.000000e+00	4.200000e+00	5.541340e-06	1.723275e-07	1.723275e-07
4.200000e+00	4.400000e+00	3.826419e-06	1.432001e-07	1.432001e-07
4.400000e+00	4.600000e+00	2.540228e-06	1.166765e-07	1.166765e-07
4.600000e+00	4.800000e+00	1.618457e-06	9.313176e-08	9.313176e-08
4.800000e+00	5.000000e+00	1.028953e-06	7.425830e-08	7.425830e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	7.842080e-07	6.490154e-08	6.490154e-08
-4.800000e+00	-4.600000e+00	1.348193e-06	8.509722e-08	8.509722e-08
-4.600000e+00	-4.400000e+00	2.191486e-06	1.084947e-07	1.084947e-07
-4.400000e+00	-4.200000e+00	3.367798e-06	1.344969e-07	1.344969e-07
-4.200000e+00	-4.000000e+00	4.963071e-06	1.632731e-07	1.632731e-07
-4.000000e+00	-3.800000e+00	6.848395e-06	1.917934e-07	1.917934e-07
-3.800000e+00	-3.600000e+00	8.851885e-06	2.180505e-07	2.180505e-07
-3.600000e+00	-3.400000e+00	1.090371e-05	2.420062e-07	2.420062e-07
-3.400000e+00	-3.200000e+00	1.256882e-05	2.598283e-07	2.598283e-07
-3.200000e+00	-3.000000e+00	1.469584e-05	2.809549e-07	2.809549e-07
-3.000000e+00	-2.800000e+00	1.592050e-05	2.924271e-07	2.924271e-07
-2.800000e+00	-2.600000e+00	1.723647e-05	3.042730e-07	3.042730e-07
-2.600000e+00	-2.400000e+00	1.805827e-05	3.114421e-07	3.114421e-07
-2.400000e+00	-2.200000e+00	1.759635e-05	3.074330e-07	3.074330e-07
-2.200000e+00	-2.000000e+00	1.784879e-05	3.096305e-07	3.096305e-07
-2.000000e+00	-1.800000e+00	1.705922e-05	3.027044e-07	3.027044e-07
-1.800000e+00	-1.600000e+00	1.661340e-05	2.987229e-07	2.987229e-07
-1.600000e+00	-1.400000e+00	1.552302e-05	2.887536e-07	2.887536e-07
-1.400000e+00	-1.200000e+00	1.400295e-05	2.742515e-07	2.742515e-07
-1.200000e+00	-1.000000e+00	1.328320e-05	2.671103e-07	2.671103e-07
