# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of fourth jet
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_eta_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.848900e-07	2.225814e-08	2.225814e-08
-4.600000e+00	-4.200000e+00	4.019348e-07	3.281784e-08	3.281784e-08
-4.200000e+00	-3.800000e+00	7.342010e-07	4.435470e-08	4.435470e-08
-3.800000e+00	-3.400000e+00	1.077185e-06	5.372512e-08	5.372512e-08
-3.400000e+00	-3.000000e+00	1.832823e-06	7.007973e-08	7.007973e-08
-3.000000e+00	-2.600000e+00	2.146332e-06	7.583691e-08	7.583691e-08
-2.600000e+00	-2.200000e+00	2.449123e-06	8.100980e-08	8.100980e-08
-2.200000e+00	-1.800000e+00	2.580422e-06	8.315291e-08	8.315291e-08
-1.800000e+00	-1.400000e+00	2.481277e-06	8.153983e-08	8.153983e-08
-1.400000e+00	-1.000000e+00	2.087382e-06	7.478820e-08	7.478820e-08
-1.000000e+00	-6.000000e-01	1.870337e-06	7.079329e-08	7.079329e-08
-6.000000e-01	-2.000000e-01	1.907850e-06	7.149972e-08	7.149972e-08
-2.000000e-01	2.000000e-01	1.680087e-06	6.709623e-08	6.709623e-08
2.000000e-01	6.000000e-01	1.814066e-06	6.972021e-08	6.972021e-08
6.000000e-01	1.000000e+00	1.969480e-06	7.264538e-08	7.264538e-08
1.000000e+00	1.400000e+00	2.218680e-06	7.710447e-08	7.710447e-08
1.400000e+00	1.800000e+00	2.317824e-06	7.880838e-08	7.880838e-08
1.800000e+00	2.200000e+00	2.612577e-06	8.366940e-08	8.366940e-08
2.200000e+00	2.600000e+00	2.253515e-06	7.770740e-08	7.770740e-08
2.600000e+00	3.000000e+00	2.063266e-06	7.435492e-08	7.435492e-08
3.000000e+00	3.400000e+00	1.685447e-06	6.720316e-08	6.720316e-08
