# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	2.274239e-08	2.274239e-08	2.274239e-08
1.047129e+00	1.096478e+00	6.515794e-08	3.761895e-08	3.761895e-08
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	3.961656e-08	2.801314e-08	2.801314e-08
1.202264e+00	1.258925e+00	1.891647e-08	1.891647e-08	1.891647e-08
1.258925e+00	1.318257e+00	3.612978e-08	2.554762e-08	2.554762e-08
1.318257e+00	1.380384e+00	3.450435e-08	2.439827e-08	2.439827e-08
1.380384e+00	1.445440e+00	4.942633e-08	2.853630e-08	2.853630e-08
1.445440e+00	1.513561e+00	9.440491e-08	3.854064e-08	3.854064e-08
1.513561e+00	1.584893e+00	4.507765e-08	2.602559e-08	2.602559e-08
1.584893e+00	1.659587e+00	7.174781e-08	3.208660e-08	3.208660e-08
1.659587e+00	1.737801e+00	4.111130e-08	2.373561e-08	2.373561e-08
1.737801e+00	1.819701e+00	9.160907e-08	3.462497e-08	3.462497e-08
1.819701e+00	1.905461e+00	1.499756e-07	4.329425e-08	4.329425e-08
1.905461e+00	1.995262e+00	5.967785e-08	2.668875e-08	2.668875e-08
1.995262e+00	2.089296e+00	1.367794e-07	3.948482e-08	3.948482e-08
2.089296e+00	2.187762e+00	1.415081e-07	3.924730e-08	3.924730e-08
2.187762e+00	2.290868e+00	1.559307e-07	4.026114e-08	4.026114e-08
2.290868e+00	2.398833e+00	3.176811e-07	5.615861e-08	5.615861e-08
2.398833e+00	2.511886e+00	2.844223e-07	5.192815e-08	5.192815e-08
2.511886e+00	2.630268e+00	2.987807e-07	5.201105e-08	5.201105e-08
2.630268e+00	2.754229e+00	4.063845e-07	5.927727e-08	5.927727e-08
2.754229e+00	2.884032e+00	4.376385e-07	6.011427e-08	6.011427e-08
2.884032e+00	3.019952e+00	6.150856e-07	6.964473e-08	6.964473e-08
3.019952e+00	3.162278e+00	5.497471e-07	6.434304e-08	6.434304e-08
3.162278e+00	3.311311e+00	6.041172e-07	6.591459e-08	6.591459e-08
3.311311e+00	3.467369e+00	8.035711e-07	7.429015e-08	7.429015e-08
3.467369e+00	3.630781e+00	8.067620e-07	7.274330e-08	7.274330e-08
3.630781e+00	3.801894e+00	9.771607e-07	7.823547e-08	7.823547e-08
3.801894e+00	3.981072e+00	1.160490e-06	8.331833e-08	8.331833e-08
3.981072e+00	4.168694e+00	1.342482e-06	8.757387e-08	8.757387e-08
4.168694e+00	4.365158e+00	1.587575e-06	9.306532e-08	9.306532e-08
4.365158e+00	4.570882e+00	1.682837e-06	9.363553e-08	9.363553e-08
4.570882e+00	4.786301e+00	1.860853e-06	9.622239e-08	9.622239e-08
4.786301e+00	5.011872e+00	2.085958e-06	9.955736e-08	9.955736e-08
5.011872e+00	5.248075e+00	2.600121e-06	1.086216e-07	1.086216e-07
5.248075e+00	5.495409e+00	2.773451e-06	1.096303e-07	1.096303e-07
5.495409e+00	5.754399e+00	3.174218e-06	1.146144e-07	1.146144e-07
5.754399e+00	6.025596e+00	3.335661e-06	1.148182e-07	1.148182e-07
6.025596e+00	6.309573e+00	3.815858e-06	1.200098e-07	1.200098e-07
6.309573e+00	6.606934e+00	3.997347e-06	1.200345e-07	1.200345e-07
6.606934e+00	6.918310e+00	4.509313e-06	1.245876e-07	1.245876e-07
6.918310e+00	7.244360e+00	4.497034e-06	1.215859e-07	1.215859e-07
